Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,11.4,21.6,0.2,,,WSW,33,14:21,16.1,75,,WSW,2,1025.4,20.3,45,,SW,13,1024.9
2017-04-2,11.6,21,0,,,SSE,30,15:09,16.3,51,,SE,9,1031.6,20.4,34,,SE,15,1028.8
2017-04-3,10.5,21.8,0,,,SE,30,16:37,15.9,48,,E,9,1031.3,21.5,31,,S,11,1027.2
2017-04-4,9.8,26.9,0,,,SW,24,15:44,17.9,52,,ESE,6,1027.2,26.5,29,,WSW,11,1022.6
2017-04-5,16.1,28.9,0,,,ESE,31,14:25,22.4,30,,NE,9,1023.1,26.8,17,,ESE,9,1019
2017-04-6,11.4,29.4,0,,,NNW,22,11:08,21.6,32,,NNE,6,1021.7,28.8,18,,W,11,1018.5
2017-04-7,14.9,30.2,0,,,NNW,30,11:06,23.3,33,,N,7,1020.5,29.3,17,,WNW,11,1016.7
2017-04-8,14.4,29.1,0,,,N,35,11:08,24.4,31,,NNE,9,1016.4,23.5,59,,SW,17,1013.4
2017-04-9,13.3,17.5,2.6,,,SW,63,11:23,15.4,44,,SW,20,1019,16,43,,SW,26,1020.2
2017-04-10,11.7,18.9,0.8,,,SSW,33,00:13,15.6,54,,SSW,13,1024.9,16.8,58,,SSW,11,1024.2
2017-04-11,9.9,20.8,0,,,ENE,26,10:22,15.4,71,,SW,7,1027.5,20.1,51,,SE,13,1024.3
2017-04-12,10.9,24.2,0,,,WSW,20,12:53,17.1,63,,SSW,2,1025.9,22.7,47,,SW,11,1022.3
2017-04-13,10.4,26,0,,,SW,24,15:49,18.7,56,, ,Calm,1025.2,24.9,40,,SW,13,1023.2
2017-04-14,9.6,23.5,0,,,SW,22,13:15,18.3,55,, ,Calm,1025.7,23,47,,SW,11,1022.8
2017-04-15,9.4,26,0,,,WSW,20,13:20,17.1,58,,W,2,1021.4,25.2,45,,W,7,1017.6
2017-04-16,13.7,23.9,0,,,E,20,15:49,17.5,55,,SE,4,1021,22.6,48,,WSW,11,1019.2
2017-04-17,14,27.8,0,,,ENE,22,06:07,20.7,49,,N,6,1021.4,27.2,30,,WNW,7,1018.9
2017-04-18,19.6,29.2,0,,,E,33,19:20,22.6,33,,NE,9,1023.4,28.1,21,,ENE,13,1021
2017-04-19,22.6,30.8,0,,,NNW,41,19:25,24.9,33,,ENE,11,1020.7,29.4,27,,NW,15,1017.8
2017-04-20,19.1,21.4,0.4,,,N,20,07:23,19.7,90,,NNE,7,1021.8,21,85,,WSW,13,1018.8
2017-04-21,18.2,22.6,4.8,,,WSW,20,11:29,19,83,,SW,7,1022.5,21.8,60,,S,11,1020.6
2017-04-22,11.4,24.1,0.2,,,NNW,20,13:00,18.3,67,,N,2,1024.2,22.6,51,,SW,9,1021.4
2017-04-23,15.6,24.6,0,,,ESE,19,09:46,20,67,,E,7,1023.5,23.2,55,,SSW,7,1020.5
2017-04-24,15.4,20.4,3.4,,,W,26,18:06,17.8,90,,E,2,1017.8,20,80,,NW,9,1014.2
2017-04-25,15.2,21,8.2,,,SW,52,23:34,18,74,,WSW,13,1014.5,19.8,54,,W,11,1012.1
2017-04-26,10.2,15.8,6,,,SSW,59,02:36,12.9,54,,SSW,13,1021.4,15.1,48,,S,17,1023
2017-04-27,9.6,18,0,,,SSW,30,10:32,12.1,75,,E,6,1029.3,15.8,59,,SW,15,1027.2
2017-04-28,12,17.4,3.8,,,S,20,12:36,13.8,96,,N,6,1029.1,17.1,66,,SW,11,1027
2017-04-29,13.5,17.6,2.8,,,W,13,13:21,14.7,87,,ENE,4,1027.4,17.1,65,,WSW,4,1025.4
2017-04-30,14.6,19.7,0,,,NNE,26,11:46,16.6,61,,N,9,1023.4,19.1,48,,WNW,11,1019.6
