Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,11.8,13.9,11,,,SSW,44,14:11,12.7,94,,WSW,9,1013.5,12.5,79,,SSW,11,1014.8
2016-08-2,4.8,14.9,1.8,,,SSW,35,12:01,10,69,,SSW,9,1027.2,13.6,63,,SW,24,1026.4
2016-08-3,6.5,15.2,0,,,E,81,11:03,11.6,77,,SW,9,1030.7,13.9,48,,SSE,9,1029.2
2016-08-4,5.4,12.6,0.4,,,NE,22,10:02,9.5,78,, ,Calm,1031.2,12.1,50,,ESE,7,1029.5
2016-08-5,3.7,14.7,0,,,N,24,11:13,10,60,,NE,6,1030.4,14.2,46,,NNW,7,1027.8
2016-08-6,3.4,17.2,0,,,NNW,28,14:21,11.2,60,,NNE,6,1026.6,16.2,40,,NW,13,1023.5
2016-08-7,5,19.5,0,,,N,31,13:53,13.5,49,,NE,9,1023.6,19,36,,NNW,17,1020.8
2016-08-8,12.8,22,0,,,NNE,37,23:44,17.1,35,,NNE,11,1019.6,21.4,36,,NNW,13,1015.9
2016-08-9,13.2,18.7,0.6,,,WSW,57,16:35,14,70,,NE,9,1008.9,12.6,78,,WNW,19,1007.7
2016-08-10,9.1,15,3.6,,,NW,56,13:07,11.6,78,,NW,17,1013.6,13.2,74,,W,31,1013.6
2016-08-11,6.2,16,8.2,,,WSW,39,00:27,11.3,86,,NNW,4,1023.2,15.1,53,,W,11,1022.8
2016-08-12,8.1,18,0,,,NNW,48,12:09,12.2,65,,NNW,13,1021.2,17.8,47,,NW,15,1018.5
2016-08-13,7.9,15.8,0,,,WNW,30,11:45,10.2,96,,N,4,1025.7,15.3,56,,WNW,11,1024.9
2016-08-14,7.8,17,0,,,WNW,20,12:12,11.2,75,,NNE,9,1030.6,16.5,42,,NNW,9,1028.3
2016-08-15,4.8,20.8,0,,,NNW,26,16:21,14.8,47,,NNE,9,1028.9,20.5,33,,NNW,13,1025
2016-08-16,10.2,22.6,0,,,N,41,12:31,17.6,33,,NNE,15,1022.3,20.5,29,,N,15,1018.9
2016-08-17,7.8,21.8,0.8,,,NNE,26,15:27,14.8,65,, ,Calm,1022.8,20.9,40,,N,13,1018.8
2016-08-18,12.2,24.7,0,,,NE,63,10:12,20.1,32,,N,22,1010.8,23.2,28,,N,24,1006.9
2016-08-19,8.6,14.3,16.8,,,W,57,14:45,10.4,87,,WNW,11,1011.3,9.8,84,,WNW,19,1012.3
2016-08-20,7.6,15.6,7,,,W,41,00:53,12.1,72,,W,15,1019.1,13.1,81,,WSW,11,1018.2
2016-08-21,7.5,17.2,0.2,,,W,28,14:00,11.1,74,,NNE,7,1017.8,16.6,42,,WNW,17,1014.1
2016-08-22,4.8,17.6,0,,,WSW,20,13:33,12,57,,NE,2,1014.7,16.5,38,,SW,13,1013.4
2016-08-23,4.8,16.7,0,,,SE,24,17:26,11.7,72,,NNW,7,1017.8,15.1,53,,SW,13,1015.6
2016-08-24,6.9,16.6,0,,,WSW,26,13:24,11.7,70,, ,Calm,1016.4,14,52,,ENE,7,1014.6
2016-08-25,3.9,15.5,0,,,SSW,31,16:17,10.6,64,,N,2,1020.6,14.8,54,,SW,15,1020
2016-08-26,5.8,14.2,0,,,NW,20,14:58,9.3,77,,ENE,2,1026.1,13.3,47,,WNW,9,1023.6
2016-08-27,3.9,18.4,0,,,N,35,12:36,12.5,50,,NNE,9,1023,17.3,28,,NW,15,1018.9
2016-08-28,7.9,21.8,0,,,NNE,37,13:19,17.2,30,,NE,11,1018.1,21.5,30,,NE,17,1013.8
2016-08-29,12.8,22.4,1.6,,,NE,46,19:38,17.2,37,,NNE,13,1016.3,20.1,34,,NE,15,1011.4
2016-08-30,12.7,19.9,5.8,,,NW,35,17:06,13.7,96,,NNE,9,1012.9,18.9,64,,NNW,15,1010.6
2016-08-31,11.9,16.8,1,,,SW,28,15:03,14.3,80,,WNW,11,1018.5,15.2,79,,SW,13,1017.7
