Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,23,38.6,0,,,W,26,15:03,30.9,23,,NE,7,1017.7,38.1,14,,WSW,15,1016.4
2017-03-2,21.1,36.2,0,,,SE,33,16:49,26,46,,NNE,4,1018.3,35.9,21,,SSW,11,1017
2017-03-3,18.9,34,0,,,ESE,30,15:21,25.1,47,, ,Calm,1019.9,32.6,24,,E,9,1017.4
2017-03-4,19,32.5,0,,,WSW,35,16:21,24.8,50,, ,Calm,1016.3,31.7,26,,WSW,20,1014.8
2017-03-5,15,26.9,0,,,S,39,17:24,19.4,61,,SSE,13,1017.5,26.1,41,,SSE,13,1015.4
2017-03-6,16.7,28.8,0,,,SSE,30,15:13,18.6,69,,ESE,6,1017.6,27.5,41,,SW,7,1014.6
2017-03-7,18.3,32.2,0,,,SW,30,14:43,23.3,54,, ,Calm,1015.6,30.4,39,,SW,17,1013.3
2017-03-8,19.1,33,0,,,SW,31,16:25,23.3,45,,NNE,6,1014.3,31.3,29,,WSW,15,1012.8
2017-03-9,17.3,32.9,0,,,WSW,26,15:32,22.6,48,, ,Calm,1016.4,31.7,22,,SW,13,1015.3
2017-03-10,15.1,31.5,,,,,,,20.1,42,, ,Calm,1017.1,30.8,19,,WSW,11,1015.3
2017-03-11,19.2,30.7,0,,,WSW,37,20:14,23.9,40,,ENE,7,1010.7,28.6,35,,SSE,2,1007
2017-03-12,16.9,21.7,1.4,,,WSW,43,09:38,18.7,78,,NW,13,1004.8,20,69,,WSW,20,1005.5
2017-03-13,16.4,23.4,7.2,,,SSE,26,13:21,18,74,,SSW,9,1015.1,21.1,63,,SE,15,1015.4
2017-03-14,15.2,30.2,0,,,WSW,26,12:38,21.5,72,, ,Calm,1016.6,28.8,41,,WSW,15,1014.2
2017-03-15,19,35.4,0,,,,,,26.2,40,,NNE,7,1011.5,33.5,22,,WNW,15,1008
2017-03-16,18.2,23.3,0,,,WSW,44,14:12,19.7,49,,SSW,17,1015.3,22.9,41,,SW,22,1016.4
2017-03-17,12.5,27.3,0,,,ESE,26,16:30,16.5,53,,NNW,6,1023.5,26.3,22,,NE,9,1021.2
2017-03-18,12.7,33.5,0,,,NNE,24,09:22,19.2,54,, ,Calm,1022.2,33.3,12,,NW,6,1019.2
2017-03-19,16.3,34.6,0,,,ESE,30,22:02,23.3,48,, ,Calm,1017.1,34.2,19,,WSW,15,1013.4
2017-03-20,23.2,34.4,0,,,SE,41,12:46,26.6,42,, ,Calm,1011.5,23.6,83,,N,11,1010.8
2017-03-21,21.5,29.9,26.8,,,E,37,23:39,24.6,65,,SE,7,1010.3,28.5,52,,E,7,1009.6
2017-03-22,19.2,22.6,0,,,SE,33,14:36,19.8,73,,SSE,9,1017,21.9,64,,SSE,17,1016.8
2017-03-23,17.7,29,0,,,WSW,26,14:14,18.6,75,,SSW,2,1019,28,50,,ESE,9,1015.1
2017-03-24,18.5,32.5,0,,,E,30,01:13,24.2,59,,ENE,9,1014.8,32,49,,SSE,6,1011.9
2017-03-25,20.5,27.7,0,,,WSW,19,13:34,21.6,76,,NE,6,1013.7,27,63,,WSW,9,1013
2017-03-26,20.7,33.3,0,,,ENE,24,20:38,22.9,72,, ,Calm,1012.4,32.9,56,,SW,6,1009.3
2017-03-27,20.8,23.9,0,,,WSW,50,02:37,21.6,62,,WSW,17,1013.2,22.9,41,,WSW,19,1014.9
2017-03-28,13.8,24.6,0,,,NNW,24,11:27,16.4,69,,N,9,1016.9,24,44,,W,9,1014.3
2017-03-29,14.3,22.7,0,,,SW,46,13:38,16.6,79,,NNE,7,1012.1,16.2,93,,SW,24,1011.6
2017-03-30,10.9,19.7,4,,,WSW,37,14:29,13.8,66,,SSW,11,1022.6,17.7,46,,S,11,1023.1
2017-03-31,8.8,20.1,0,,,SW,28,16:18,13,71,,NNW,6,1025.2,18.4,47,,SW,13,1023
