Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,20,29,0.2,7.4,9.8,WSW,22,07:51,23.7,54,2,WSW,9,1014.7,28.5,40,3,S,4,1011.8
2017-04-2,20.5,27.7,0,7.8,2.8,SSE,28,15:19,23.7,52,6,SSW,9,1018.1,25.9,49,6,S,7,1015.9
2017-04-3,18.6,25.6,0,7,6,SSE,31,16:01,23,59,5,SW,9,1019.9,23.4,57,5,SSE,17,1017.8
2017-04-4,17.4,24.5,0,6.2,6.7,SSE,35,14:27,22.6,57,3,SW,7,1020.8,21.5,72,7,SE,4,1019.1
2017-04-5,16.9,25.6,0.4,3.4,6.7,SSE,35,12:10,21.8,64,7,SW,9,1020.9,24,54,3,ESE,15,1018.2
2017-04-6,16.7,22.7,3.2,4.2,0.7,ESE,24,12:24,21,72,7,SSW,6,1022,22,64,7,ESE,4,1019.9
2017-04-7,16.6,26.3,0.2,3.4,10.2,SSE,31,13:43,22.2,61,1,S,7,1023.6,25.4,48,3,SE,11,1020.8
2017-04-8,16.9,26.2,0,7,5.8,ESE,31,15:12,22.9,63,1,SSW,7,1023,25.8,55,7,SE,15,1019.5
2017-04-9,17.4,27.4,0,4.6,10.6,NNE,17,14:24,23.3,63,1,SW,6,1018.6,25.3,59,3,ENE,9,1013.4
2017-04-10,16.9,29,0,4,10.4,W,33,16:07,23.2,74,1,NNW,2,1012.5,28.4,32,1,WNW,17,1008.6
2017-04-11,13.8,27.1,0,11.2,10.8,E,20,16:16,21.3,35,0,WSW,6,1015.8,26.8,30,0,W,6,1013.6
2017-04-12,16.1,28.3,0,5,10.4,ESE,24,16:45,23.3,55,1,SSW,7,1019.2,26.6,56,2,ESE,11,1016.4
2017-04-13,17.8,26.7,0,5.2,10.1,E,20,15:48,23.1,61,2,SSW,7,1021.5,24.9,57,2,E,11,1018.3
2017-04-14,17.8,26.8,0,4,8.3,ENE,19,16:14,22.5,68,4,WSW,6,1021,24,57,3,E,9,1017.5
2017-04-15,17.4,26.7,0,4.8,9.6,E,20,14:43,22.2,63,2,WSW,6,1020.8,24,61,2,E,11,1017.3
2017-04-16,16.4,26.6,0,5.4,10.8,ENE,19,13:49,22.1,66,2,SSW,6,1020.8,25.5,51,1,ENE,9,1018.1
2017-04-17,15.8,26.8,0,4.4,10.3,E,17,16:45,21.7,66,1,W,4,1023.1,24.2,56,3,ENE,7,1019.9
2017-04-18,16.4,26.6,0,44,9.4,E,24,17:08,22.4,64,6,WSW,6,1025.1,24.6,49,7,ESE,9,1022.1
2017-04-19,17,26,0,5.2,9.3,E,33,14:27,22.6,63,1,SSW,9,1026.1,24.2,60,4,ESE,17,1023.7
2017-04-20,16.3,26.2,0,6.6,8.9,ESE,35,15:02,22.4,59,3,SSW,7,1026.4,24,56,6,ESE,13,1023.9
2017-04-21,15.8,,0.4,6,4.8,,,,22.4,68,5,SSW,4,1025.6,22.9,61,6,ESE,7,1023
2017-04-22,17.2,24.8,,3,3.8,SE,33,13:40,19.8,86,7,SW,2,1024.8,23.4,50,6,E,11,1021.6
2017-04-23,15.1,26.4,0,5.8,10.2,E,20,15:09,21.3,63,1,SW,4,1023.4,25.1,57,3,E,9,1019.7
2017-04-24,16.5,26,0,4.2,9.4,E,19,15:52,21.5,70,2,SW,6,1021.9,22.5,70,4,NW,2,1018.7
2017-04-25,15.7,26.9,0.2,4.2,10.6,ENE,17,13:17,20.8,76,6,SW,4,1019.6,26.6,48,1,NNE,4,1014.9
2017-04-26,16.9,23.7,0.2,4.2,2.3,W,24,20:42,22.5,69,7,WNW,4,1013.7,22.9,78,8,N,2,1009.2
2017-04-27,13.5,22.6,1,2.6,2.3,WSW,31,11:44,17.6,47,1,SW,7,1014.5,22.2,35,1,S,6,1012
2017-04-28,13,25.3,0,6.2,7.4,S,26,14:06,16.3,58,3,WSW,7,1017.2,24.5,46,5,S,11,1014.7
2017-04-29,15.3,26.3,0,5.8,10.6,SW,20,10:30,20.4,53,0,SSW,7,1020.2,25.4,35,1,SSW,7,1016.8
2017-04-30,13.6,25.8,0,4.8,9.9,E,19,16:04,19.5,65,1,SW,6,1021.2,24.5,52,1,E,7,1017.8
