Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,9.1,25.6,0,2.6,10,ENE,15,16:11,14.2,63,0,WSW,6,1019.2,24.9,31,0,NE,4,1014.7
2016-08-2,12.6,23.8,0,4,2.3,NNW,22,12:16,16.6,72,7,SSE,2,1015,22.3,63,7,NW,6,1010.5
2016-08-3,13.8,19.3,8.6,2,10.2,,,,16.2,67,5,W,7,1009.8,17.4,47,2,WNW,22,1007.4
2016-08-4,11.7,20.8,0.8,6.8,4.4,WSW,41,01:54,17.5,64,7,SW,11,1014.3,18.8,54,7,S,13,1016.4
2016-08-5,11.6,20.9,0.2,4,9.1,SSW,30,10:01,16.7,59,1,SSW,9,1024.8,20.4,42,3,SE,11,1022.8
2016-08-6,10.9,22.4,0,3.8,9.6,E,20,14:19,15.3,70,4,SW,6,1025.7,22,49,2,SSE,6,1023.1
2016-08-7,10.8,22.4,0,3.8,9.6,E,22,15:15,14.4,77,4,SW,4,1026.2,20.4,53,5,ENE,11,1022.4
2016-08-8,12.6,22.8,0,4,9,E,20,15:05,16.8,68,1,SSW,6,1024.5,20.4,55,6,E,7,1021.2
2016-08-9,10.1,23.3,0,2.8,9.8,NNW,19,11:07,15.9,69,1,SSW,4,1024.5,21.8,41,1,NE,7,1021.1
2016-08-10,11.2,24.4,0,3.6,9.9,ENE,20,14:39,16.5,66,1,WSW,4,1023.4,22.6,54,2,NE,9,1019.4
2016-08-11,11.8,26.4,0,3.6,7.8,WSW,31,16:10,20.1,61,3,NNE,4,1021.4,24.7,41,6,NW,9,1016.8
2016-08-12,13.4,22.7,5,3.4,10,SE,22,13:48,17.4,71,1,SW,6,1022,22.1,52,1,E,7,1019.8
2016-08-13,11.6,23.7,0,4,10.2,WNW,22,13:08,16.5,75,6,WSW,7,1023.6,23,30,1,NW,9,1019.1
2016-08-14,10,23.6,0,3.6,10.2,E,24,17:08,16,56,1,SW,6,1026.5,22.5,38,1,ENE,11,1023.4
2016-08-15,12,22.7,0.2,5.6,8.6,E,37,13:16,14.7,75,6,SW,4,1029.6,21,53,4,ESE,17,1027.3
2016-08-16,11.5,22.9,0.2,5.4,10.4,E,28,13:18,17.5,65,1,W,6,1030.6,21.3,42,1,ESE,13,1027.1
2016-08-17,10.7,22.7,0,6,9.2,E,24,15:27,15.3,66,5,SW,6,1027.3,22.4,48,1,E,9,1023
2016-08-18,11.8,21.4,1,3.6,3,SE,20,13:42,13.9,87,6,WNW,6,1025,20.5,58,4,NE,4,1021.5
2016-08-19,11.4,23.3,0.4,4.4,8.4,ENE,24,13:53,16.5,77,5,W,4,1023.5,22.1,42,2,ENE,11,1019.1
2016-08-20,12.5,25.3,0,1.8,7.3,ENE,20,13:53,20.6,69,1,NE,2,1019.3,22.1,70,5,NE,9,1015.2
2016-08-21,9.1,22.9,4.4,4.4,10.8,E,19,17:13,15.3,47,1,W,7,1020.6,21,44,1,ENE,9,1016.8
2016-08-22,11.4,24.5,0.2,3.4,9.7,NE,28,14:18,16.6,72,5,WSW,4,1018.5,22.4,56,3,NE,11,1014.2
2016-08-23,16.6,26.3,0,3.6,9.1,NE,20,15:58,22.7,62,1,N,6,1014.5,24.6,57,4,ENE,9,1011.3
2016-08-24,19.4,21.8,1,4.4,0,NE,24,01:13,21.1,89,7,N,2,1008.3,17.1,88,8,SSW,6,1007
2016-08-25,14.2,20.8,9.6,2.4,9.9,WNW,50,08:48,15.9,57,1,W,19,1011.6,20.3,40,1,W,11,1010.6
2016-08-26,9.1,21,0,7.2,9.9,W,28,20:43,15.5,54,1,WSW,6,1017.8,19.6,42,3,ENE,2,1014
2016-08-27,10.2,21.8,0,5.2,11,W,24,13:35,15.8,43,1,SW,7,1020.5,21,27,1,WSW,7,1017.9
2016-08-28,9.6,23.7,0,5.2,11,W,19,10:49,16.6,53,0,SW,7,1024.3,23.2,36,1,ENE,2,1020.9
2016-08-29,11,23.7,0,4.4,10.8,ENE,24,15:34,17.4,65,1,SW,6,1026.6,22.3,48,1,NE,11,1024
2016-08-30,12.5,23.3,0,4.4,10.3,NE,24,15:13,19.7,66,7, ,Calm,1028.8,22.2,45,5,NE,9,1025.9
2016-08-31,11.9,23.7,0,5.8,4.4,NE,20,11:22,18.3,68,6,SW,4,1027.1,21.4,60,7,NE,7,1021.8
