"Daily Weather Observations for Brisbane, Queensland for July 2016"
"Prepared at 13:03 GMT on Wednesday 12 July 2017   IDCJDW4019.201607"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-07-1,10.9,22.6,0,2.4,9.6,WNW,35,15:19,17.1,62,0,S,4,1020.6,21.7,32,1,WNW,15,1017.4
,2016-07-2,8.7,21.6,0,5.4,9.8,WSW,15,09:18,14.2,51,0,SW,6,1024.9,21.2,31,0,WSW,4,1022.7
,2016-07-3,7.2,22.1,0,2.8,9.9,NE,13,15:42,12.3,65,1,SW,6,1027.5,21.8,40,1,ENE,6,1023.1
,2016-07-4,8.8,22.7,0,4.0,8.9,NE,20,14:20,13.7,73,4,SSW,4,1023.7,21.5,52,1,NE,9,1018.8
,2016-07-5,13.6,19.4,2.0,1.4,1.0,WSW,26,23:55,16.1,93,7,WSW,7,1015.9,18.7,86,7,NE,6,1011.5
,2016-07-6,10.9,16.6,6.8,2.0,9.7,W,50,13:35,12.9,56,1,W,17,1016.1,16.0,46,1,W,22,1012.4
,2016-07-7,11.2,20.2,0.2,6.6,9.7,W,39,11:01,16.1,58,1,W,17,1014.8,19.6,48,0,WNW,15,1013.3
,2016-07-8,10.4,23.1,0,4.0,9.8,W,24,16:48,16.5,63,1,WSW,7,1018.6,22.3,46,1,W,11,1015.1
,2016-07-9,10.2,23.0,0,3.4,9.6,SSW,17,10:28,16.4,67,0,SW,4,1020.9,22.4,41,1,WSW,4,1018.2
,2016-07-10,10.7,23.6,0,4.2,9.4,ESE,20,15:13,15.6,65,1,SW,6,1023.8,21.7,49,1,E,9,1020.4
,2016-07-11,11.8,21.3,0,2.6,2.1,ENE,13,14:32,15.4,87,7,SSW,4,1022.2,20.5,73,6,NE,6,1017.5
,2016-07-12,13.5,23.5,0,0.4,2.7,W,20,23:48,16.9,90,7,SE,2,1018.9,22.9,65,7,WSW,2,1014.8
,2016-07-13,16.8,21.1,0.2,3.2,3.1,WNW,31,13:47,17.1,48,7,W,11,1021.0,19.9,27,8,W,15,1020.2
,2016-07-14,11.7,17.8,0,6.0,0.1,WSW,19,09:44,14.9,37,8,SW,6,1027.9,17.5,46,8,SSW,4,1025.7
,2016-07-15,12.2,18.9,0,3.2,0.0,SE,24,13:03,14.0,75,7,SSW,6,1027.7,17.8,67,7,SE,11,1024.7
,2016-07-16,14.0,18.2,0,3.0,0.0,SE,24,03:04,17.2,63,8,S,6,1028.2,15.6,87,8,S,4,1026.5
,2016-07-17,14.3,23.1,12.6,1.4,3.0,E,24,13:27,17.4,87,7,SW,4,1027.5,21.1,68,7,ESE,9,1024.5
,2016-07-18,15.6,23.5,6.0,2.4,6.8,NE,17,14:08,18.1,87,5,SW,4,1026.6,23.0,60,3,ENE,9,1023.5
,2016-07-19,15.6,24.7,0.4,2.6,8.2,ENE,19,14:19,16.4,97,1,SW,4,1024.6,23.6,58,1,NE,7,1020.6
,2016-07-20,14.4,25.6,0,2.4,8.9,NNE,17,14:48,18.6,78,2,SW,4,1022.7,24.3,63,3,NNE,7,1018.4
,2016-07-21,14.8,27.1,0,3.2,8.7,NW,15,12:27,20.6,79,7,ENE,2,1019.1,25.9,56,2,NE,6,1015.0
,2016-07-22,15.8,27.6,0,2.8,9.1,NNE,20,15:46,18.1,96,1,WSW,4,1016.6,25.7,61,1,NE,7,1010.9
,2016-07-23,18.0,29.1,0,3.2,9.7,W,46,13:45,26.2,58,1,NW,6,1009.7,28.8,36,1,WNW,17,1007.4
,2016-07-24,13.3,22.8,0,8.0,10.1,W,19,02:31,17.7,35,2,WSW,4,1016.9,21.1,39,1,ENE,9,1012.9
,2016-07-25,12.7,23.0,0,4.0,10.0,W,26,13:29,16.9,43,1,WSW,7,1018.8,21.4,30,3,WNW,9,1015.1
,2016-07-26,13.1,19.4,0,6.0,1.6,W,22,09:28,15.9,44,7,WNW,9,1019.6,18.3,37,6,WNW,6,1016.2
,2016-07-27,14.4,20.3,0,3.6,1.8,WNW,28,15:57,16.6,41,7,W,11,1018.7,20.1,36,6,W,11,1016.6
,2016-07-28,9.2,22.6,0,3.2,9.5,WSW,19,09:35,15.8,47,0,SW,6,1024.2,21.8,38,1,E,6,1021.5
,2016-07-29,9.2,24.0,0,4.0,9.8,NW,15,14:35,14.7,59,1,SW,7,1024.0,22.8,38,1,NNE,6,1019.4
,2016-07-30,8.5,23.4,0,2.4,10.2,ENE,19,15:59,15.7,56,0,SW,6,1021.4,22.6,27,0,E,4,1018.1
,2016-07-31,8.5,24.5,0,4.2,10.0,NE,15,15:51,14.8,58,0,SW,6,1021.3,23.9,39,0,NE,6,1016.5
