Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,10.4,21.7,0,5.4,9.4,SSE,31,12:18,14.8,54,1,SW,7,1028.3,21,43,2,S,7,1025.6
2017-06-2,11.2,22.8,0,4,9.9,WSW,22,09:58,16.3,53,1,SW,9,1029.1,22.1,39,1,S,7,1025.1
2017-06-3,10.7,23.5,0,4.6,9.3,WSW,20,10:54,16.7,58,1,WSW,7,1026.5,22.8,45,1,SW,7,1022.8
2017-06-4,11.8,23.8,0,4,8.6,S,17,11:28,17.2,63,1,SW,7,1025,23.2,45,2,SSE,6,1021.1
2017-06-5,10.5,23.6,0.2,4,9.3,SSW,19,09:57,16,72,1,SW,6,1024.5,23.1,38,3,SSW,4,1020.3
2017-06-6,10.8,22.6,0,2.4,9.4,W,28,15:16,17.4,64,2,SSW,2,1021.4,22.3,22,2,W,9,1016.5
2017-06-7,9.7,20.2,0,5.6,10,SW,24,11:29,14.5,46,1,WSW,9,1018.9,19.9,28,1,W,7,1016
2017-06-8,9.4,21.8,0,4,10,W,20,14:11,15,54,0,SW,7,1020.2,21.1,38,1,WSW,6,1017.7
2017-06-9,10.9,23.2,0,3.2,6.7,W,19,11:51,17.4,58,1,SW,6,1021.6,22,52,6,SW,7,1019.5
2017-06-10,15.2,22.9,0,2.2,8.2,SE,26,13:00,19.6,61,2,S,6,1024.3,21,61,4,SE,11,1022
2017-06-11,15.3,21.1,18.8,4.2,2.4,SSW,17,04:06,16,94,8,SW,4,1023.7,20.2,87,4,WSW,6,1020.6
2017-06-12,13.9,22.4,14.6,0.8,7.4,SW,24,22:42,17.8,83,4,WSW,6,1021,22,63,5,SSW,6,1017.1
2017-06-13,14.3,18.9,6,3.8,0,SSE,39,16:11,15.9,90,8,SW,6,1019.1,17,90,8,S,9,1019.7
2017-06-14,15.8,20.3,10.2,2.2,2,SSE,28,14:11,18.9,73,7,SSW,7,1023.2,18.8,92,8,SSE,7,1022.7
2017-06-15,14.8,22.9,24.8,4.2,3.8,SE,35,12:39,17.6,75,6,SW,6,1025.1,21.7,62,7,SSE,9,1021.5
2017-06-16,14.8,24.1,0,3.4,4.4,ESE,20,13:01,19.4,74,6,SW,4,1022.6,22.1,69,7,SE,7,1019.8
2017-06-17,17.1,24.6,0,2.4,5.3,WSW,19,11:55,19.3,80,7,SW,4,1020.4,23.9,64,7,SSW,7,1016.8
2017-06-18,13.9,23.6,0.2,2.6,10.1,WSW,26,13:31,18.8,70,1,SW,7,1020.1,22.6,48,1,S,11,1018.3
2017-06-19,15.4,22.7,0,4,6.4,SW,28,09:59,19.3,62,1,SSW,9,1021.9,22.3,55,7,SSW,7,1020.3
2017-06-20,15.8,21,0,4.4,5.1,SSW,24,12:55,17.9,66,7,SSW,7,1022.4,20,62,7,S,7,1020.7
2017-06-21,12.2,23.4,0,4,9.2,WSW,20,11:21,17.2,61,1,SW,7,1023.4,23.3,44,4,SSW,6,1021.3
2017-06-22,13.7,22.7,0,3.4,7.2,SE,20,11:53,17.8,62,2,SW,6,1026,20.5,55,3,ESE,4,1022.4
2017-06-23,10.3,23.7,0,3.2,9.4,W,24,14:49,15.2,71,1,SW,6,1023.3,23.1,37,3,W,9,1018.4
2017-06-24,10.4,24.5,0,3.4,8.9,S,17,10:55,14.3,75,7,S,2,1018.6,24,33,5,WNW,2,1015.4
2017-06-25,11,24.2,0,2.2,9.8,ENE,20,14:25,15.9,68,6,SSW,2,1020.5,22.6,53,3,NNE,7,1017.3
2017-06-26,12.2,25.1,0,2.6,9.5,ENE,19,15:47,16.2,74,2,SW,6,1021.5,24.8,40,2,SW,4,1019.3
2017-06-27,12.4,22.1,0,3,4.9,E,15,13:01,15.5,74,7,SW,4,1025.4,20.5,71,7,NE,6,1023.3
2017-06-28,13.4,23.9,0.2,2,9.2,ENE,19,12:41,17.7,78,7,S,4,1025.3,22.4,61,6,NNE,7,1022.2
2017-06-29,13.8,24.5,0,3.2,8.6,NE,22,15:20,19.3,73,6,WSW,2,1021.9,23.2,60,4,NE,9,1017.5
2017-06-30,15.6,23,5,5,8.3,W,24,09:21,17.1,78,4,W,9,1022.2,21.9,45,2,SSE,9,1019.7
