Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-05-1,15.1,26.8,0,4.6,9.9,NE,20,14:27,20.7,67,1,SW,4,1021.9,24.7,53,3,E,9,1018.3
2017-05-2,15.7,27.5,0,4.8,8.5,NE,15,14:55,20.2,77,3,SW,4,1020.4,25.6,45,3,NE,7,1017
2017-05-3,18.1,27.5,0,2.8,9.4,ESE,30,16:23,22.5,71,2,SW,6,1021.4,24.5,60,4,ESE,11,1020.3
2017-05-4,17,23.6,0,5.6,5.8,SE,35,15:36,22,64,1,S,7,1026.6,22.6,61,7,SE,11,1024.6
2017-05-5,15.1,24.8,0,5.2,9.7,SE,35,14:31,20.4,63,1,SSW,6,1028.6,22.3,48,3,ESE,15,1025.3
2017-05-6,14.7,24.9,0,5.4,9.8,SSE,26,11:00,20.6,65,2,SSW,6,1026.5,23.8,46,2,ESE,9,1022.8
2017-05-7,16.4,26.4,0,5.4,8.7,E,20,16:36,19.9,66,6,SW,6,1023.8,25.6,47,2,SE,4,1020.3
2017-05-8,14.8,22,0,5,0,ESE,26,15:08,18.9,74,7,SW,2,1023.2,21,66,8,SE,13,1020.7
2017-05-9,16.4,23.5,18,0.4,8,SE,35,13:38,20.7,67,6,SSE,6,1022.5,22.1,53,2,ESE,15,1019.8
2017-05-10,16.2,19.5,0.6,5,0,W,19,05:52,17.7,75,8,S,2,1020.6,17.5,82,8,SW,6,1018.2
2017-05-11,14.3,24.7,2.8,1.8,8.8,S,24,11:56,19.4,62,1,WSW,6,1021.4,23.5,49,4,SSE,6,1018.4
2017-05-12,14.6,23.9,0,3.2,5.7,ESE,28,12:47,18.3,73,7,SW,4,1023.9,22.4,57,6,ESE,9,1020.9
2017-05-13,16.5,23.1,0,4.2,1.7,ENE,22,13:50,19,73,7,WSW,6,1023.1,20.4,77,7,SE,9,1020.2
2017-05-14,17.1,21.9,0.2,1,0.9,SSW,15,08:29,19.1,83,6,SSW,6,1018.4,20.9,78,8,ESE,4,1015.1
2017-05-15,16.1,26.4,0.4,0.8,9.4,W,30,13:38,21,72,1,NW,4,1015.6,26.1,40,1,W,11,1012.3
2017-05-16,12.3,26,0.2,5.8,10.1,WNW,24,14:36,18.4,63,0,SSW,4,1018.5,25.5,33,1,WNW,7,1015.7
2017-05-17,12.8,25,0,3.6,9.8,E,19,14:52,18.2,62,6,SW,4,1022.5,23.9,54,7,ENE,11,1020.3
2017-05-18,15.8,23.6,0,3,0.7,E,24,12:33,20.4,72,8,SE,6,1024.7,22.4,57,8,E,9,1022.4
2017-05-19,17.2,20.7,10.6,2.8,0,WSW,13,02:43,18.7,93,8,WSW,4,1023.7,19.8,91,8,SE,6,1019.4
2017-05-20,16.5,25,3,1.2,8,WNW,13,11:51,20.2,79,1,SW,6,1019.1,23,69,4,NE,4,1015.9
2017-05-21,16.1,25.8,0,1.2,8.4,SW,19,12:14,20,86,5,SSW,4,1019.7,25.4,62,2,NNW,4,1017.5
2017-05-22,16.3,25.9,0.2,2.8,9.7,E,19,13:55,18.4,92,1,SW,6,1022.5,24.5,61,2,ESE,9,1019.2
2017-05-23,15.4,26.9,0,3.6,9.8,WSW,15,10:27,19.9,78,1,SW,6,1022.5,25.6,53,1,N,4,1018.1
2017-05-24,15.8,27.7,0,2.6,8.4,W,15,09:34,18.4,91,3,WSW,7,1020.2,27.3,45,1,NW,7,1014.9
2017-05-25,13.7,24.9,0.2,3.8,9.5,E,20,14:13,19.5,65,1,SW,6,1019.4,23.1,53,1,E,6,1017.2
2017-05-26,14.8,25,0,3.6,9.6,NE,15,15:17,19.5,72,1,SW,6,1021.6,23.3,57,1,ENE,6,1017.9
2017-05-27,13.5,24.6,0,3.2,8.6,NE,19,14:19,18.3,75,1,SW,6,1022.3,23,62,1,NE,7,1018.7
2017-05-28,13.4,25.7,0,2.4,9.7,NNE,15,15:13,16.5,85,1,SSW,6,1019.6,24.3,60,3,NE,7,1015.9
2017-05-29,13.5,26.4,0,3,10,W,20,14:20,19.3,72,1,SSE,4,1019.1,25.6,35,1,W,7,1017.3
2017-05-30,13,25.1,0,5.8,8.4,WSW,17,09:34,17.5,54,2,SW,4,1023.1,24.5,43,2,WNW,4,1019.8
2017-05-31,11.2,22.4,0,1.8,10,WSW,28,06:57,16.1,38,5,WSW,9,1023.2,22.3,26,2,WSW,6,1020.6
