Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,20.8,26.3,1.4,5.2,2.4,SE,17,03:36,22.8,78,7,SSW,2,1011.1,23,88,6,NE,7,1007.3
2016-11-2,13,28.9,1.2,2.8,12.5,,,,25.4,33,1,S,6,1014.1,26.6,32,1,ENE,13,1012.5
2016-11-3,17.9,27.5,0,8.6,7.8,,,,24.4,56,7,NE,4,1019.3,25.5,48,7,ENE,13,1016
2016-11-4,20.2,29.3,0,8,11.7,NE,30,16:15,26.3,39,1,SSW,4,1016.4,27.3,48,2,NNE,13,1011.9
2016-11-5,17.2,34.4,0,9,12.3,NE,31,14:37,26.5,50,0,NW,4,1011.9,29.6,45,1,NE,13,1006.4
2016-11-6,16.7,33.3,0,7.6,12.6,ENE,26,14:15,26.9,28,1,S,4,1010.7,28.4,46,1,ENE,13,1006.9
2016-11-7,20.4,28.9,0,8.8,12,ENE,30,13:05,25.3,61,3,ENE,9,1015.7,26.9,55,1,NE,11,1011.9
2016-11-8,22.6,32.5,0,9,9.6,NE,28,15:31,28.5,56,3,NNE,7,1014.2,28.9,57,8,NNE,13,1010
2016-11-9,21.6,31.7,1,6.8,8.5,NE,37,16:31,28,59,7,NNW,7,1014.2,28.3,58,3,NNE,17,1008.2
2016-11-10,21.2,32.5,3.6,8.6,11.8,ESE,22,22:04,27.2,61,6,NW,7,1009.1,29.8,57,2,ENE,9,1004.6
2016-11-11,19.8,31.8,0,7.4,9.3,NNE,26,14:12,28.2,54,7,NW,4,1012.6,27.8,64,3,NE,15,1008.9
2016-11-12,23,31.6,0,6,4.1,SSE,44,15:21,27.9,66,7,NNE,7,1009.7,26.2,82,8,ENE,7,1005.1
2016-11-13,21.7,36,19.6,8.8,,N,33,17:35,28,69,7,NW,2,1004.3,30.8,58,6,NE,11,999.1
2016-11-14,21.6,30.1,0.2,12.4,11.1,WSW,43,14:51,25.2,24,2,W,17,1006.1,29.2,19,2,W,19,1004
2016-11-15,17.5,27.4,0,12.6,11.6,ENE,30,14:13,23.7,34,3,S,7,1014.7,24.8,47,3,ESE,15,1013.1
2016-11-16,16.9,28.1,0,8,12.9,ENE,28,13:16,24.9,51,4,ENE,6,1020,26,51,1,NE,11,1017.5
2016-11-17,17.9,28.3,0,9.2,9.7,E,35,11:32,24.3,51,3,SE,13,1022.8,25.3,53,2,SE,17,1020.9
2016-11-18,17.3,27.3,0,9.6,11.5,ENE,24,13:28,24,51,3,E,7,1021.6,25.3,48,2,ENE,13,1018
2016-11-19,17.9,28.1,0,7.6,6.8,,,,23.8,60,7,ESE,4,1019.5,26.5,47,7,NE,9,1017.1
2016-11-20,18.2,28.6,0,5.6,12.7,E,26,14:28,26.1,50,1,ENE,7,1021,27.2,42,1,ENE,15,1019
2016-11-21,18,29.7,0,8,12.9,ENE,30,11:06,25.9,51,1,E,7,1020.5,27.6,36,1,ENE,13,1017.2
2016-11-22,17.6,28.8,0,8.8,12.6,E,31,16:25,26.2,50,4,ESE,9,1018,26.9,47,2,ESE,15,1014.2
2016-11-23,19.7,31.2,0,8.8,11.2,NE,26,14:27,27.1,53,3,SE,6,1013,29.2,56,2,NE,13,1008.2
2016-11-24,20.6,35.1,0,7.6,12.1,ESE,37,17:03,31.1,40,0,WSW,7,1008.5,29.6,53,1,ESE,15,1007
2016-11-25,18.1,29,0,11,12.4,E,26,16:50,25.5,50,3,NE,7,1014.3,26.6,53,2,ENE,15,1011.6
2016-11-26,22,27,0,,3.3,ENE,30,10:03,25.2,67,7,ESE,15,1016.2,24.7,60,8,ENE,11,1014.4
2016-11-27,20.7,29.7,1,5.6,9.3,ENE,31,16:17,25,63,6,SW,2,1017,27.6,54,2,NE,11,1013.7
2016-11-28,20.3,29.9,0,5.4,11.6,NE,33,15:52,27.2,54,3,WNW,4,1017,27.8,53,2,NNE,11,1013.6
2016-11-29,20.9,30.7,0,9.4,12.9,NE,31,19:05,26.8,37,1,N,9,1013.7,28.9,34,1,NE,11,1009.5
2016-11-30,19.9,31.3,0,9,9.3,SSE,43,15:41,27.3,43,1,N,6,1011.8,27.1,56,7,NNE,9,1007.6
