Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-10-1,14.5,27,0.2,10.2,11.8,W,37,09:29,21.3,30,0,WSW,15,1013.2,26.4,21,0,W,15,1010.3
2016-10-2,12.3,26.9,0,9.2,11.6,ENE,26,15:01,21.5,36,0,WSW,4,1017,24.8,34,7,ENE,15,1012.3
2016-10-3,18.6,26.7,0,5.8,1,WNW,76,17:36,23.7,56,7,N,2,1010,22.3,87,8,NE,6,1006.6
2016-10-4,13,26.2,16.2,6.8,11.1,WNW,28,16:59,20,44,2,WSW,7,1014.9,25.7,25,1,W,11,1011.4
2016-10-5,12.1,28.7,0,8,11.9,W,30,14:39,22.8,35,0,W,9,1018,28.5,24,1,WSW,9,1014.9
2016-10-6,12.3,29.1,0,7.8,11.5,W,19,12:06,22.8,29,0,WSW,7,1022.5,26.2,25,0,ENE,11,1019.1
2016-10-7,12.4,29,0,7.2,11.3,ENE,24,13:53,22.4,42,0,SSW,6,1024.4,27,20,1,NE,13,1020.4
2016-10-8,13.2,32.2,0,7,11,WNW,24,13:21,24.3,48,7, ,Calm,1021.2,27.9,44,5,NE,9,1016
2016-10-9,16.3,25.5,0,5,6.9,ESE,33,11:27,23.9,58,4,SE,9,1020.3,21.7,57,7,ESE,11,1019.4
2016-10-10,16,26.4,0,7.8,10.2,ENE,26,13:21,23.1,53,1,S,4,1018.9,24.5,52,0,NNE,9,1013.3
2016-10-11,16.8,29.2,0,16,10.7,ESE,33,14:34,25.3,56,1,NNW,4,1010.2,24.1,59,3,E,19,1009.9
2016-10-12,16.6,24.5,0,8,8.2,E,26,15:49,21,53,7,ESE,7,1016.5,22.6,53,3,ENE,11,1012.4
2016-10-13,14.7,26.1,0,,8.9,SE,37,14:31,21.4,50,1,WSW,6,1014.8,23.4,50,2,SE,17,1013
2016-10-14,13.5,23.4,0,,9.2,E,35,14:34,20.6,46,3,SSE,17,1022.3,21.5,41,3,E,19,1020.2
2016-10-15,12.7,24.1,0,10.2,11.6,ENE,30,13:53,21,45,3,ESE,6,1024.1,22.6,40,2,ENE,13,1020.7
2016-10-16,12.2,25.4,0,6.2,11.8,NE,33,12:04,21.6,48,1,WNW,6,1021.6,23.8,39,3,NE,15,1016.6
2016-10-17,17.3,28.3,0,9,7.5,W,59,17:00,25.1,49,6,NNW,9,1015.1,26.1,54,7,NNE,13,1009
2016-10-18,12.3,25.7,10.8,9.8,12.6,WSW,22,01:40,21,38,1,S,6,1018.4,24.4,34,1,ENE,11,1014.5
2016-10-19,14,29.4,0,6.2,12.1,NE,24,15:09,23.2,41,1,SW,4,1019,26.6,38,3,ENE,15,1015.1
2016-10-20,16,27,0,6.2,9.3,E,31,13:32,24.9,53,5, ,Calm,1021.6,23.9,62,5,ENE,13,1019.1
2016-10-21,17.1,26.8,0,5.8,12,NE,26,14:55,24.8,54,2,NNE,9,1023.1,25.1,52,4,NE,11,1018.9
2016-10-22,18.2,27.6,0,9.2,8.1,ENE,31,13:59,25,52,6,N,9,1017.2,24.4,62,7,NE,9,1012
2016-10-23,15,21.6,3,7.2,0.1,W,26,10:01,17.9,55,6,WSW,7,1015.7,21.2,36,7,WSW,4,1014.4
2016-10-24,12.2,25.3,0,6.2,12.4,NE,24,16:07,20.9,46,2,S,6,1019.4,24.4,38,1,NE,9,1014.7
2016-10-25,13.9,27.5,0,6.6,12.3,SE,33,12:02,22.4,48,1,NNW,6,1020.3,25.3,39,1,NE,11,1016.9
2016-10-26,15,28,0,8,12.2,NE,31,16:27,25.4,46,1,N,7,1020.4,25.7,54,1,NE,13,1016.2
2016-10-27,16.7,29.2,0,10.4,11.6,ENE,26,14:14,23.6,51,5,NW,7,1018.2,27,48,2,NE,9,1013.7
2016-10-28,17.7,28.6,0,8,10.2,NE,26,14:52,25.7,54,3,SSE,4,1017.8,26.7,44,4,NNE,11,1014.1
2016-10-29,18.5,28.2,0,6.6,10.5,E,28,14:22,25.5,49,5,NE,7,1019.4,25.8,51,5,ENE,13,1016.5
2016-10-30,17.4,27.7,0,8,12.3,ENE,31,15:24,25.6,52,3,NE,7,1020.3,26.8,45,2,NE,9,1015.5
2016-10-31,20,28.3,0,8.8,5.3,E,22,15:38,24.5,61,7,WNW,6,1013.8,27.2,60,3,NE,9,1009.9
