Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-09-1,14.2,26.1,0,1.8,7.5,NE,28,16:13,20.3,69,4,WSW,2,1021.5,23.6,57,5,ENE,11,1016.8
2016-09-2,18.8,25.6,0,5,7.6,NNE,33,14:41,23.2,66,6,NNE,7,1016,24.4,64,3,NNE,11,1010.2
2016-09-3,16.2,23.2,9.6,6.4,10.7,W,52,13:15,19.6,57,4,WNW,19,1013.4,21.8,43,5,W,15,1012.3
2016-09-4,12.3,24.2,0,9.2,10.5,W,24,00:28,18.4,47,1,WSW,7,1022.7,22,34,1,ENE,13,1020.8
2016-09-5,12,23.3,0,4.8,9.5,E,30,12:36,18.5,59,5,WSW,6,1028.7,22.6,42,6,ESE,11,1025.8
2016-09-6,13.1,23.3,0.2,5.4,3.9,E,28,14:40,19.8,59,2,SW,4,1029.2,21.7,53,7,ESE,11,1026.3
2016-09-7,15.9,23.7,0,4,7.4,E,26,13:09,19.9,70,7,SE,6,1029,22.8,50,4,ESE,11,1026.3
2016-09-8,13.9,24.4,0.2,3.8,9.6,E,30,10:18,20.9,58,1,E,9,1028.3,22.9,51,4,E,13,1024.9
2016-09-9,15.2,22.2,0,5.4,4.4,ENE,37,12:40,21.9,64,2,ENE,17,1024.5,21.3,70,7,ENE,15,1021
2016-09-10,16.2,23.3,7.2,3.4,2.9,NE,28,12:36,21.4,79,6,NE,6,1020,19.7,87,7,N,7,1016.2
2016-09-11,13,24,14,7.2,11,ENE,24,13:14,18.6,58,1,WSW,7,1019.4,22.9,50,1,NE,9,1016.2
2016-09-12,13.6,25.3,0,4,10.9,ENE,22,14:40,19.9,68,1,SW,6,1021.3,23.7,55,1,ENE,11,1018.1
2016-09-13,15.7,26.5,0,5,9.7,ENE,26,13:01,22.5,71,5,NE,4,1022.1,24.6,60,3,ENE,13,1018.7
2016-09-14,18.4,25.9,0,7.4,9.1,NNE,31,15:48,23.7,60,3,N,11,1019.5,24.7,68,3,NNE,11,1015.6
2016-09-15,19.4,26.7,0,5.6,1.3,WSW,30,16:18,21.3,77,7,W,4,1017.6,24.9,64,6,NNW,6,1013.7
2016-09-16,16.9,25.7,3,3.4,10.2,W,37,15:00,22.6,64,1,WSW,7,1018.8,24.8,52,1,W,13,1017
2016-09-17,13.3,25.5,0.2,5.8,10.1,ENE,24,14:17,19.7,61,1,W,6,1023.3,22,61,2,NE,9,1018.8
2016-09-18,18.6,22.5,3,6,0,NE,24,17:33,20.7,86,7, ,Calm,1016.9,21.8,83,7,NNE,7,1011.2
2016-09-19,17.8,22.3,3.4,6.9,1.1,W,37,09:52,18.3,58,7,WNW,17,1013.2,21.7,47,6,WNW,13,1011.7
2016-09-20,12.8,25.3,0,5.2,8.6,NE,19,15:15,19.9,41,4,S,4,1018.7,23.7,36,7,NE,9,1015.9
2016-09-21,17.6,21.4,0.6,4.4,0.1,WSW,20,22:24,19.7,84,8, ,Calm,1016.1,21.3,79,7, ,Calm,1011.6
2016-09-22,15,24.7,4.6,2.7,11.6,W,39,13:39,19.8,49,1,W,11,1012.7,24.1,35,3,W,20,1008.5
2016-09-23,13.9,25.2,0,7.6,11.4,NW,31,15:25,19.1,43,0,WSW,15,1012.2,24.9,35,1,W,11,1008.5
2016-09-24,11.6,26.3,0,5.8,11.3,ENE,20,14:58,20.9,52,1,WSW,7,1013,24.7,41,1,ENE,13,1008.2
2016-09-25,14.1,28.8,0,5.8,8.6,WNW,37,12:27,18.1,70,6,W,2,1009.6,26.6,42,5,WSW,13,1005.5
2016-09-26,15.5,27.6,0,7.4,11.3,W,24,09:31,21.8,46,1,WSW,9,1013.6,26.3,36,2,NE,4,1009.3
2016-09-27,15.8,26.6,0,6.8,7.9,WNW,24,11:48,18.6,45,6,WSW,6,1015.2,25.9,23,3,WSW,7,1010.7
2016-09-28,10.4,27,0,6,10.6,ENE,28,17:43,22.6,36,0,SW,4,1014.1,24.5,38,3,ENE,11,1010.4
2016-09-29,17.9,24.1,0,7.4,0.6,NNW,35,14:05,22.2,57,7,N,4,1009.2,21.9,48,8,NNW,9,1006.5
2016-09-30,16.4,25.7,5.8,5,11.3,W,44,14:24,20,36,1,WNW,13,1007.2,25.4,20,0,W,20,1003.9
