Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,5.9,13.9,0,,,NNW,46,11:39,9.6,88,6,N,20,1018,10.2,90,8,NW,19,1013.7
2016-08-2,5.7,10.1,7.4,,,SSE,43,10:41,6.3,94,8,SE,9,1016.1,9,58,8,SSE,20,1016.2
2016-08-3,0.7,13.8,0.2,,,S,48,15:39,7.4,68,,SSE,13,1022.9,12.7,47,2,S,31,1021.3
2016-08-4,0.9,12.3,0,,,SSE,37,11:16,7.3,64,,SSE,20,1027.8,11.8,55,5,ESE,24,1027.7
2016-08-5,0.8,13.7,0,,,S,19,09:25,7,75,3,S,9,1033.2,13.1,42,,W,7,1029.4
2016-08-6,-1,12.1,0,,,NW,24,14:09,4.9,91,4,ESE,7,1030,11.2,51,8,NW,13,1027.2
2016-08-7,1.5,11.6,0,,,ENE,20,19:01,6.2,83,8,SE,7,1028,11.4,62,7,WSW,4,1025.8
2016-08-8,-2.4,14,0,,,NNW,28,15:27,4.3,95,,NW,2,1027.6,13.5,46,,NNW,17,1023.5
2016-08-9,-1.1,15.6,0,,,NNW,37,15:23,5.4,88,, ,Calm,1023.6,14.2,60,,NW,22,1018.8
2016-08-10,4.4,16.4,2,,,NW,61,15:11,10.4,88,7,NNW,30,1015.1,14.2,45,1,WNW,37,1013.4
2016-08-11,4.6,12.9,0,,,NNW,44,15:23,9.1,58,,NW,15,1018.9,12.1,48,,NNW,31,1018.8
2016-08-12,-4.4,10.6,0,,,WNW,44,22:28,2.1,86,,ENE,2,1025,9.3,61,,N,28,1020.4
2016-08-13,2.1,14.9,0,,,WNW,48,14:10,9,66,,NW,26,1023.5,13.9,43,,WNW,31,1021.3
2016-08-14,-1.2,15.8,0,,,WNW,30,01:44,6.4,75,,SE,4,1029.3,15,41,,NNW,15,1028
2016-08-15,-2.7,15.9,0,,,N,22,13:19,4,90,,N,7,1033.8,15.1,43,,NNW,13,1030.7
2016-08-16,-2,17.9,0,,,NW,43,12:04,5.8,85,, ,Calm,1031.8,16.8,34,,W,26,1027.4
2016-08-17,0.8,15.8,0,,,NW,39,14:06,10.6,82,,N,11,1026.6,13.7,60,7,WNW,15,1024.3
2016-08-18,-1.8,18.4,0,,,NNW,33,12:54,5.9,92,,WSW,2,1025.9,16.5,49,1,NNW,20,1021.7
2016-08-19,-0.8,19.2,0,,,NNW,74,13:37,8.5,79,,WSW,7,1018.7,17.5,44,2,NNW,46,1011.7
2016-08-20,4.1,10.4,7.6,,,W,54,12:10,7,66,6,W,22,1014.9,8.7,66,1,WNW,30,1014.4
2016-08-21,3.9,12.8,1.2,,,WNW,39,13:25,6.7,84,8,N,19,1020,10.7,60,5,WNW,22,1017.9
2016-08-22,1.1,13.1,0,,,N,28,14:10,7,90,7,S,7,1017.6,12.7,52,8,WSW,2,1013.1
2016-08-23,4.1,13.7,4.4,,,S,24,10:01,8.7,77,1,SE,15,1014.7,13.7,50,1,NNW,11,1014.2
2016-08-24,5.6,10.7,0.2,,,ESE,24,17:47,8.5,79,8,SSE,11,1015.3,9.7,70,7,E,13,1010.2
2016-08-25,-0.4,13.7,13.4,,,NW,43,13:48,5.7,97,1, ,Calm,1012.4,11.4,42,8,WNW,22,1010.9
2016-08-26,-1.4,12.7,0,,,SW,30,10:22,6.2,70,,S,7,1021,12.1,38,,N,11,1019
2016-08-27,-3.2,13.1,0,,,NNW,39,15:13,1.8,99,8,NNE,6,1024.6,12.1,53,,NNW,30,1021
2016-08-28,1.4,14.1,0,,,WNW,30,11:06,6.7,74,5,NW,17,1024.3,12.3,53,2, ,Calm,1021.9
2016-08-29,-1.3,16.7,0,,,NNE,28,13:43,6.9,75,,SSW,4,1028.4,14.9,43,8,N,15,1025.4
2016-08-30,3.2,19.4,0,,,NNW,35,13:05,8.3,85,7,W,4,1026.9,18.8,46,,NW,24,1022.8
2016-08-31,8.3,16.7,9.8,,,NNW,54,03:57,12.7,99,8,NNW,26,1018.6,16,79,6,NW,24,1014.8
