Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,12.6,27.8,0,,,NW,37,14:42,21,74,1,N,2,1006.2,26.7,34,8,WNW,22,1004.6
2017-01-2,15.7,29.9,0,,,SE,43,16:02,19.6,73,3,NE,9,1009.2,27.7,33,8,S,13,1008.3
2017-01-3,13.1,27.1,0,,,ENE,44,17:17,19.3,53,4,SE,17,1018.3,24.5,39,1,ENE,28,1016.2
2017-01-4,11,25.1,0,,,E,37,16:38,17.4,68,8,ENE,13,1021,22.8,46,8,E,15,1018.5
2017-01-5,11.2,29.9,0,,,SSW,54,16:57,18.5,68,4,SE,9,1018.4,28.6,33,1,NE,15,1014
2017-01-6,14.5,30.6,1.4,,,ENE,43,17:54,20.3,69,,SE,7,1017.5,28.9,29,1,NE,24,1014.3
2017-01-7,11.8,32.4,0,,,ENE,35,19:38,19.5,65,,N,6,1017.4,30.8,27,,NNW,13,1011.3
2017-01-8,14.9,32.2,0,,,WNW,37,11:53,21.5,65,,WSW,6,1012.1,31.1,27,,WNW,19,1009.5
2017-01-9,19.3,35.7,0,,,SW,48,16:45,25.4,52,8,NNW,9,1011.4,33.1,30,8,WSW,28,1008.1
2017-01-10,17.3,34.2,0,,,NW,44,12:00,25.1,58,,NW,13,1011.2,31,35,8,WNW,24,1008.8
2017-01-11,16.1,36,0,,,W,57,15:10,27.6,53,,W,13,1008.4,35,28,1,WNW,31,1005.2
2017-01-12,12.9,35.1,0,,,E,52,17:58,20.6,65,6,SE,9,1011.4,32.8,22,,WNW,11,1007.8
2017-01-13,17.2,39.6,0,,,NNW,61,12:49,22.9,65,,NW,6,1006.8,38.8,21,1,NW,30,998.8
2017-01-14,18.9,30.3,0.4,,,WNW,56,14:38,23.9,50,,WNW,30,1004.7,29.7,17,,WNW,35,1004.6
2017-01-15,11.3,31.4,0,,,ENE,52,17:16,19,62,,ESE,9,1014.8,29.3,19,,WSW,17,1012.5
2017-01-16,16.6,35.5,0,,,NW,33,16:55,21.1,66,,ESE,6,1015.8,34,21,,WSW,17,1011.5
2017-01-17,12.6,38.6,0,,,WNW,54,12:01,23.4,59,,W,4,1013.4,36.9,22,1,W,28,1008.7
2017-01-18,16.1,38,0,,,W,59,12:10,28,47,,N,11,1006.3,37,12,,W,33,1006
2017-01-19,14.3,23.7,0,,,E,37,16:28,15.2,74,8,ESE,15,1014,21.5,57,8,NE,15,1010.5
2017-01-20,15.1,29,2.8,,,WNW,59,14:31,17.4,87,6,W,2,998,24,81,8,NW,33,991.9
2017-01-21,8.5,31.2,2.2,,,E,46,18:19,16.9,50,,SSE,13,1009.8,28.4,23,,W,13,1009.1
2017-01-22,15,32.3,0,,,E,37,19:27,18,65,8,SW,7,1016.4,31.1,25,,WNW,13,1011.9
2017-01-23,13.9,36.9,0,,,NW,50,14:18,21.8,63,2,NW,4,1012.5,34,37,1,NNW,13,1007.4
2017-01-24,21.7,33.6,1.6,,,W,56,11:23,24.7,81,1,NNW,20,1007.8,28.8,47,8,W,20,1009.6
2017-01-25,15.5,27.8,0,,,ESE,26,23:26,15.9,76,7,E,13,1019.7,24.7,48,1,SW,11,1015.2
2017-01-26,15.1,32.9,0,,,E,50,17:21,19,73,7,E,7,1015.5,30.3,32,,W,11,1011.8
2017-01-27,13.5,33.6,0,,,NE,37,18:37,18.8,71,7,NE,15,1017.2,30.4,34,,WNW,11,1013.2
2017-01-28,14.4,35.4,0,,,NW,50,10:46,23.2,64,,N,11,1014.8,33.7,25,1,W,26,1011.9
2017-01-29,14.2,36.6,0,,,N,39,13:21,23.5,42,,E,6,1016.9,34.2,17,,NW,13,1013.5
2017-01-30,15.5,39.1,0,,,WNW,74,17:29,24.1,66,,NNW,6,1011.9,38.4,19,,NW,43,1007.1
2017-01-31,21,36.6,0,,,NW,54,13:18,27.9,32,,N,13,1009.3,34.2,28,,WNW,26,1008.1
