Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,-4.2,13,0,,,SSE,33,10:46,5.4,70,,N,6,1034.9,12.4,39,,NW,9,1033
2017-06-2,-5.1,12.9,0,,,SSW,35,10:32,2.7,86,, ,Calm,1035.9,12,48,,SSE,17,1033.1
2017-06-3,-4.2,15.4,0,,,W,19,14:09,5.4,82,, ,Calm,1033.9,14.5,51,1,NNW,13,1030.6
2017-06-4,-3.3,13.9,0.2,,,NNW,20,14:33,1.2,99,8,N,4,1030.1,13.3,50,,NW,13,1025.6
2017-06-5,-3.8,12.7,0,,,NNW,24,15:16,1.4,96,, ,Calm,1026.8,12.5,55,,NNW,15,1022.8
2017-06-6,-3.2,12.8,0.2,,,SSE,56,23:25,5.6,84,8,S,7,1021.6,10.1,54,8,S,22,1020.8
2017-06-7,5.6,12.6,0,,,S,56,07:30,8.3,68,,S,31,1026,12.2,60,8,S,35,1025.6
2017-06-8,5.7,17.2,0,,,SSE,22,00:02,10.2,78,6,SSE,9,1028.3,16.4,51,,NW,11,1025.4
2017-06-9,5.5,13.5,0.4,,,SE,33,13:12,9.9,85,1,ESE,6,1029.8,12,68,8,SE,17,1030.2
2017-06-10,5.1,14.1,0,,,SSE,30,10:39,10.2,77,1,SSE,13,1035,12.9,64,7,SE,7,1032.9
2017-06-11,-0.1,16,0,,,E,17,20:52,4.4,99,8,SSE,7,1031.8,15.3,63,,WSW,7,1026.8
2017-06-12,-1.7,15.2,0.2,,,W,15,16:45,4.2,99,8, ,Calm,1028.4,14.3,57,1,W,7,1025.5
2017-06-13,-3,15.7,0,,,W,17,15:40,3.6,88,,NNW,2,1032.6,15.3,53,,WSW,6,1030.5
2017-06-14,-3.1,15.3,0.2,,,NNW,20,13:05,2.2,99,8,SSE,6,1033.9,14.8,57,,NNW,15,1029.9
2017-06-15,-2.8,9.9,0.2,,,NNW,11,11:27,2.5,99,8,WSW,7,1029.9,9.5,71,8,SW,9,1027
2017-06-16,-2,11.5,0.2,,,SW,11,09:20,3,99,8,SSW,6,1027.9,11.2,70,8,W,7,1025.2
2017-06-17,2.9,13,0,,,NNW,13,02:56,9.2,89,8,SE,7,1026.2,12.8,71,8,SSW,6,1023.8
2017-06-18,0.8,15,0,,,SSE,33,10:40,7.3,80,,ESE,9,1029.6,14.7,41,,SSW,13,1028.3
2017-06-19,-3.6,15.7,0,,,NW,15,13:10,2.2,96,, ,Calm,1033.7,15.5,44,,NW,7,1030.1
2017-06-20,-2.9,13.3,0,,,NW,24,16:22,3.3,99,7,SSE,6,1031.3,12.9,69,,WSW,11,1026.6
2017-06-21,-2.4,14.7,0.2,,,WSW,15,15:27,0.1,99,2,S,6,1029.2,14.5,50,,SW,11,1026.5
2017-06-22,-0.4,13.9,0,,,NW,37,12:53,4,99,7,NNW,2,1029.9,13.3,56,,NNW,22,1025.6
2017-06-23,-2.9,13.3,0.4,,,NNW,35,14:12,0.1,99,8,N,7,1022.2,12.4,54,,NNW,22,1016.6
2017-06-24,0.1,14.4,0,,,NW,48,14:33,9.1,68,,N,20,1017.5,13,45,,NW,28,1016.2
2017-06-25,-4.3,14.5,0,,,WNW,54,13:38,2.3,81,,SE,9,1018.9,12,49,,WNW,28,1016.5
2017-06-26,-3.2,13.8,0,,,NNW,28,13:45,4.8,90,1,SE,9,1023.2,12.8,50,1,N,13,1022.5
2017-06-27,-4.1,11.3,0,,,NNW,17,13:09,2.3,94,, ,Calm,1028,10.5,62,8,NNW,9,1024.5
2017-06-28,2.1,12.4,0,,,N,30,15:59,5.8,97,7,S,2,1024.1,11.7,59,5,NNW,20,1021.8
2017-06-29,-4.1,10.6,0.2,,,NW,24,21:32,-0.3,99,8,N,7,1023.7,9.8,65,1,WNW,15,1020.2
2017-06-30,-4.3,11.5,0,,,S,28,11:02,1.8,89,, ,Calm,1027,10.6,35,,W,15,1026
