Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,11.2,29.6,0,,,E,37,15:43,18.7,70,,SE,7,1022.3,28.3,33,,SE,19,1019.3
2017-03-2,14.1,26.9,0,,,ENE,35,11:57,21.6,62,,SSE,11,1018.9,21.2,72,,ENE,20,1016.2
2017-03-3,15.6,27.2,7.6,,,ESE,50,13:22,19.4,79,,SSE,17,1018.9,22.9,66,,ESE,37,1017.8
2017-03-4,16.7,25.6,2,,,E,39,17:07,17.2,97,,SSE,9,1018,23.2,50,,SE,19,1014.9
2017-03-5,12,28.5,3.6,,,SSE,48,15:02,18.4,72,,SE,9,1012.6,27.3,34,,S,28,1009.9
2017-03-6,10.6,26.1,0.2,,,S,44,11:52,17.1,57,,SE,17,1015,25.1,32,,SSW,20,1013.4
2017-03-7,11.7,23.9,0,,,SE,44,15:58,16.5,51,,SSE,19,1019.2,23,39,,E,28,1017.2
2017-03-8,8.9,21.5,0,,,,,,15,66,,SSE,15,1019.7,19.7,55,,E,20,1018.1
2017-03-9,11.3,23.5,,,,NNE,33,15:50,14.4,78,,SSE,13,1018.7,22.6,38,,SE,13,1016.1
2017-03-10,5.8,29.6,0,,,SE,50,15:39,12.7,78,,SE,6,1016.5,28.8,13,,SSW,26,1012.8
2017-03-11,9.1,30.1,0,,,NW,31,14:26,12.8,94,,NE,2,1014.7,28.2,28,,NW,15,1010
2017-03-12,10.5,32.7,0,,,NNW,56,18:58,16,81,,SE,4,1009.8,31.4,16,,NW,31,1005.3
2017-03-13,15,26.9,1.6,,,SSE,48,06:35,17.5,76,,SE,13,1012,24.6,51,,E,19,1012.5
2017-03-14,12.9,24.1,1.2,,,E,48,15:05,20.9,62,,SE,13,1020.7,20.7,87,,ESE,17,1020.5
2017-03-15,17,25.4,13,,,E,46,10:09,19.2,80,,SSE,9,1021.8,25.4,55,,NE,26,1018.2
2017-03-16,17.4,27.7,0,,,E,37,18:24,18.4,88,,S,9,1014.5,25.4,54,,NW,11,1010.6
2017-03-17,14.7,24.3,0.2,,,ESE,46,15:14,18.2,75,,S,20,1019.5,23,52,,SE,19,1021.4
2017-03-18,13.5,23.5,0,,,ESE,46,11:21,17.5,70,,SSE,19,1025.7,22,61,,SE,26,1024.5
2017-03-19,14.4,27.5,0,,,NE,41,17:08,19.4,77,,SSE,15,1022.1,25.5,63,,NE,22,1018.3
2017-03-20,14.8,30.4,0.8,,,NNW,44,16:51,19.8,88,,NE,6,1018.6,28.9,45,,W,9,1014.5
2017-03-21,18.2,23.7,6.4,,,W,50,11:12,19.9,93,, ,Calm,1015.6,20.7,89,,NNW,9,1013.4
2017-03-22,16.1,27.1,22.8,,,NW,39,13:39,20,95,,NNE,9,1014.1,20.1,95,8,NW,24,1013.7
2017-03-23,12.6,19.9,8.2,,,ESE,30,10:20,15.7,87,8,SSE,9,1019.3,18.1,80,8,ENE,15,1017.7
2017-03-24,14.4,21.6,9,,,E,31,14:23,16.1,77,6,SSE,11,1020.7,20.7,58,8,ESE,17,1018.4
2017-03-25,12.2,20.2,0,,,NW,15,10:04,15.1,88,7,SE,9,1016.8,17.9,79,8,S,2,1014
2017-03-26,10,28.4,0.6,,,ENE,26,19:24,15.6,86,,SE,9,1016.5,27.9,36,,SW,9,1014
2017-03-27,12.8,29.9,0,,,WNW,59,19:26,16,99,4, ,Calm,1015.9,28.6,46,,NW,30,1010.6
2017-03-28,15.9,27.3,0.4,,,NNW,33,14:59,18,85,3,N,9,1013.4,26.5,41,,NNW,11,1011.1
2017-03-29,8.4,27.5,0,,,NNW,41,14:25,10.9,99,8,NNW,7,1012.5,26.6,23,,NW,22,1008.4
2017-03-30,10.8,22.7,0,,,SSW,48,16:03,16.2,84,7,WSW,6,1009.1,19.7,58,8,SSE,20,1007.6
2017-03-31,7.2,20.2,7.6,,,,,,10.6,63,,S,19,1018,18.7,40,1,S,9,1015.3
