Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,-1.3,18.1,0,,,NW,46,10:46,9,64,,NNW,6,1013.6,16.7,37,1,W,30,1009.7
2016-11-2,4.5,20.6,0,,,NW,54,13:30,13.7,48,,WNW,20,1013.6,19.8,35,,NW,31,1012.6
2016-11-3,2.5,23,0,,,NNW,56,14:03,12.9,65,,NNW,6,1018.3,21.9,36,,NNW,37,1014.6
2016-11-4,3.6,24.5,0,,,NNW,54,22:10,16.3,55,,NNW,15,1014.5,23.6,24,,WNW,31,1009.8
2016-11-5,11.6,17.6,0,,,WNW,63,03:34,13.6,32,,W,30,1004.7,17.2,38,,WNW,30,1007
2016-11-6,6.6,19.9,0,,,NW,48,15:28,13,49,,WNW,15,1008.3,18.3,40,,WNW,30,1007.5
2016-11-7,6.5,25.3,0,,,N,59,14:46,17.1,50,,NW,22,1010.6,24,38,,NW,35,1006.5
2016-11-8,7.9,28.6,0,,,NNW,54,12:07,17.8,62,8,SSW,11,1007.6,24.6,29,6,NW,28,1008.1
2016-11-9,11.7,24.8,8.4,,,NE,50,18:19,14.6,86,7,ENE,11,1012.6,24,45,1,NW,19,1007.7
2016-11-10,10.6,24,6.2,,,WNW,50,16:53,15.9,81,5,NNW,11,1009.2,22.9,36,,WNW,31,1007
2016-11-11,8.5,26.1,0,,,N,39,11:51,15.9,70,,NNE,11,1012.1,25.3,38,,N,20,1007.5
2016-11-12,14.6,26.5,19.4,,,WNW,74,13:59,17.6,85,8,WNW,13,1002.3,26.4,37,1,WNW,52,998.4
2016-11-13,10.1,18.6,0,,,,,,13.3,68,7,WNW,26,999.2,16.4,47,8,NW,46,996.9
2016-11-14,7.9,19.8,8.6,,,,,,14.6,62,,WNW,13,1002.7,15.4,69,,W,20,1004.8
2016-11-15,4,20.6,0.6,,,NNW,31,14:40,12,59,4,SSE,7,1015.4,19,54,4,N,20,1014
2016-11-16,5.2,25.3,0,,,ENE,37,18:05,15.1,67,,NNW,2,1020.3,23.7,33,,N,15,1019.1
2016-11-17,11,25.5,0,,,NNW,39,14:40,15.5,63,,E,7,1024.4,24.9,41,,WNW,20,1020.1
2016-11-18,9.1,30,0,,,N,43,13:49,19.6,66,,E,4,1018.5,28.8,32,3,NW,30,1015.1
2016-11-19,11.7,31.1,0,,,WNW,50,15:21,21.1,63,1,NW,6,1017.6,30,29,1,NW,19,1015.3
2016-11-20,13.4,31.1,0,,,ESE,48,16:42,19.4,68,,W,4,1019.8,28.7,37,2,NW,22,1016.8
2016-11-21,14.4,30.2,9.4,,,NW,50,14:20,21,72,,E,2,1018.4,29.6,36,,WNW,30,1015.5
2016-11-22,11.9,31.2,0,,,NNW,44,09:09,24.5,47,,NNW,17,1015.9,30.3,30,,NW,20,1012.6
2016-11-23,13.4,20.4,0,,,,,,17,77,8, ,Calm,1010.6,15,90,8,NNW,26,1008.8
2016-11-24,2.5,21.2,4.2,,,WNW,43,16:42,11.8,59,,SSW,13,1013.5,19.4,52,8,NNW,22,1011
2016-11-25,4.7,24.3,0,,,N,50,14:01,15.5,41,,NNW,11,1012.8,22.4,31,,N,35,1010.9
2016-11-26,7.9,24.7,0,,,N,44,14:49,16,69,1,NNW,7,1016.7,24,34,,NW,28,1013.6
2016-11-27,9.2,26.5,0,,,NE,35,16:48,16.2,70,7,SSE,11,1017.5,24.9,37,,N,13,1014.6
2016-11-28,14.7,27.7,0,,,NNW,50,13:51,19.3,68,4,NW,13,1014.6,26.8,28,,WNW,24,1010.9
2016-11-29,7.9,28,0,,,WNW,39,15:22,18.1,67,,SW,9,1012.4,27.2,20,7,NW,22,1009.3
2016-11-30,10.4,30.1,0,,,NW,41,14:20,18.1,67,2,WSW,6,1011.4,28,28,1,NW,26,1006.5
