Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-10-1,6.5,14.1,2,,,NW,54,12:10,11.5,83,8,NNW,31,1004.9,11.4,75,8,NW,35,1006.4
2016-10-2,5.3,19.4,0.2,,,NW,41,13:28,12.3,72,,NW,19,1012.7,19,54,,NNW,28,1008.4
2016-10-3,7.3,14.3,8.8,,,NW,72,15:34,12.6,73,8,WNW,26,999.2,11.4,68,6,W,26,1000.2
2016-10-4,6.5,14,1.4,,,WNW,96,16:43,8.7,68,8,WNW,31,1006.1,12.1,77,8,NW,39,1003.7
2016-10-5,3.6,14.6,8.4,,,W,59,21:13,8.3,54,,WNW,26,1015.6,13.4,43,7,WNW,35,1014.9
2016-10-6,7.8,21.2,0,,,WNW,50,02:38,12,65,,NNE,20,1019.8,20.6,46,1,WNW,33,1018
2016-10-7,7.6,22.9,0,,,NW,44,12:15,14.9,71,1,N,11,1021.8,19.9,46,,WNW,31,1017.6
2016-10-8,8.5,18.9,0,,,ENE,35,13:29,16.5,64,,NNE,15,1016,15,70,8,E,28,1017
2016-10-9,1.4,17.4,0,,,W,28,10:22,9.4,81,,S,9,1021.5,15.1,65,8,NW,13,1015.6
2016-10-10,6.2,18.6,0,,,WNW,61,10:10,16.4,77,8,NW,24,1008.7,10.2,81,,NNW,39,1009.8
2016-10-11,5.2,14.2,1,,,WNW,46,16:17,8.2,53,,W,19,1013.7,13.3,46,2,WNW,26,1013.4
2016-10-12,-0.9,16,0,,,WNW,41,11:58,8,70,,NNW,9,1016,14.6,47,8,WNW,28,1013.2
2016-10-13,1.7,16.2,0.4,,,S,39,00:17,8.4,63,,SE,13,1022.3,13.6,44,3,SSW,17,1021.3
2016-10-14,-0.3,18.9,0,,,NNW,31,16:02,7.9,73,,ESE,6,1025.5,18.2,33,,N,13,1021.7
2016-10-15,1,20,0,,,N,44,12:59,9.8,74,,N,2,1022.8,19.1,41,,NNW,30,1017.7
2016-10-16,9,23.6,0,,,NNW,63,15:55,15.9,55,,NW,31,1012.6,22.1,45,,NNW,37,1007.1
2016-10-17,9.7,16.1,5.4,,,NW,48,13:16,10.1,90,8,NNW,31,1006.4,15.9,56,,WNW,33,1006.8
2016-10-18,5.2,17.5,0,,,NW,65,12:57,12.2,60,,NW,28,1012.1,16.1,52,7,WNW,37,1011.1
2016-10-19,4.6,16,0.6,,,N,52,14:10,9.1,56,,W,9,1017.8,13.4,43,7,N,30,1017.8
2016-10-20,1.5,19.4,0,,,NNW,39,15:58,9.5,77,8,SSW,6,1023.8,19.2,45,1,NNW,13,1019.3
2016-10-21,1.4,21.6,0,,,NNW,43,12:32,11.1,77,,NE,4,1018.5,20,42,1,NNW,30,1013.4
2016-10-22,10.4,13.8,7.4,,,NNW,52,09:59,10.5,94,8,NNW,30,1010,10.3,65,7,SE,15,1011
2016-10-23,0.7,16.4,5.4,,,S,50,05:33,8.9,61,,S,19,1019.8,14.6,34,8,NNW,13,1017.3
2016-10-24,-1,18.2,0,,,N,31,15:16,8.7,60,,S,13,1019.2,17.5,52,1,N,15,1016.2
2016-10-25,1.2,20.7,0,,,NNW,48,14:43,10,78,,NNE,4,1018.3,19.6,46,,NNW,35,1014.7
2016-10-26,8.4,24.1,0,,,NW,56,14:52,15.1,63,4, ,Calm,1017.1,24,33,1,NNW,33,1012.4
2016-10-27,7,23.2,0,,,E,50,16:42,17.8,65,,NW,7,1015.1,22.4,36,,N,28,1013.3
2016-10-28,8.9,18.6,0,,,ENE,26,18:04,11.3,74,8,SSW,2,1020.4,16.4,67,8,SE,11,1017.4
2016-10-29,11,24,0,,,NE,33,18:35,15.2,82,8,SSW,4,1020.1,21.3,59,7,N,11,1016.2
2016-10-30,10.2,22.4,0,,,NW,72,14:18,18.4,81,8, ,Calm,1011.4,20.7,67,2,NW,44,1006.7
2016-10-31,5.6,16.5,2.6,,,NW,50,01:06,10,37,,WNW,24,1011.5,16.1,30,,WNW,28,1011.1
