Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-09-1,4.3,16.7,1.8,,,NNW,31,13:50,12.2,72,,NW,13,1020.9,14.7,50,7,NNW,24,1016.3
2016-09-2,5.6,10.5,0,,,SE,28,23:05,9.3,77,6,SE,11,1012.6,10.2,99,8,S,9,1006.4
2016-09-3,9.1,14.6,53.6,,,WNW,50,12:48,9.2,99,7,NW,19,999.2,11.6,84,8,NW,30,1006.6
2016-09-4,4.9,13.9,1,,,NW,46,15:48,10.3,69,,NW,19,1021.9,12.5,65,,NNW,35,1023
2016-09-5,2.9,16.4,0,,,N,19,14:29,5.7,96,8,S,7,1031.5,15.7,55,,N,11,1028.2
2016-09-6,0.6,19.4,0,,,N,33,13:19,9.4,75,,SW,6,1030.9,18.7,40,,NNW,20,1027.8
2016-09-7,2.7,19.1,0,,,ENE,37,19:28,11.8,77,8,S,7,1033,18.2,50,1,N,11,1029.4
2016-09-8,6.9,20,0,,,NNW,48,13:31,12.4,85,7,NNW,2,1029.1,17.3,61,8,NW,22,1024.1
2016-09-9,5.2,17.4,0,,,NNW,48,09:28,14.6,70,8,NNW,6,1020.2,14.5,79,8,NNE,13,1015.5
2016-09-10,9.5,14.3,15.2,,,NW,44,09:35,11.3,88,8,NW,30,1011,12.7,73,8,WNW,26,1012.6
2016-09-11,2.8,15.7,0.4,,,NNW,39,15:15,7.7,83,8,E,6,1020.2,14.6,62,,NNW,26,1017.4
2016-09-12,1.3,16.6,0,,,NW,26,01:42,9.7,69,,W,6,1022.1,16.1,44,,N,15,1018.5
2016-09-13,5.7,17.5,0,,,NE,30,11:08,12,81,8,ESE,9,1021.9,16.5,59,8,NE,13,1018.3
2016-09-14,10.1,18.3,0,,,N,56,13:33,14.9,79,8,N,20,1013.4,13.3,78,6,W,20,1009.6
2016-09-15,6,12.9,5.2,,,WNW,69,14:11,7,92,8,NNW,37,1009.4,10.5,85,8,NW,46,1008.8
2016-09-16,6.8,15.7,0.2,,,WNW,52,12:57,10.5,80,8,NW,22,1017.2,14.9,47,8,W,26,1017
2016-09-17,0.4,17,0,,,NW,35,11:07,9.6,72,,NE,4,1022.5,15.5,50,8,NW,15,1018.4
2016-09-18,4.4,13.1,0,,,SSE,26,18:03,10.4,84,8,SW,2,1012.3,11,91,8,SE,9,1005.4
2016-09-19,6.4,14.6,6.6,,,NNW,48,13:46,9.3,92,8,NW,20,1011.1,13.4,68,,NNW,31,1010.1
2016-09-20,1.8,14.5,0,,,NNW,33,02:09,8.7,66,1,SSW,9,1018.3,14,55,1,NNW,17,1015.8
2016-09-21,6.7,11.7,6.8,,,S,35,16:14,9.2,95,8,ESE,9,1012,10.6,98,8,WNW,7,1008.1
2016-09-22,6.9,14.9,24.2,,,SSW,44,18:17,10.2,88,8,NNE,6,1009.2,14.2,62,8,W,19,1008.4
2016-09-23,5.5,18.2,0.2,,,SSW,48,08:15,12.9,65,,S,31,1015.3,16.3,51,,SSE,13,1012.4
2016-09-24,2.7,19.2,0,,,NW,33,14:52,12.3,75,,NW,6,1013.4,18.3,56,7,NW,22,1008.7
2016-09-25,10.2,18.3,0,,,W,41,11:39,14,67,,NW,17,1007.3,16.2,53,1,WNW,22,1007.1
2016-09-26,2.5,15.3,0,,,WNW,46,14:19,9.8,60,,WNW,11,1013.6,14.4,46,1,WNW,30,1010.3
2016-09-27,3.3,14.3,1.6,,,NW,52,12:01,10.7,60,8,NW,28,1009.2,12.3,47,6,WNW,28,1009.6
2016-09-28,-1.1,16.9,0,,,NNW,26,15:03,8.7,68,,SW,2,1015,16.4,43,,NNW,17,1009.8
2016-09-29,4.9,14.7,13.4,,,NNW,59,13:54,10.6,91,8,NNE,28,995.7,12.8,48,7,NW,39,994.1
2016-09-30,4.9,12.1,19,,,NNW,67,09:51,7.8,91,8,NNW,35,995.4,10.5,72,8,NW,31,995.6
