Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,23.5,31.7,0,,,NNE,44,15:40,27.5,62,,NW,20,1015.3,29.5,61,,NNE,35,1012.4
2017-02-2,24.5,32.1,0,,,,,,28.9,63,,NNW,19,1013,28.1,69,,N,35,1010
2017-02-3,23.1,30.1,0,,,NNE,33,13:07,27.7,76,,NNE,20,1015.3,29.6,63,,NNE,26,1013.2
2017-02-4,21.9,30,0,,,NNE,31,13:53,28.2,73,,NE,11,1016.2,29.2,72,,NE,28,1013.4
2017-02-5,22.4,30.6,0,,,NNE,33,13:17,29.2,71,,NNE,15,1015.5,29.4,70,,NNE,24,1012.6
2017-02-6,22.3,30.5,0,,,NE,30,12:31,28.5,75,,NNE,11,1014.7,29.6,67,,NNE,26,1011.8
2017-02-7,22.7,,0,,,,,,28.5,65,,SE,6,1015.3,30.2,66,,ESE,20,1013.8
2017-02-8,24.8,31,,,,SE,52,14:48,28.5,69,,SE,35,1016.9,29.5,62,,SE,41,1015.4
2017-02-9,23.1,30.3,6.2,,,SSE,50,02:03,27.5,87,,SSE,31,1016,29.6,66,,SE,35,1013.1
2017-02-10,22.6,29,8.4,,,ESE,33,00:01,28.2,85,,SE,15,1013.8,28.6,78,,E,19,1010
2017-02-11,23.3,32.6,0,,,NNE,44,15:12,28.9,66,,NW,15,1009.6,29.2,70,,NNE,35,1006.6
2017-02-12,24.1,33,,,,,,,29.6,64,,N,20,1005,29.6,74,,N,31,999.9
2017-02-13,25.1,31.5,0,,,SE,63,14:03,29.8,65,,SSE,26,1004.1,27,78,,SSE,46,1003.6
2017-02-14,23.7,29.9,0.6,,,SSE,48,08:50,25.3,75,,SSE,37,1012,28.3,56,,SE,33,1011.5
2017-02-15,24.1,30.4,0.2,,,SE,37,00:23,26.9,67,,SSE,26,1014.9,27.6,60,,SE,28,1012.7
2017-02-16,22.7,29.3,0,,,NE,30,13:58,26.8,58,,ENE,7,1015.3,27.9,60,,ENE,20,1013.1
2017-02-17,23.1,29.1,0,,,NE,35,13:31,28,56,,NE,13,1015.7,28.1,58,,NNE,30,1012.4
2017-02-18,21.9,30.8,0,,,NNE,48,16:34,26.3,64,,NNW,22,1012.1,28.9,57,,NNE,41,1008.3
2017-02-19,23.4,30.6,0,,,NW,35,01:05,26.5,69,,WNW,20,1008,27.4,74,,N,26,1005.5
2017-02-20,21.5,29.3,4.2,,,SE,39,12:58,25.6,74,,SSE,7,1011.5,28.2,57,,SE,30,1009.6
2017-02-21,22.1,30.6,1.6,,,SSE,46,16:01,27.8,70,,SSE,19,1017.5,28.2,67,,SSE,31,1016.3
2017-02-22,22.4,30.3,0,,,SSE,50,14:28,27.1,62,,SSE,31,1020,28.1,56,,SSE,37,1017.5
2017-02-23,22,29.9,0,,,SE,50,13:10,26.7,49,,SSE,28,1019.4,27.9,58,,SE,41,1017.6
2017-02-24,20.4,30.5,0,,,SE,41,17:22,28,52,,SSE,22,1019,27.8,54,,SE,31,1016.2
2017-02-25,20.2,30.6,,,,,,,27.6,52,,SSE,30,1016.8,27.7,59,,SE,44,1013.8
2017-02-26,21.8,30.3,0,,,SE,74,20:04,26.8,59,,SSE,33,1016.3,27,57,,SSE,43,1015.2
2017-02-27,20,24.2,2.2,,,SSE,57,04:49,21.8,82,,S,33,1018.7,22.7,74,,S,37,1016.5
2017-02-28,20.1,29,0,,,SSE,44,16:11,23.5,74,,S,19,1016.5,27.8,62,,SE,31,1015.4
