Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,11.9,20.7,0,,,SSE,50,11:48,16.5,52,,SSW,22,1027.4,19.5,47,,S,33,1025.9
2017-06-2,13,21.9,0,,,S,48,16:03,17.8,50,,S,30,1028.5,20.6,48,,SSE,31,1025.3
2017-06-3,12.7,22.5,0,,,S,48,15:19,18.9,55,,S,24,1025.9,21.2,49,,SSE,33,1023.1
2017-06-4,14.1,22.7,0,,,SSE,44,15:54,18.7,59,,S,24,1024.4,21.3,52,,SSE,30,1021.3
2017-06-5,11.6,23,0,,,ESE,30,16:12,17.8,62,,SW,7,1023.8,20.8,58,,ESE,19,1020.3
2017-06-6,12.6,21.7,0,,,W,31,13:29,16.3,76,,NW,15,1020.7,21.1,32,,WNW,24,1016
2017-06-7,8.6,20.9,0,,,ESE,30,16:17,14.6,49,,W,7,1018.2,19.6,30,,SW,13,1015.5
2017-06-8,9.4,21.9,0,,,S,35,13:25,15,55,,WSW,9,1019.8,21.6,37,,S,15,1017.3
2017-06-9,11.7,23.9,0,,,SSE,48,14:31,19.8,64,,S,20,1020.7,20.3,68,,SSE,28,1019.6
2017-06-10,16,21.9,0,,,SE,65,22:07,19.3,66,,S,31,1023.8,20.2,87,,SE,33,1022
2017-06-11,16.2,21.9,21.6,,,ESE,50,07:07,20.5,82,,ENE,26,1023.6,18.1,99,,SE,26,1020.9
2017-06-12,15.7,21.8,52,,,SE,67,00:00,17.5,100,,S,11,1020.4,19.8,91,,SSE,22,1017.2
2017-06-13,15.1,19.4,15.2,,,SE,87,00:45,18,100,,SSE,67,1019.1,17.3,100,,SSE,52,1019.2
2017-06-14,16.3,20.6,17.8,,,SE,72,12:50,18.1,100,,S,37,1023.3,20,100,,SSE,52,1022.7
2017-06-15,17,22.6,15.6,,,SSE,50,12:37,19.5,98,,S,26,1024.6,21,78,,SSE,33,1021.5
2017-06-16,17.7,21.6,0,,,SSE,46,07:47,19.5,97,,SSE,30,1022.6,20.7,100,,S,24,1019.8
2017-06-17,17.7,22.8,1.8,,,SSE,35,22:07,19.6,100,, ,Calm,1020.5,19.5,99,,SSW,15,1017.2
2017-06-18,14.3,23,0.4,,,S,39,13:05,19.1,85,,SSW,13,1019.5,21.7,62,,SSW,19,1018.2
2017-06-19,16,21.6,0,,,S,61,10:28,19.5,79,,S,26,1021,20.2,80,,S,43,1019.9
2017-06-20,16.4,21.8,0,,,S,52,03:20,17.5,92,,S,31,1022,19.2,81,,S,24,1020.4
2017-06-21,14.2,22.7,0,,,SSE,35,13:39,19,66,,SSW,13,1022.6,20.3,69,,SSE,28,1021.2
2017-06-22,13.7,22.5,0,,,SSE,39,14:04,18.3,66,,SSW,11,1025.6,21.4,51,,SE,26,1022.7
2017-06-23,13,22.7,0,,,NNE,24,14:04,18.2,66,,SW,9,1022.7,22.3,49,,NNW,13,1018.1
2017-06-24,11.8,24.3,0,,,SE,31,16:47,17.1,65,,WNW,15,1018.1,22.4,52,,ENE,11,1015.4
2017-06-25,12.9,22.4,0,,,NNE,26,15:25,18.2,66,,W,9,1020.2,21.7,64,,NE,19,1017.3
2017-06-26,14.1,22.5,0,,,SE,31,15:02,18.3,87,,NW,7,1020.8,22.3,51,,SE,24,1019.7
2017-06-27,14.1,21.5,0,,,SSE,30,09:24,19.4,74,,S,15,1025.3,20,72,,SSE,20,1023.4
2017-06-28,15.1,24.3,0,,,N,26,11:52,19.5,82,,NW,11,1024.9,22.4,67,,N,20,1022
2017-06-29,15.1,24.1,0,,,N,37,13:17,19.1,82,,NNW,11,1021.6,23.1,63,,NNW,20,1017.6
2017-06-30,14.6,21.8,7.6,,,SE,52,16:26,17.2,85,,WNW,11,1021.9,20,70,,SE,33,1019.9
