Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,20.1,29.9,0,,,SE,48,13:11,27.4,62,,SSE,20,1017.6,28.5,65,,SE,39,1015.2
2017-03-2,21.2,29.4,2.8,,,SE,39,12:45,27.4,72,,SSE,19,1015.7,29,66,,ESE,22,1012.3
2017-03-3,21.3,30.8,0,,,SE,35,16:09,28.3,64,,SE,13,1013.3,28.5,66,,SE,26,1011.4
2017-03-4,22.2,29.4,20,,,ESE,26,14:31,25.9,79,,SSE,19,1013.5,27.7,74,,E,19,1010.3
2017-03-5,22.6,28.8,1.6,,,SSE,41,21:27,25.5,89,,ENE,9,1009.7,28.1,83,,NE,22,1006.1
2017-03-6,21.4,29.9,0,,,SE,48,13:39,27.5,64,,SSE,28,1009.8,28.1,66,,SE,39,1008.3
2017-03-7,21.5,29.9,0,,,SE,72,16:24,27.1,44,,S,31,1013.6,26.5,56,,SE,52,1010.3
2017-03-8,19.4,29.5,0,,,SSE,59,18:31,24.5,52,,SSW,17,1013.5,26.6,52,,SSE,41,1010.5
2017-03-9,19.5,30,0,,,SE,56,16:44,25.6,54,,SSE,30,1012.2,28.4,45,,SSE,30,1008.6
2017-03-10,19.5,29.7,0,,,SE,59,15:19,25.2,46,,SSW,15,1011.8,26.7,62,,SE,44,1008.9
2017-03-11,17.8,29.1,0,,,ESE,33,17:28,26.5,46,,SSE,19,1013.1,27,57,,ESE,20,1010.5
2017-03-12,21.2,29.3,0,,,NE,33,12:30,26.4,62,,N,9,1012.6,27.4,70,,ENE,26,1009.5
2017-03-13,23.6,27.2,0,,,WNW,52,09:05,25.6,69,,W,22,1014.5,25.2,76,,ESE,15,1012.7
2017-03-14,21.4,27.1,2.2,,,SSE,57,14:30,25.8,84,,ESE,20,1016.4,25.6,74,,SSE,43,1014.4
2017-03-15,21.1,27,33.8,,,ESE,46,05:29,23.4,100,,SSE,35,1013.8,26.7,88,,NNE,20,1011.9
2017-03-16,22,28.1,8.4,,,SE,31,13:27,24.7,99,,SSE,9,1012.1,27,94,,SE,26,1008.9
2017-03-17,21.1,29.4,0.6,,,SE,61,14:08,27.2,85,,WNW,6,1011.5,26.2,86,,SE,44,1009
2017-03-18,21.2,30.8,1.4,,,NNE,44,17:23,26,74,,NW,17,1010.7,29.9,53,,NW,9,1009.2
2017-03-19,21.5,28.4,74.8,,,ENE,48,23:17,23.5,100,,WSW,9,1018.2,23.6,100,,SSE,13,1016.1
2017-03-20,23.3,26.2,20.2,,,NE,48,00:12,26.2,100,,ENE,20,1017.5,25.1,100,,ENE,28,1015.1
2017-03-21,22.6,28.1,10.4,,,ENE,37,00:02,26.1,95,,ENE,20,1017.2,26.7,96,,NE,13,1015.3
2017-03-22,23.9,28.9,0,,,NE,37,02:06,26.8,97,,N,11,1016.2,24.1,99,,NNW,17,1013.7
2017-03-23,22.8,29.4,2.8,,,S,26,20:21,25.1,100,,WNW,7,1016.4,27,91,,NNE,19,1013.9
2017-03-24,22.1,28.9,0,,,SSE,59,19:15,25.2,99,,SE,13,1016.4,24.3,100,,SSE,30,1013.9
2017-03-25,21.4,27.7,6.6,,,SSE,43,00:02,24.1,92,,SSE,26,1017,25.8,82,,ESE,19,1014.4
2017-03-26,21.1,28.7,0,,,NNE,28,15:42,25.3,81,,NNW,11,1016.1,27.8,74,,NNE,22,1012.1
2017-03-27,22.1,28.3,5.2,,,SSE,31,09:41,25.8,83,,SSE,22,1016.3,26.5,86,,ESE,19,1013.2
2017-03-28,20.7,28.5,0.2,,,NE,26,14:51,26,81,,WSW,4,1014.9,27.4,72,,NE,20,1012.1
2017-03-29,22.3,28.7,0,,,NE,41,22:39,27,91,,ENE,13,1014.9,25.2,100,,ENE,28,1012.2
2017-03-30,23.3,24.6,105,,,ENE,76,20:38,24.1,,,NE,35,1010.2,24.4,,,NE,37,1004.2
2017-03-31,20.5,26.7,98,,,S,81,04:02,23.4,99,,SSW,28,1005.7,25.3,71,,S,39,1007.7
