Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-05-1,15.6,25.3,0,,,S,26,08:47,22.1,63,,S,17,1021.5,23.1,65,,ESE,17,1018.5
2017-05-2,16.1,25.5,0,,,NE,26,14:52,22,65,,WNW,9,1020.1,24.1,65,,NE,20,1016.8
2017-05-3,16.5,25.5,0,,,SSE,61,18:16,23.1,72,,SE,26,1021.5,22.4,75,,SSE,35,1021.1
2017-05-4,17.5,23.7,0,,,SSE,54,06:32,20,80,,S,17,1026.7,21.2,66,,S,33,1025.2
2017-05-5,16.8,24.1,0.2,,,SSE,48,14:13,21.4,62,,S,31,1028.4,21.9,66,,SSE,33,1025.7
2017-05-6,15.9,24.1,0,,,SSE,46,00:18,19.4,78,,S,17,1026.5,22.6,65,,SSE,28,1023.4
2017-05-7,17.1,25.1,0,,,SE,33,15:21,22.6,65,,SSE,22,1023.6,22.9,69,,SE,28,1020.8
2017-05-8,15.6,21.8,1.2,,,SE,61,20:30,19,84,,S,31,1023.1,18.6,96,,ESE,43,1020.7
2017-05-9,17.6,22.7,9.2,,,SSE,56,05:57,19.8,75,,SSE,31,1022.5,21.5,61,,SE,39,1020
2017-05-10,16.8,20.2,0.4,,,SSE,54,05:31,18.2,82,,SSE,31,1020.4,18,80,,S,26,1017.3
2017-05-11,14.8,23.8,0.6,,,S,44,09:08,20.1,63,,S,30,1020.6,23,50,,SSE,33,1018.6
2017-05-12,16.2,23.1,0,,,SSE,50,09:19,20,71,,SSE,22,1023.5,20.9,73,,SSE,33,1021.2
2017-05-13,16.1,23,1.2,,,SSE,44,04:45,20,77,,S,28,1022.7,18.4,92,,SSE,28,1020.6
2017-05-14,16.9,20.2,4.2,,,SSE,39,10:37,18.2,100,,SSW,6,1018.9,19.6,88,, ,Calm,1015.3
2017-05-15,15,23.4,3.2,,,SE,30,15:44,18,97,,NW,11,1015,22.5,82,,ESE,19,1012.1
2017-05-16,13.1,24.7,0,,,WNW,30,13:08,18.9,73,,NW,15,1018,24.2,31,,W,13,1015.6
2017-05-17,14.1,23.9,0.2,,,ESE,30,22:36,20.7,66,,S,15,1022.2,22.5,58,,SE,17,1020.8
2017-05-18,15.7,23.2,0,,,SE,37,19:06,20.6,74,,SE,24,1025,21.6,66,,SE,28,1022.6
2017-05-19,17.8,20.4,5.4,,,E,48,18:21,18.5,100,,SW,9,1024.1,18.7,100,,ESE,33,1019.6
2017-05-20,16.3,23.5,51.8,,,SSW,20,00:19,20.4,100,,SSW,17,1018.6,21.3,99,,E,11,1016
2017-05-21,16.8,23.7,0,,,ESE,19,13:08,20.8,100,,SW,2,1019.4,22.4,100,,E,11,1017.8
2017-05-22,15.6,24.9,0,,,SE,35,13:40,20.7,100,,SSE,13,1022.1,23.5,100,,SE,30,1019.5
2017-05-23,16,24.6,0,,,SE,24,15:26,21.4,100,,S,7,1022.2,22.6,100,,ESE,19,1018.4
2017-05-24,15.4,26.6,0.2,,,NNW,28,19:03,20.2,100,,NW,13,1019.4,25.9,88,,NW,17,1014.5
2017-05-25,14.9,23.8,0,,,S,41,08:32,21.1,76,,S,30,1019.1,22.5,82,,SE,31,1017.5
2017-05-26,13.9,22.7,0,,,ESE,20,17:28,19.7,89,,S,13,1021.1,21.9,70,,E,15,1018.2
2017-05-27,14.9,23.4,0,,,SE,24,10:37,19.4,99,,SSW,9,1022,21.8,94,,E,11,1018.9
2017-05-28,14.6,24.7,0,,,NW,31,10:34,19.2,100,,NW,11,1018.9,22.4,100,,N,24,1015.6
2017-05-29,14.9,25.2,0,,,W,31,14:31,19.2,99,,NW,11,1018.7,24.7,37,,NW,19,1017.1
2017-05-30,13.8,23,0,,,SSE,33,09:11,19.9,68,,SSE,26,1022.7,21.7,65,,SSE,19,1020.1
2017-05-31,11.3,21.6,0,,,S,39,18:38,16.3,43,,WNW,11,1022.7,20.5,40,,ESE,15,1020.4
