Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,20.4,26.3,0.4,,,S,33,04:46,23.6,79,,SSE,19,1010.9,24.9,75,,NE,17,1007
2016-11-2,14.5,26.8,0.2,,,SE,50,12:10,26,42,,SSE,22,1013.8,25.2,50,,SE,33,1013.1
2016-11-3,17.4,26.3,0,,,ENE,26,11:47,24.2,63,,SE,13,1019.3,24.2,55,,NE,19,1016.1
2016-11-4,19,27.6,,,,NNE,46,13:58,26.6,53,,NNE,17,1016.3,26,57,,NNE,35,1011.8
2016-11-5,19.8,31.5,0,,,,,,26.3,48,,NW,26,1011.5,25.7,70,,N,35,1005.7
2016-11-6,15.9,26.9,0,,,SSE,35,00:07,25.7,56,,SE,19,1010.7,25.1,58,,ENE,15,1007.7
2016-11-7,18.9,28.2,0,,,NE,31,14:04,25.6,61,,NE,24,1016,26.7,61,,NNE,26,1012.4
2016-11-8,22.7,29.4,0,,,NNW,50,19:30,27.4,63,,N,28,1013.8,24.9,80,,N,33,1010
2016-11-9,22.3,30.8,0,,,NNE,52,15:31,26.8,69,,NW,26,1013.8,25.3,74,,NNE,41,1008
2016-11-10,20.7,28.4,16.4,,,,,,26.1,73,,NNW,15,1009,26.2,81,,N,26,1004.6
2016-11-11,18.3,28.3,0,,,,,,24.4,77,,,,1013.1,24.8,81,,,,1009.1
2016-11-12,21.3,30.2,0,,,,,,28.1,72,,,,1009.6,22.2,93,,,,1006.5
2016-11-13,21.8,32.8,8.6,,,,,,26.7,84,,,,1003.7,27,76,,,,998.2
2016-11-14,19.5,,0,,,,,,26.3,22,,,,1005.3,29.2,21,,W,24,1003
2016-11-15,16.3,25.9,,,,SE,52,13:39,22.1,50,,SSE,33,1014.6,21.8,58,,SE,35,1013.8
2016-11-16,16.5,26.5,0,,,ENE,30,11:23,24.2,60,,NE,13,1019.8,25.3,58,,NE,19,1018.1
2016-11-17,17.6,26.1,0.2,,,SE,59,09:59,25.2,59,,SSE,22,1022.9,23,66,,SSE,24,1021.5
2016-11-18,17.6,25,0,,,SE,33,01:44,24.5,51,,SSE,13,1021.8,23.5,58,,ENE,19,1018.8
2016-11-19,17.7,26.1,0,,,NE,26,19:26,23.8,65,,E,7,1019.6,25.1,61,,NE,17,1017.4
2016-11-20,17.5,27.6,0,,,ESE,19,14:01,24.9,67,,SE,9,1021.4,25,61,,E,15,1019.6
2016-11-21,17.6,27.7,0,,,ESE,26,13:03,25.3,62,,SE,15,1021,25.2,61,,ESE,22,1017.9
2016-11-22,17.7,28.3,0,,,SE,35,14:07,26.2,58,,SE,24,1018.3,25.3,57,,SE,31,1015.1
2016-11-23,20.1,27.9,0,,,ESE,30,11:56,25.9,66,,SE,20,1013.1,25.5,76,,E,20,1009.2
2016-11-24,20.5,27.7,0,,,SSE,59,15:59,26.2,68,,ESE,26,1009.1,25.6,66,,SE,41,1008.1
2016-11-25,18.4,25.9,0,,,SSE,31,00:01,24.3,55,,SE,11,1014.6,24,63,,ENE,22,1012.5
2016-11-26,21.5,26.9,0,,,E,30,08:04,24.6,76,,E,22,1016.7,23.8,75,,ENE,22,1014.6
2016-11-27,19.3,28.8,0,,,NNE,35,13:22,26.8,62,,NE,13,1016.8,24.3,67,,NE,26,1014.4
2016-11-28,20,28.1,0,,,NNE,37,14:59,26.1,65,,SE,7,1017.3,27.2,56,,NNE,31,1013.9
2016-11-29,20.8,28.3,0,,,NNE,41,13:17,26.6,41,,N,15,1013.4,26.4,56,,NNE,31,1009.6
2016-11-30,18.9,27.6,0,,,N,52,15:42,25,68,,NE,17,1011.9,23.3,77,,ESE,11,1010.1
