Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-09-1,14.7,26,0,,,NNE,39,17:16,21,69,,NW,17,1021.1,22.7,72,,NNE,28,1016.8
2016-09-2,18.7,24.7,0.2,,,N,63,21:56,21.1,83,,N,19,1015.9,22.7,74,,N,39,1010.2
2016-09-3,17,23.3,7.6,,,WNW,65,11:01,19.6,60,,NW,44,1011.3,22.5,37,,WNW,37,1010.6
2016-09-4,10.1,22.2,0,,,W,37,01:13,19.6,37,, ,Calm,1022.2,20.9,59,,SE,28,1021.2
2016-09-5,13.6,23.4,0,,,SE,46,14:37,19.7,55,,SSE,28,1028.5,20.9,57,,SE,35,1026.1
2016-09-6,14.3,23.6,0,,,SE,41,15:17,20.9,57,,SSE,24,1029.3,21.2,65,,SE,30,1027
2016-09-7,14.7,24.9,0,,,ESE,41,18:47,21.3,64,,SSE,28,1029.1,22.2,58,,ESE,26,1026.9
2016-09-8,18.2,23.3,0.4,,,ESE,39,02:34,21.8,65,,ESE,22,1028.6,21.4,63,,E,22,1025.5
2016-09-9,19.2,23.3,0,,,NE,43,21:12,21.9,67,,ENE,28,1024.9,21.3,75,,NE,30,1021.6
2016-09-10,16.2,22.1,4,,,NNE,50,10:34,19.2,88,,N,11,1020.4,20.3,84,,N,30,1015.7
2016-09-11,13.8,22.9,8,,,ESE,26,12:55,19.2,74,,NW,6,1019,22.2,66,,ESE,17,1016.4
2016-09-12,15.2,23.3,0,,,E,19,12:35,20.9,72,,SSE,9,1021,22.4,66,,ENE,17,1018.6
2016-09-13,16.4,24.6,0,,,NE,30,18:27,21.2,74,,NW,9,1022.3,23,74,,NE,22,1019.1
2016-09-14,18.9,26.3,0.8,,,N,46,12:46,22.5,75,,NNW,26,1019.6,23.4,75,,NNE,33,1015.7
2016-09-15,19.3,25.9,,,,,,,20.4,91,,NW,17,1017.2,23.5,79,,NNW,20,1013.2
2016-09-16,18.3,26.1,2.8,,,W,52,10:42,22.4,73,,NW,22,1018.1,25.5,46,,W,33,1015.8
2016-09-17,15,24.1,0,,,NE,30,17:22,22.2,72,,SSE,20,1022.8,22.4,72,,NE,22,1018.5
2016-09-18,19,23.4,1.2,,,N,56,19:38,20.7,99,,E,7,1016.7,21.4,95,,NNW,24,1011
2016-09-19,18.1,22.7,1.4,,,WNW,33,14:57,18.6,68,,NW,13,1012.2,22,40,,WNW,26,1010.8
2016-09-20,11.1,22.9,0.2,,,WNW,37,01:08,19.9,38,,SSW,9,1018.2,21.2,66,,E,17,1016.5
2016-09-21,17.7,20.1,0,,,NW,20,23:20,19.9,88,,S,7,1016,18.9,99,,ENE,7,1011.7
2016-09-22,15,24.5,7.6,,,W,46,15:14,19.9,52,,WNW,19,1011.8,23.1,35,,WNW,30,1007.7
2016-09-23,14.2,23.7,0,,,WNW,26,02:10,20,38,,NNW,9,1011,21.8,48,,ESE,17,1008.5
2016-09-24,13,23.9,0,,,NE,26,14:20,21.5,62,,WSW,7,1012.7,23.6,49,,NE,22,1008.7
2016-09-25,13.8,27.2,0,,,WNW,56,15:45,18.5,76,,NNW,13,1008.7,26.5,41,,WNW,19,1004.8
2016-09-26,16.4,24.1,0,,,E,26,12:12,23.4,45,,ESE,13,1013.1,23.3,52,,ENE,17,1009.7
2016-09-27,14.5,23.8,0,,,W,33,00:44,19.5,35,,SSW,7,1014.4,21.6,44,,ENE,17,1010.7
2016-09-28,11.9,24.5,0,,,NNE,31,22:58,23.8,42,,SSE,20,1014,22.5,56,,E,20,1011
2016-09-29,17.9,23.8,0,,,,,,20.9,72,,N,15,1008.7,21.5,58,,NW,19,1005.6
2016-09-30,17.3,24.9,,,,NW,69,12:37,21.2,35,,WNW,39,1005.5,24.5,25,,NW,48,1003
