Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,12.9,21.9,0,,,SSW,26,17:49,16.7,65,,NNW,6,1008.9,20.6,57,,SSW,13,1006
2016-12-2,13,21.6,0,,,SSW,35,14:29,17.3,65,,WSW,7,1011.3,19.8,60,,S,15,1012.8
2016-12-3,9.9,23.9,0,,,SE,28,18:02,16.6,53,,SSE,6,1016.4,19.7,58,,SW,13,1014.6
2016-12-4,12.7,31.7,0,,,N,44,10:09,18.1,57,,NE,6,1010.1,30.9,28,,N,13,1006
2016-12-5,16.9,21.5,2.4,,,SW,41,04:44,17.3,67,,W,9,1012,20.4,52,,SSW,13,1011.6
2016-12-6,12.8,20.8,0,,,SSW,30,17:39,15.6,72,,S,4,1014.3,19.4,47,,S,11,1013.5
2016-12-7,10.5,28.3,0,,,N,35,16:49,16,65,,NE,6,1015.7,25.6,35,,S,9,1010.9
2016-12-8,15.4,23.2,2.2,,,NNW,56,04:43,16.9,81,,N,19,997.2,22.6,34,,W,17,998.1
2016-12-9,10,17.3,6.6,,,SW,41,09:02,11.3,76,,SW,19,1015.9,15.8,59,,S,20,1018.9
2016-12-10,11.2,18.8,0.2,,,S,26,12:28,14.4,58,,WSW,6,1024,18.1,50,,S,13,1023
2016-12-11,12.9,19.3,1,,,S,33,12:21,15.9,67,,SE,11,1024.4,18.5,59,,SSW,15,1022.6
2016-12-12,10.7,32.8,0,,,N,33,15:00,16.7,66,,NNE,7,1019.5,31.3,21,,NW,15,1014.6
2016-12-13,16.5,36.3,0,,,NNW,48,11:17,27.3,27,,N,20,1009.2,33.8,22,,NNW,13,1004.2
2016-12-14,15.7,19.3,0,,,S,41,18:12,16.8,54,,WSW,11,1011.9,17.3,50,,S,15,1014.4
2016-12-15,11.7,18.6,0,,,SSW,41,13:31,15.2,47,,SE,17,1019.3,17.5,54,,SSW,20,1016.9
2016-12-16,9.7,25.5,0,,,N,35,12:30,15.7,66,,NW,7,1011.6,23.7,57,,NNW,22,1006.9
2016-12-17,15.1,20.9,0,,,WNW,46,13:12,16.7,55,,W,15,1008.1,20.1,32,,SW,15,1012.2
2016-12-18,10,17.5,0,,,SW,37,16:36,14.3,59,,SW,9,1022.9,17.1,48,,SSW,17,1022.5
2016-12-19,8.8,30.2,0,,,NNW,54,12:21,17.2,52,,NE,13,1015.4,27.6,26,,N,30,1008.9
2016-12-20,14.4,21.5,3,,,SW,35,03:11,14.5,97,,SSW,13,1008.3,20.3,44,,S,11,1008.9
2016-12-21,13.5,19.9,0.2,,,SW,43,13:29,16,60,,WSW,9,1016.4,18.3,57,,SSW,19,1018.2
2016-12-22,14.6,20,0,,,SSW,37,16:23,16.5,65,,SSE,11,1020.6,18.3,67,,SSW,19,1018.4
2016-12-23,12.5,26.3,0,,,SSW,26,16:28,16.7,77,,WNW,7,1015.2,23.9,57,,SSW,13,1011
2016-12-24,16.2,34.9,0.8,,,NNE,46,11:10,19.9,89,,NNW,2,1010.8,33.4,24,,N,26,1009.6
2016-12-25,16.4,36.3,0.2,,,NW,37,14:26,25.4,54,,NNE,11,1013.3,35.2,28,,NNW,19,1009.6
2016-12-26,25.4,29.3,0,,,N,39,06:18,28.8,38,,WNW,4,1008.6,18.9,86,,SW,11,1011.1
2016-12-27,18,29.8,1.6,,,ESE,26,20:35,20.4,80,,NNE,6,1012,25.2,80,,NNE,6,1009.8
2016-12-28,20.3,38.2,1,,,N,63,13:50,29.2,40,,N,17,1003,33.4,33,,N,39,999.2
2016-12-29,27,33.5,0,,,N,46,09:07,29.9,56,,N,19,1002.5,27.1,73,,N,20,1000.9
2016-12-30,20.1,27.8,20.4,,,SSW,33,11:59,21,66,,SSW,9,1001.3,26.7,46,,SSW,9,999.4
2016-12-31,17.3,23.8,0,,,S,28,13:33,18.7,60,,S,7,1006.3,22.7,55,,SSW,11,1005.8
