Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,1.6,15.8,0.8,3.4,9.6,NE,24,11:55,8.1,77,0,S,6,1031.9,15.3,44,1,NE,9,1029
2016-08-2,2.3,17.3,0,2,9.7,NNE,39,11:01,10.2,61,1,E,11,1026.3,16.8,40,1,ENE,11,1021.3
2016-08-3,4.6,17.8,0,3,0.1,NNE,28,10:14,11.8,52,7,NNE,11,1016.4,17.7,43,8,NNE,9,1015.1
2016-08-4,11.8,15.9,3,1.2,0.3,ESE,17,12:43,12.7,97,8,NE,6,1016.7,15.6,82,7,ESE,6,1015.3
2016-08-5,7.1,16.7,3,0.8,1.2,ESE,17,09:06,11,99,7,ESE,7,1019.9,16.3,70,7,SSE,7,1017.4
2016-08-6,9.2,17.7,0,1.6,7,WNW,41,21:06,13.6,80,1,NE,17,1013.3,16.2,77,3,NNE,11,1008.9
2016-08-7,10.3,17.7,5,4.2,7.1,NW,54,23:10,14.6,63,6,WNW,11,1013.4,17.1,45,4,WNW,17,1012.9
2016-08-8,10.3,15.1,12.2,1.6,4.3,WSW,57,12:36,12.9,69,7,W,15,1014.9,12.8,71,7,WSW,22,1015.8
2016-08-9,10.5,17,5.2,1.8,4.8,SW,37,03:11,13,67,3,SW,7,1021.5,15.8,51,3,WSW,17,1020.3
2016-08-10,8.6,18.4,4.8,1.8,5.7,W,22,14:33,11.6,93,7,NNE,7,1024.5,17.1,63,6,WNW,11,1022.1
2016-08-11,11.5,19.3,0.4,1.2,5.3,W,39,15:26,13.9,76,7,N,11,1020,18.5,56,6,WNW,19,1017.3
2016-08-12,4.9,17.9,5.4,3,9.2,SSW,24,15:23,11.1,89,5,SSE,4,1026.6,17.5,43,1,SW,9,1024.8
2016-08-13,6.4,19.7,0,2,6.9,SW,22,16:52,12.6,69,2,SW,6,1027.7,18,44,5,SSW,4,1023.8
2016-08-14,4.6,21.9,0,2.2,9.9,SW,46,14:07,11.8,68,0,SW,6,1020,19.5,43,0,WSW,11,1013.9
2016-08-15,8.9,19.6,0.2,2.8,5,WNW,41,10:56,18,61,2,WNW,11,1012.8,16.9,66,7,W,11,1012.8
2016-08-16,7.4,19.9,4,1.8,8.5,NW,31,13:43,12.1,91,2,NNE,11,1018.6,19.3,52,3,NW,17,1015.4
2016-08-17,12.1,16.2,1.6,3,0.1,WSW,72,16:38,14.8,94,5,N,17,1002.9,13.8,70,7,W,20,1003.2
2016-08-18,5.5,15.4,17.4,0.6,9.4,SW,39,15:34,9.7,81,3, ,Calm,1021.7,14.1,55,2,SSW,17,1021.7
2016-08-19,9.5,15.9,0,3,1.9,WSW,26,14:08,11,73,8,NE,9,1024.7,14.8,67,7,NW,13,1022.1
2016-08-20,9.1,17.9,2.8,3,7.3,SW,30,15:25,11.5,97,7,SSW,7,1021.2,17.2,58,3,SSW,15,1019.2
2016-08-21,7.3,18.5,1.6,2,3.8,W,48,16:36,10.3,92,8,NNE,7,1019.2,17.5,59,6,NW,13,1014.8
2016-08-22,7.5,16.3,7.4,2.2,9.6,SSW,50,21:41,10.8,72,1,SSE,13,1022.3,15.4,49,3,SSW,15,1020.9
2016-08-23,3.3,16.8,0,3.2,10.2,SSE,22,11:12,10.6,66,0,SSW,6,1025.3,16,40,5,SE,9,1022.3
2016-08-24,3.8,17.1,0,3.4,10.6,NE,26,11:15,10,66,0,E,9,1026.6,16.3,42,0,ESE,9,1023.5
2016-08-25,6.2,18.7,0,3.4,9.6,ENE,52,21:32,12,69,1,ENE,13,1025.4,18,45,1,ENE,15,1019.5
2016-08-26,12,21.5,0,4.6,3.7,NW,43,18:21,16.5,46,4,NNE,17,1012.9,21.3,40,7,NNE,13,1007.6
2016-08-27,11.2,17,31,2.6,5.5,WNW,50,09:28,14.6,78,7,NW,15,1003.1,14.6,72,3,WSW,24,1003.6
2016-08-28,10.9,16.5,7.6,3.4,6,SW,43,15:04,14,69,6,SSW,15,1011.3,15.1,63,8,SW,22,1010.8
2016-08-29,11.1,17.6,0,2.2,8.3,SW,30,15:36,13.5,70,7,SSW,11,1016.7,17.6,57,6,SW,15,1015.4
2016-08-30,4.5,18.2,0,1.6,6.4,NW,30,13:06,11.5,77,2,NNE,11,1018.2,17.1,57,7,W,9,1015.3
2016-08-31,10.9,17.2,9.8,2,5,SSW,41,14:45,13,96,8,SSE,9,1012.7,16.4,60,3,SW,26,1014.3
