Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,16.3,31.3,0,12.6,13.3,SE,35,00:48,22.4,45,0,ESE,13,1017.2,27.9,40,0,SW,19,1013.1
2017-01-2,18.2,37.1,0,11.6,13.2,SSW,37,16:13,27.8,35,0,NE,15,1013.8,36.7,15,0,SE,9,1010
2017-01-3,18.2,40,0,12.2,13.3,SW,35,15:39,31.8,27,0,NE,11,1010.7,38.4,15,0,SSW,17,1007.4
2017-01-4,18.9,40.9,0,12.6,13.3,ENE,33,08:56,34.1,19,1,NE,20,1007.7,38,12,1,W,15,1005.2
2017-01-5,20,24.9,0,11.8,8.3,SW,48,19:43,20.8,76,7,W,11,1007.7,23.4,59,5,WSW,19,1007.6
2017-01-6,16.9,23.2,0,10,9.3,SSW,44,16:05,19.6,46,7,SW,19,1011.8,21.6,55,3,SSW,20,1009.6
2017-01-7,13.8,24.9,0,7.2,12.9,SSW,43,15:23,19.8,54,1,ESE,7,1012.5,23.4,50,0,SW,20,1009.9
2017-01-8,13.7,30.6,0,7.8,13.1,SSW,39,15:08,24,43,0,SSE,9,1011.7,27.6,41,0,SSW,22,1009.3
2017-01-9,17,35.4,0,10,13.1,SSW,37,16:14,24.8,43,0,E,15,1012.1,32.6,31,0,SW,19,1008
2017-01-10,17.3,35.5,0,12.6,13.1,SW,33,16:42,28,33,0,E,9,1010.4,34.1,27,0,WSW,17,1008.3
2017-01-11,21.2,36,0,12.4,13.1,SW,39,20:25,29.2,40,0,NE,9,1006.1,30.3,37,1,WSW,15,1003.6
2017-01-12,17.1,23.5,0.4,10.6,10.8,SW,48,18:05,20.9,51,4,SW,20,1008.2,21.4,51,3,SSW,22,1008.9
2017-01-13,11.5,26,0,8.2,13.1,SSW,37,15:43,18.8,46,0,E,9,1015.7,24.8,42,0,SSW,20,1012.5
2017-01-14,14.3,37.2,0,9,13.1,SW,35,16:26,25.8,37,0,ENE,9,1013.2,35.7,18,0,SSW,15,1009.7
2017-01-15,15.3,35.1,0,13,13.1,SW,39,16:30,28.9,34,0,SSW,6,1008.4,29.9,41,1,SSW,19,1006.1
2017-01-16,17.7,26,0,10,11.5,SW,50,15:26,21.3,57,4,S,13,1010.3,24.2,53,1,SW,26,1009.3
2017-01-17,16.1,30.5,0,7.4,13.2,S,37,14:00,21.5,49,0,SE,13,1014.5,29.6,29,0,ESE,13,1010.9
2017-01-18,16.7,33.8,0,13.2,9.2,SW,41,22:21,24.1,48,1,ENE,15,1011,31.6,30,7,SW,20,1006.4
2017-01-19,17.3,24.1,0,10,11.8,SW,44,15:13,21.2,54,6,SSW,15,1011.8,22.9,54,1,WSW,22,1011
2017-01-20,12.4,26.9,0,10,13.1,SW,31,17:20,21.2,49,0,ESE,9,1012.3,24.9,46,0,SSW,17,1009.8
2017-01-21,14.9,33.1,0,8.2,13,SW,39,17:09,24.2,48,0,S,7,1009,29.3,36,0,WSW,17,1005.4
2017-01-22,16.8,24.4,0,9.2,13,SSW,46,11:29,22.2,61,1,SSW,15,1010.1,23.1,48,1,SW,22,1010.7
2017-01-23,12.7,25,0,9.2,12.7,SW,39,13:15,20.6,54,1,SSW,11,1016.8,23.4,45,0,SW,20,1015.5
2017-01-24,13.5,32.2,0,9.4,13.2,SW,35,16:22,22.4,43,0,E,13,1018,31.3,30,0,SSW,17,1014.7
2017-01-25,15.8,39.4,0,10.8,13.2,SSW,31,15:52,28.5,32,0,ENE,13,1016.8,38.9,20,0,SSW,15,1013
2017-01-26,21.3,42,0,13.8,13,NE,37,08:15,33,17,0,NE,19,1012.9,41.5,9,0,WSW,11,1009.3
2017-01-27,21.4,34,0,14.2,12.9,SW,43,16:00,27.4,45,3,S,9,1009.9,31.1,39,1,SSW,19,1007.8
2017-01-28,20.1,38.8,0,13,12.7,E,39,06:31,27.7,42,2,ESE,9,1008.8,33.9,33,1,SW,17,1004.5
2017-01-29,21.4,25.8,6.2,11.2,0.3,ESE,30,23:43,21.5,90,8,WSW,7,1011.3,24.7,75,8,S,2,1010.3
2017-01-30,16.7,20.3,7,1.4,0,E,33,03:22,17,92,8,ENE,9,1016.8,18.4,93,8,SE,9,1014.4
2017-01-31,16.1,22.9,31.8,3.6,0,SSE,28,14:43,17.5,92,7,ESE,7,1014.7,19.5,87,7,ESE,9,1012.3
