Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,20.1,37.7,0,8.4,11.5,NE,41,23:13,28.2,55,1,E,9,1013.8,37.2,34,1,SW,11,1010.9
2017-03-2,22.9,29.9,2.4,10,0.7,NNW,26,02:53,24.1,89,8,SSW,11,1015.4,25.1,81,8,SW,9,1015.5
2017-03-3,20.3,35.2,0.2,2.2,11.1,SSW,28,14:14,26.5,66,2,SE,6,1016.2,32.6,45,1,SSW,17,1013.2
2017-03-4,22.9,36.1,0,9,11.6,SSE,26,16:13,27.3,51,3,ESE,7,1015.6,35.7,35,3,SE,13,1012.6
2017-03-5,21.3,36.2,0,9.2,11.4,SSW,35,16:54,25.4,56,1,E,13,1015.9,34.9,29,4,SE,7,1012
2017-03-6,19.2,34.7,0,8,11.8,SW,26,18:14,27.3,54,1,ESE,2,1013.4,33.3,38,0,SW,13,1010.6
2017-03-7,17.9,33.8,0,9,10.8,SW,30,16:01,24.3,73,1,ENE,2,1013.2,31.8,51,7,WSW,15,1009.3
2017-03-8,20.7,34.5,0,7.4,11.7,WSW,28,16:11,25.9,57,3,SE,7,1010.9,33.7,41,7,SSW,9,1008.1
2017-03-9,18.1,31.9,0,7.6,11,SE,31,20:21,22.4,68,5,SE,9,1012.8,30.4,43,1,SSE,11,1009.3
2017-03-10,19.5,29.9,0,7,11.3,SSE,39,15:12,22.3,62,1,SE,17,1013.5,29,39,0,SSE,17,1011.1
2017-03-11,15.6,30.9,0,7.4,10.9,E,37,08:33,19.9,58,2,ESE,17,1017,29.7,31,3,SE,15,1013.3
2017-03-12,18.5,24.8,0,11.2,0.5,NE,37,13:41,21.4,48,7,E,11,1011.2,20.7,87,8,WNW,9,1008.5
2017-03-13,20.6,24.2,8.4,2.2,3.9,NW,39,07:13,22.7,75,7,WNW,13,1007.4,23.2,58,7,W,19,1008.6
2017-03-14,18.7,24.1,2.4,5,7.3,NW,46,10:59,21.2,70,6,WNW,17,1011.1,22.3,56,7,NW,22,1010.1
2017-03-15,16.6,24,1.6,5.8,10.6,SW,35,14:53,18.6,59,4,S,17,1019.3,22.5,39,1,SSW,19,1017.9
2017-03-16,13,28.3,0,8,11.1,SSW,31,16:13,19.8,52,0,ENE,13,1018.3,27.8,29,0,N,4,1013.3
2017-03-17,11.7,24.6,0,4.8,10.1,SW,31,12:07,19,57,0,SSW,11,1011.3,22.5,60,3,SW,15,1010.9
2017-03-18,16.8,19.8,1.2,5.4,0.1,S,35,09:40,17.1,92,8,S,13,1017.3,18.7,64,8,S,13,1018.3
2017-03-19,10.3,23.8,0.4,4,11.2,S,31,13:07,17.1,56,1,SSE,9,1024.7,23.4,33,0,S,15,1020.4
2017-03-20,12.6,26.2,0,6.2,10.4,SE,28,12:13,17.9,52,0,E,13,1020.3,25.3,33,2,ESE,11,1014.2
2017-03-21,17.5,21.4,0,8,1.2,E,39,17:36,19.4,53,7,ENE,13,1009.9,18.3,78,7,ESE,13,1005.7
2017-03-22,16.2,24,3.8,2.6,7.4,N,41,03:24,21,70,5,NW,17,1007.8,23,61,5,NW,15,1007.9
2017-03-23,16.8,24.2,0.8,4.6,9.6,SW,33,17:04,19.8,79,5,SSW,13,1013.6,22.6,61,5,SW,17,1012.6
2017-03-24,14.7,26.3,0,3.4,10.6,SSW,30,16:14,19.8,74,1,SSE,7,1016.5,25,56,4,SW,15,1012.5
2017-03-25,15.7,27.2,0,5.6,10.9,E,44,02:16,21.2,64,1,E,11,1012.3,25.8,54,1,WSW,11,1008.6
2017-03-26,16.6,22.4,2.2,5.6,9.4,SW,44,10:01,20.1,48,3,SW,24,1013.3,19.9,51,4,SW,22,1015.9
2017-03-27,8.3,23.3,0.2,6.2,10.3,SSW,30,17:11,16.5,62,1,NE,7,1023.8,22.5,36,5,SW,17,1019.7
2017-03-28,9.5,22.9,0,5.4,7.8,SW,31,16:07,17.9,67,2,S,2,1019.7,21.5,64,6,SW,17,1017.6
2017-03-29,12.9,24.9,0,4,11,SE,33,10:09,16.9,53,0,E,9,1025.1,24.3,28,0,E,15,1021.6
2017-03-30,12.1,28,0,7.4,11.1,E,31,00:29,18.6,50,0,ENE,13,1023.3,27.5,28,0,SSE,11,1020.1
2017-03-31,9.6,29.9,0,6.2,10.9,SSE,24,14:05,20.7,44,1,SSE,6,1023.1,29.5,21,0,SE,9,1020.5
