Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,14.5,25.6,0,,10.7,SSE,35,22:08,17.1,63,1,W,17,1018.2,22.5,48,2,ESE,17,1016.6
2017-04-2,17,22,0,,5.8,SSE,50,14:13,19.8,66,6,SSW,15,1025.1,20.1,59,6,SSE,22,1024.7
2017-04-3,14.8,22,33.8,4.2,1.5,SSE,50,15:33,15.7,90,8,W,19,1028.4,21.8,49,7,ESE,24,1026.3
2017-04-4,14.9,22.8,7.8,0.4,6.4,SE,41,00:03,17.9,78,3,WNW,15,1028.1,20.7,60,6,SSE,20,1026.3
2017-04-5,14.1,23.3,0.4,5.4,10.2,ESE,37,00:19,18.1,72,3,W,9,1026.1,22.9,45,3,ESE,22,1023.3
2017-04-6,13.2,23.4,0.2,6,8.7,ESE,24,15:28,17.1,69,2,W,17,1026.2,23.2,42,3,ENE,15,1023.9
2017-04-7,14.1,23.8,0,3.4,10.6,ENE,28,17:56,18.7,69,2,WNW,11,1028.4,23.7,41,2,E,13,1025.7
2017-04-8,14.9,24.9,0,5,9.8,ENE,37,13:39,18.4,68,4,WNW,13,1026.2,23.1,49,4,NE,20,1021.4
2017-04-9,15.5,28.7,0,7,9.6,WNW,67,18:11,20.1,62,1,NW,7,1015.3,27.9,35,4,NNE,20,1007.1
2017-04-10,11.7,17.9,8.8,7.8,6.1,W,54,11:25,13.9,51,7,WNW,26,1009.3,15.7,56,7,W,26,1008.5
2017-04-11,13.8,23,0,3.6,2.1,SSW,54,16:36,17.9,56,7,W,22,1017.2,22.2,48,7,SSW,26,1017.3
2017-04-12,15,22.7,9.4,4.2,2.8,SSW,43,13:16,17.4,71,7,W,19,1023.7,20.2,75,7,SSW,17,1022.2
2017-04-13,15.3,23.6,19.8,2.4,9.2,SSE,31,12:06,17.3,80,4,W,17,1023.8,22.6,51,3,SSE,20,1020.9
2017-04-14,13.9,24.7,0,4,10.8,W,26,07:28,17.2,69,1,WNW,11,1022.1,23.5,41,1,SE,15,1019.3
2017-04-15,13.2,23.8,0,5.2,9.8,W,26,08:23,16.5,72,1,W,13,1021,22,55,4,ESE,17,1018.7
2017-04-16,15.2,26.9,0,4.4,8.1,WSW,39,13:22,18.2,75,3,W,13,1020,26.2,30,5,WSW,9,1017.4
2017-04-17,14.2,24.1,0,3,8.9,W,24,06:18,17.4,68,2,WNW,15,1024.4,22.3,55,2,ESE,13,1022.1
2017-04-18,16,24.3,0,4,9.3,ESE,24,15:38,19.2,73,1,W,15,1027,23,55,1,E,17,1025.3
2017-04-19,15.2,24.9,0,4.6,6.1,SE,30,12:34,17.7,72,3,W,17,1030.6,22.3,63,6,SE,15,1028.1
2017-04-20,16.2,24,0.2,3.8,9.9,E,30,13:43,19,83,4,WNW,9,1030.3,23,48,2,ENE,20,1027.5
2017-04-21,14.4,23.9,0,4,7.2,ENE,26,19:41,17.9,68,5,WNW,15,1028.4,22.4,58,6,E,17,1024.8
2017-04-22,17.7,24.1,0,4.2,3.5,N,19,00:39,19.9,68,7,NNE,2,1025.9,22.5,60,5,ENE,15,1022.2
2017-04-23,15.9,26.7,0,3.6,9.5,E,22,14:14,18.5,74,1,WNW,11,1024.1,23.6,58,2,ESE,17,1020.9
2017-04-24,15.7,23.9,0,3,10,NNE,24,00:00,18.2,74,1,W,15,1022.7,22.7,61,3,E,17,1018.4
2017-04-25,18.2,26.7,0,4.4,3,NW,39,14:47,20.6,69,7,E,4,1014,21.9,65,7,NW,22,1008.8
2017-04-26,16.9,24.8,1.8,4.6,7.9,WSW,67,14:50,20.2,55,1,WNW,13,1014.5,18.1,43,7,WSW,41,1003.9
2017-04-27,12.1,20,0.4,7,8.2,S,46,14:56,13.1,46,2,W,22,1015.8,18.5,45,4,S,24,1015.2
2017-04-28,10.2,21.8,0,5,10.4,SW,44,00:17,13.5,51,1,W,22,1022.7,20.1,39,5,S,13,1020.3
2017-04-29,10.8,22.7,0,3.6,10.5,W,31,08:39,14,60,1,W,24,1020.8,21.2,51,3,ESE,13,1018.2
2017-04-30,14,22.6,0,3,7.8,SSE,28,11:51,17.2,66,7,WNW,15,1023,20.5,59,4,SE,13,1020.9
