Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,12.1,24.5,0,10.6,12.1,W,33,09:34,16.8,31,4,W,17,1014.4,20.9,37,1,E,20,1010
2016-11-2,13,24.1,0,7.2,12.8,W,39,09:17,19.1,34,1,WSW,20,1014.6,21.6,32,1,E,20,1013
2016-11-3,13.6,25.2,0,7.4,12.2,E,37,16:59,19.7,57,1,WNW,11,1018.9,23.7,50,1,ENE,26,1014.8
2016-11-4,15.3,30.6,0,8.4,12.8,NE,35,13:58,21,58,2,W,11,1014.8,27.1,33,1,NE,20,1009.2
2016-11-5,21,25.7,0,13.4,12.4,W,76,11:13,25.7,21,1,SW,20,1002.9,24.9,16,1,WSW,28,1006.2
2016-11-6,15.7,26,0,14.4,12.3,W,57,10:19,19.6,25,1,WSW,22,1009.1,23.2,27,7,ESE,26,1007.8
2016-11-7,14.8,28.1,0,7.6,12.4,NE,44,13:59,22.6,34,2,W,13,1011.1,25.5,46,1,NE,24,1006.4
2016-11-8,21.2,28.3,0,11,4.1,S,54,17:43,26.8,25,7,SE,6,1007.3,24.7,57,7,SSE,24,1007.1
2016-11-9,17.8,22.7,2,5.2,2.5,SSW,37,03:39,20.1,72,7,S,13,1013.3,21.3,67,7,SSE,19,1009.8
2016-11-10,16.9,24.6,10.2,2.8,10.7,E,28,13:01,20,71,6,W,7,1009.4,23.4,62,2,E,19,1007
2016-11-11,17.8,24.3,0,7,11.1,E,33,15:08,20.2,68,5,SSW,9,1012.9,22.6,59,1,ESE,20,1009.9
2016-11-12,18.4,32.5,9,7.6,9.1,N,48,06:01,22.1,72,7,NNW,15,1002.5,26.4,59,3,E,22,996.9
2016-11-13,18.9,30.3,0,8,13,W,72,16:19,24.9,29,1,NNW,4,998.6,28,21,1,W,41,995.4
2016-11-14,17.4,24.4,0,15.8,7,WSW,56,06:58,20.5,40,3,W,33,1002,20.3,52,7,SSE,28,1004.5
2016-11-15,15.4,23.2,0.6,5.8,9.4,S,39,23:15,17.9,61,7,S,13,1016.1,20.5,45,3,ESE,19,1015
2016-11-16,14.3,25.2,0,5.2,12.7,ESE,39,12:31,19.9,54,0,WNW,13,1020,22,52,3,ESE,22,1021.3
2016-11-17,17.3,23.9,0,7.4,12.8,NNE,43,19:43,21.1,57,4,ESE,4,1025.6,23.1,53,1,E,28,1021.9
2016-11-18,16.4,31.4,0,9.2,12.1,NNE,37,18:49,23,52,1,W,13,1017.4,30,36,2,NE,11,1013.5
2016-11-19,19.3,24.8,0,8.6,3.7,SSE,44,06:10,21.7,67,7,SSE,30,1018.3,22.1,58,7,SE,20,1018.4
2016-11-20,19.1,25.1,0,6,8.5,E,33,13:51,22.3,58,4,E,13,1021.3,23.2,55,7,E,26,1018.2
2016-11-21,19.7,28.4,0,7.4,6,E,35,13:10,24.6,67,6,E,11,1018.4,25.5,64,5,ENE,17,1015.1
2016-11-22,21,31,0,8,9.7,NE,46,16:52,26.6,51,1,E,15,1014.8,26.2,54,3,ENE,24,1012.1
2016-11-23,19.8,26.2,0,10.4,5.9,SE,44,14:31,22.6,69,4,WSW,7,1010.2,22.5,72,8,SSE,24,
2016-11-24,13.5,23.4,5.4,6.6,13.1,SSE,52,12:08,18.3,42,1,WSW,22,1013,21.8,39,1,SE,26,1011.8
2016-11-25,14.7,25.5,0,8.8,13.1,ESE,37,11:48,20.6,33,4,W,20,1012.8,23.4,46,2,ESE,22,1012.5
2016-11-26,18.1,24.4,0,8,12.3,NE,46,16:53,22.3,55,3,ENE,7,1017.4,23.9,53,1,NE,24,1013.7
2016-11-27,19.6,23.5,0,9.8,1.7,SE,35,11:03,20.5,71,7,SE,19,1017.8,21.6,66,7,ESE,22,1016.9
2016-11-28,20.3,26.1,0,6,8.1,NE,37,16:49,22.8,71,6,NE,15,1015,25.5,63,1,E,28,1010.4
2016-11-29,19.3,25.3,0,7.8,7,SE,44,11:39,22.4,65,7,S,22,1011.8,24.1,57,6,SE,20,1010.8
2016-11-30,18.2,25.2,0,6.4,4.4,NE,50,16:27,22.4,61,7,ESE,6,1012.4,24.2,57,2,E,31,1008.8
