Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-09-1,12.1,22.5,0,4.6,9.2,NE,28,15:09,16.9,63,2,W,11,1020.3,20.7,46,3,NE,15,1015.3
2016-09-2,14.5,18,14.4,6.2,0,NE,31,22:36,15.7,90,8,SSE,6,1011.6,15.9,91,8,SSE,9,1006
2016-09-3,15.4,20.5,23.4,2.2,9.1,WNW,65,08:23,17.6,50,4,WNW,33,998.3,20.1,39,5,WNW,30,1004.3
2016-09-4,10.1,21.3,0,5.6,10.9,WSW,39,11:29,15.5,48,1,WNW,11,1021.6,19.2,33,1,ESE,15,1022
2016-09-5,10,21.2,0,3.4,11.1,ENE,26,14:42,14.1,55,0,W,20,1030.4,19,54,0,ENE,19,1027.1
2016-09-6,10,20.5,0,5,10.8,E,24,13:00,15,66,0,WNW,13,1030.4,20.2,58,0,ENE,19,1026.3
2016-09-7,12.2,22,0,3.2,8.2,NE,30,20:22,16,82,6,WNW,13,1031.7,21,55,3,E,17,1029.3
2016-09-8,15.4,21.2,0,3.8,7.1,NE,41,15:17,18.7,69,7,N,9,1029.7,20.1,67,5,NE,24,1024.8
2016-09-9,14.7,22.7,0,5,8.9,NNE,52,23:02,19.5,61,6,ENE,6,1021.9,21.2,60,4,NE,22,1015.9
2016-09-10,14.1,22.7,1.2,7.4,9.3,NNE,57,01:31,17.9,54,2,NNW,26,1012.7,21.8,31,7,W,31,1010.9
2016-09-11,13,21,0,6.2,8.7,W,33,04:30,16.8,44,1,WSW,17,1019,17.6,53,6,ESE,17,1017.1
2016-09-12,12.4,20.9,0,4.2,9.7,W,28,07:58,16.6,47,3,W,20,1021.5,18.3,53,3,E,19,1018.5
2016-09-13,16,20.2,0,5.6,1.5,SSW,30,08:09,17.5,73,8,SSW,15,1021.4,18.9,69,7,S,9,1017.8
2016-09-14,16,24.6,5.8,1.8,3.9,NNW,37,14:01,17.4,86,8,NNW,6,1014.1,23.1,55,7,N,19,1008.4
2016-09-15,14.1,22.1,0,6.6,8.1,,,,17.4,35,1,NW,41,1009.8,20.9,31,7,WNW,35,1007.5
2016-09-16,13.5,22.5,0,6.8,8.5,W,43,14:59,16.9,55,6,W,19,1016.5,21.7,29,3,W,28,1015.5
2016-09-17,10.7,22.4,0,5.4,8.8,NNE,37,16:56,17.5,52,1,W,6,1022,19.2,44,7,NE,19,1018
2016-09-18,14.2,17.8,0,6.6,0,WSW,30,22:35,14.9,66,8,W,17,1012.6,15.1,79,8,W,6,1005.7
2016-09-19,13.1,21.4,13.4,1,10.1,W,59,09:28,17.7,53,1,W,30,1008.5,20.6,38,1,W,28,1008.7
2016-09-20,10,20.6,0,6.4,8.7,WSW,28,00:13,15.1,48,7,WNW,17,1018.9,18.5,47,7,NE,17,1016
2016-09-21,14,21.2,0,4.8,2.9,N,31,12:35,16,61,7,W,9,1012.5,16.8,78,8,NE,15,1007.5
2016-09-22,13.5,20.1,2,4,4.1,WSW,56,18:12,18.4,54,3,W,20,1006.9,17,63,7,W,24,1005.9
2016-09-23,15.2,22,0.6,3,8.2,SSW,61,11:46,17.3,55,6,WSW,17,1011.7,21.5,48,2,SSW,24,1010.7
2016-09-24,12.5,22.3,0,4.8,10.1,W,30,04:05,18.4,55,1,WNW,13,1012.6,20.6,63,1,ESE,17,1007.9
2016-09-25,13.6,22.1,3.4,5.2,2.1,WSW,41,11:48,15.5,74,7,W,15,1006.7,16.3,75,7,SE,15,1006.1
2016-09-26,12,21.8,4,4.2,10.1,WSW,41,08:13,16.5,41,1,WSW,20,1013,18.9,44,1,E,19,1009
2016-09-27,10.9,23.2,0,6.2,9.7,WSW,61,13:36,18.6,37,2,N,20,1009.7,20.6,22,2,WSW,26,1006.8
2016-09-28,10.2,21.3,0,7.2,11.4,W,35,02:41,16.2,46,1,WNW,17,1014.7,19.6,42,1,E,17,1011.3
2016-09-29,14.2,22.8,1.4,5.4,4.2,NW,56,21:38,14.8,76,8,NNE,11,1000.5,22.3,50,2,N,22,994
2016-09-30,12.3,20.1,0.4,7.2,8.6,NNW,67,15:19,16.1,42,6,NNW,28,999.1,17.3,40,3,NW,39,998.3
