Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,17,25.6,0,,,WSW,30,14:44,18.7,55,, ,Calm,1016.4,24.8,38,,WSW,9,1014.8
2017-02-2,14.9,25.8,0,,,,,,18.6,65,,SW,7,1019.6,24.4,43,,SW,15,1017.3
2017-02-3,13.4,29.7,0,,,WSW,22,13:47,19.9,57,, ,Calm,1017.3,28.2,37,,SW,13,1014
2017-02-4,17.5,30.2,0,,,WNW,28,10:43,24.5,44,,NNE,6,1009.9,27.5,46,,NW,11,1009.9
2017-02-5,20.8,24.9,1.2,,,N,35,11:28,23.5,81,,NNW,11,1009.5,24.7,82,,N,9,1008.4
2017-02-6,16.8,19.3,29,,,E,33,08:53,17.3,85,,ESE,13,1013.2,18.6,71,,SE,7,1014.8
2017-02-7,14.1,31.7,0,,,,,,18.9,62,,N,7,1018.5,27.9,45,,E,11,1014.7
2017-02-8,18.6,42.4,,,,NNE,35,10:47,31.7,44,,NE,13,1011.8,41.2,24,,NNE,13,1008.2
2017-02-9,25.8,41,0,,,N,20,10:42,33.1,43,,SSW,4,1008,38.5,30,,W,7,1007.2
2017-02-10,24.2,40,0,,,WSW,24,11:39,29,61,,SSW,6,1009.7,38,36,,SW,9,1007.8
2017-02-11,25,34,0,,,SSW,33,19:34,26.7,75,,N,6,1009.1,32.2,44,,S,15,1008.5
2017-02-12,17.2,23.4,0,,,S,41,10:43,17.7,59,,S,13,1015.7,21.9,36,,WSW,19,1015.7
2017-02-13,16,24.3,0,,,WSW,31,14:09,17.4,60,,SSW,15,1019.2,23.3,47,,SSW,11,1018.2
2017-02-14,15.1,28.1,0,,,WSW,24,13:10,18.2,68,,ESE,9,1020.3,25.1,50,,SW,11,1017.4
2017-02-15,18.1,33.4,0,,,NNW,37,11:29,25.3,29,,N,11,1011.9,31.6,28,,WSW,15,1010
2017-02-16,18.1,26.9,0,,,WSW,30,16:12,22.3,67,,N,4,1012.2,26,50,,WSW,13,1010.9
2017-02-17,15.6,23.4,0,,,WSW,41,16:52,19.1,58,,WSW,13,1013.9,22.3,54,,WSW,15,1013.6
2017-02-18,15.9,20.6,0,,,SSW,39,08:26,16.9,51,,SW,17,1015.9,19.3,44,,SW,20,1016.4
2017-02-19,12.1,20.3,2.4,,,SW,37,14:53,14.3,85,,NW,2,1017.7,18.7,60,,SSW,17,1016.6
2017-02-20,13.2,23.1,0.8,,,WSW,31,13:26,17.1,55,,S,4,1018.9,21.9,37,,WSW,17,1017.7
2017-02-21,11.7,31.1,0,,,N,26,12:43,19.2,40,,NE,7,1019.2,28.8,24,,NW,7,1015
2017-02-22,19.2,30.3,0,,,WSW,48,09:43,28.1,18,,NNE,17,1009.2,26.2,33,,W,22,1011.7
2017-02-23,17.9,24.9,0,,,WSW,31,23:47,19.6,62,,S,13,1020.3,24,47,,WSW,13,1021.1
2017-02-24,14.5,24.5,0,,,SSW,37,16:04,17.7,55,,SSE,11,1027,23.4,38,,SSE,13,1025.1
2017-02-25,14.5,24.8,0,,,SE,35,00:51,17.8,52,,ESE,6,1025.6,23.6,35,,SSE,13,1022.8
2017-02-26,12.2,27,0,,,SW,26,13:48,17.2,52,,WSW,2,1021.2,26,35,,WSW,13,1018.1
2017-02-27,14.1,35,0,,,ESE,35,21:16,21.7,58,,WSW,4,1018.4,33.2,28,,WSW,15,1015.9
2017-02-28,21.7,38.4,0,,,ESE,35,23:21,30,22,,NE,9,1017.7,36.8,18,,S,6,1015.7
