Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,2.9,15.4,0,,,ENE,17,09:50,10.1,58,,ENE,9,1037.7,14.5,48,,SW,9,1035.5
2017-06-2,2.5,17.2,0,,,NNE,20,09:39,8.6,70,,NW,2,1037,17,40,, ,Calm,1033.9
2017-06-3,2.6,18.1,0,,,N,17,10:09,8.8,70,, ,Calm,1033.9,16.6,47,,SW,11,1030.3
2017-06-4,1.7,16.3,0,,,W,19,13:50,7.3,75,, ,Calm,1030.8,14.6,62,,WSW,6,1027.7
2017-06-5,5.1,17.6,0,,,SW,19,15:20,9.2,84,, ,Calm,1029.6,17.2,58,,SW,9,1027.3
2017-06-6,8.8,16.5,0,,,SE,24,11:17,12.6,70,,SSW,7,1032.5,16.3,45,,SSW,4,1030.7
2017-06-7,3.5,15.5,0,,,SSW,19,14:44,8.8,73,,NNE,6,1032.7,13.8,52,,SW,11,1029.6
2017-06-8,3.9,16.8,0,,,SSW,22,17:04,7.5,85,,NNE,2,1032.5,16,64,,SW,9,1030.8
2017-06-9,6.1,15.1,0.2,,,SE,20,12:47,10.6,78,, ,Calm,1036.8,13.9,62,,SSE,7,1034.8
2017-06-10,8.2,16.2,0,,,WSW,24,13:24,12.2,69,, ,Calm,1035.6,15.1,55,,WSW,13,1032.5
2017-06-11,3.9,16,0,,,W,19,12:55,6.5,93,, ,Calm,1031.3,14.6,57,,WSW,9,1028.9
2017-06-12,6.5,17.7,0,,,WSW,19,13:56,12.1,75,,NNE,4,1031.5,17.1,61,,WSW,11,1029.6
2017-06-13,5.9,17.9,0,,,WSW,19,12:18,10.5,86,, ,Calm,1032.1,17.3,57,,ENE,6,1028.9
2017-06-14,5.4,19,0,,,NNW,28,12:45,12.6,67,,NE,7,1028.9,18.5,43,,NW,11,1026.7
2017-06-15,8.6,18.5,0,,,NNE,17,11:30,11.3,69,, ,Calm,1027.3,17.6,41,,NNW,7,1024.9
2017-06-16,9.8,14.8,0.2,,,ENE,13,11:47,11.8,81,,NE,2,1026.5,14.6,66,,NNE,7,1023.6
2017-06-17,6,16.8,1.4,,,WSW,15,13:57,9.3,96,, ,Calm,1027.5,16.4,63,,WSW,7,1026.6
2017-06-18,8,16.9,0.2,,,WSW,13,14:24,10,95,, ,Calm,1032.9,16.2,66,,WNW,7,1030.9
2017-06-19,5.2,19.4,0,,,NE,24,13:01,10,82,, ,Calm,1032.9,18.9,45,,NE,7,1029.2
2017-06-20,4.9,19.1,0,,,N,19,10:03,10.4,82,,NE,2,1028.4,18.4,37,,W,9,1026.5
2017-06-21,4.5,19.2,0,,,WSW,17,13:56,10,80,, ,Calm,1029.5,17.8,52,,WSW,11,1026.9
2017-06-22,4.6,19.5,0,,,N,22,11:27,9.6,76,, ,Calm,1026.9,18.9,29,,WNW,7,1022.3
2017-06-23,5.4,18.5,0,,,NNW,19,12:27,11.7,58,,ENE,4,1020,17.1,44,,NW,4,1017.7
2017-06-24,5,17.3,0,,,W,17,12:19,9.6,83,, ,Calm,1020.7,16.7,54,,SW,9,1018.5
2017-06-25,8,14.6,0,,,SW,28,13:30,10.6,89,,NE,9,1020.7,13.5,74,,WSW,11,1020.6
2017-06-26,8.7,16,1.6,,,WNW,17,13:40,10.2,95,,NNE,6,1026.2,14.1,73,,NNW,4,1024.8
2017-06-27,9.2,16.9,0,,,N,20,13:18,11.2,81,, ,Calm,1024.6,16.6,48,,WNW,7,1022.3
2017-06-28,5.8,16,0,,,WSW,35,14:26,8.5,85,,NE,4,1024,11.9,77,,SSW,7,1022.6
2017-06-29,6.1,14.3,3,,,WSW,30,13:36,9.9,92,, ,Calm,1029.2,13.5,74,,SW,9,1028.6
2017-06-30,4.7,15.6,2,,,NNW,20,14:04,8.4,94,, ,Calm,1032.6,15.3,47,,NNW,9,1029
