Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-05-1,11.8,18.4,0,,,WSW,31,11:23,14.7,81,,NNE,7,1017.6,15.9,77,,SW,17,1017.9
2017-05-2,10,17,3,,,SSW,33,12:13,14.7,57,,S,9,1025.4,15.5,56,,S,9,1025.9
2017-05-3,6.2,18.3,0.2,,,SSW,20,15:28,12,73,,N,6,1032.1,16.5,60,,SSW,9,1029.5
2017-05-4,5.8,17.6,0,,,NNE,20,10:24,13.2,49,,ENE,6,1031.7,16.6,44,,WSW,9,1028.5
2017-05-5,6.6,19.9,0,,,WNW,22,13:11,13.1,55,,NE,2,1027.1,19.3,31,,WNW,7,1023.1
2017-05-6,11.5,19.9,0,,,SW,37,13:57,14.1,61,,NNE,4,1024.2,18.3,49,,SW,17,1025.4
2017-05-7,8,15.3,0,,,SE,20,17:43,11.5,61,,NNE,4,1033.8,15,47,,SE,9,1032.1
2017-05-8,6.8,16.9,0,,,E,24,11:53,12.7,57,,E,9,1034,16,47,,SE,9,1030.7
2017-05-9,6.9,18.9,0,,,SW,20,15:45,13,67,,NNE,7,1030.2,18.6,50,,WSW,9,1026.3
2017-05-10,5.7,20.5,0,,,N,28,13:33,13.6,60,,N,7,1027.5,19.3,37,,NNE,7,1023.9
2017-05-11,7.3,20.7,0,,,WSW,15,14:24,12.9,63,,NNE,6,1026.8,19.9,34,,WSW,9,1024.3
2017-05-12,5.7,21.4,0,,,ESE,20,12:35,13.9,57,, ,Calm,1025.8,20.6,35,,ESE,9,1022
2017-05-13,7.8,21,0,,,E,24,11:35,15.9,54,, ,Calm,1023.2,20.4,35,,E,7,1021.2
2017-05-14,7.3,21.2,0,,,WSW,22,13:50,14.6,60,, ,Calm,1023.6,19.5,40,,SW,13,1021.2
2017-05-15,6.8,22.5,0,,,ENE,20,20:00,13.7,61,, ,Calm,1021.1,21.3,30,, ,Calm,1017.2
2017-05-16,13.7,21,0,,,N,39,18:28,19.5,28,,NE,9,1014,20.5,28,,N,9,1011
2017-05-17,15.6,18.2,1.4,,,N,37,03:35,17.3,64,,NNE,11,1011.8,15.8,88,,NNE,11,1012.2
2017-05-18,10.5,20.8,4.6,,,E,22,16:21,16.5,54,,N,2,1017.6,19.9,44,,E,6,1015.5
2017-05-19,12.2,19.5,0.2,,,N,20,13:30,13.8,87,,NNE,2,1016.5,18.3,60,,NW,7,1013.3
2017-05-20,12.4,20.5,0,,,NW,28,14:46,14.5,76,,NNE,9,1016.3,20.2,55,,NW,11,1014.4
2017-05-21,10.1,22.9,0,,,N,24,10:15,17.2,60,,NE,6,1018.7,22.4,41,,NW,9,1016.2
2017-05-22,11.6,20.1,0,,,N,30,10:30,17.9,47,,NE,7,1017.1,19.6,46,,NNE,13,1012.2
2017-05-23,12.5,19.3,1.6,,,NW,31,13:40,13.4,97,,NNE,9,1018.6,17.6,57,,WNW,15,1015.9
2017-05-24,13.3,19.2,3.6,,,WNW,30,11:13,16,81,,NNW,4,1021.4,17.9,64,,W,13,1021.3
2017-05-25,10,20.2,0.2,,,WSW,26,13:39,14.2,79,,NE,7,1023.2,19.4,53,,W,15,1020.9
2017-05-26,12.5,21.9,0,,,NW,24,14:28,13.9,87,,E,4,1023,21.6,36,,NW,13,1018.1
2017-05-27,11.6,20.4,0,,,WSW,48,22:31,15,61,,NNE,17,1015.1,19.5,52,,NW,15,1011
2017-05-28,9.5,15.1,16.6,,,WSW,50,03:15,11.5,89,,SW,13,1015.5,14.9,58,,WSW,19,1015.8
2017-05-29,7.9,15.2,3.8,,,W,28,14:55,10.8,95,,N,9,1023.1,14.1,93,,WNW,13,1021.6
2017-05-30,9.7,15.1,16,,,S,35,13:09,12.2,71,,S,7,1028.9,14,40,,SSE,11,1029.3
2017-05-31,4.8,15,0,,,E,24,12:37,9.4,68,, ,Calm,1036.6,14.4,40,,E,11,1035.2
