Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,19.2,30.2,16.6,6.4,10.8,NNE,39,16:13,27.2,53,4,NNW,7,1012.5,27.7,60,4,NE,17,1006.2
2016-12-2,20.1,30.4,0.4,7.6,13.2,NE,30,16:01,27.6,56,2,NW,6,1012.3,29.4,62,1,NNE,11,1009.6
2016-12-3,24.2,30.8,0,8.2,5.4,WSW,48,18:11,26.4,74,8,NNE,6,1015.3,29.1,61,1,NE,17,1010.8
2016-12-4,20.2,30.3,21.2,10.4,12.6,NE,31,14:35,28.4,61,2,NE,6,1015.8,28.9,65,2,NE,13,1012.8
2016-12-5,23,30.3,0,9,11.7,NE,31,16:13,28.7,64,2,NE,7,1015,28.2,68,3,NE,15,1011.3
2016-12-6,23.2,33.8,5.4,10,6.6,ENE,28,17:22,27.5,69,6,NNE,9,1016.4,31.6,56,6,ENE,11,1009.1
2016-12-7,22.8,31.3,11,7.8,3.4,SE,24,19:51,25.7,69,8,NNW,7,1013.4,28.9,68,7,ENE,9,1010.3
2016-12-8,22.7,28.4,20.4,7.8,1.1,NE,24,15:59,24.6,82,8,ENE,4,1012.6,26.8,77,7,NE,7,1007.4
2016-12-9,23.8,28.6,3.2,3,0.6,W,28,12:33,25.9,67,6,W,7,1009.3,26.2,62,6,WNW,9,1009.5
2016-12-10,21.6,27.7,1.4,4,7,ESE,39,14:14,24.7,54,7,ESE,17,1020.5,25.1,56,7,E,19,1019.2
2016-12-11,18.5,27.2,0,8,5.9,ESE,30,13:12,24.7,52,7,E,11,1021.9,24.7,48,7,E,13,1020.5
2016-12-12,18.2,28.1,0,6.8,12.4,E,28,14:15,25.6,48,2,ESE,11,1022.4,26.6,51,7,E,13,1021
2016-12-13,17.8,28.8,0,8.4,13.1,ENE,26,13:50,25.2,55,3,ENE,6,1020.9,27.7,43,1,ENE,11,1017.6
2016-12-14,19.8,29.5,0,5.6,12.8,NE,30,17:16,27,53,2,NNW,7,1016.8,28.3,46,1,NE,11,1012.5
2016-12-15,19,30.6,0,,12.9,NE,33,19:13,27.6,51,1,NNW,6,1013.2,29.1,52,1,NNE,13,1009.9
2016-12-16,23.6,30,0,4,9.8,E,28,15:51,27.9,51,7,NNE,9,1014,29.1,45,7,NE,11,1012
2016-12-17,22.4,31,0,8,12.3,NE,31,17:53,28.1,50,1,NNW,11,1013.1,29.1,54,4,NNE,11,1009.4
2016-12-18,23.9,32.3,1.6,9.2,6.8,SE,41,14:55,27.4,60,6,SW,4,1013.1,25.1,70,6,S,22,1013.5
2016-12-19,21.6,27.8,12.4,10.4,1.1,SSE,31,09:48,24.7,58,7,SE,15,1017.8,25.7,50,6,E,15,1015.5
2016-12-20,20.5,29.6,0.2,8,8,NNE,22,17:48,25.7,61,7,NE,6,1015.5,28.1,53,2,NE,9,1011.2
2016-12-21,22.1,34.1,0,7,8.8,WSW,26,17:01,29.5,55,3,NW,6,1012.2,31,57,7,NE,11,1008.6
2016-12-22,22.1,31.5,0.6,7.4,7.2,ESE,39,15:25,28,59,7,SSE,11,1014.8,27,58,7,E,22,1014.2
2016-12-23,22,27.7,0,7.8,5.8,E,28,11:24,26.2,55,5,E,17,1018.2,27.5,54,4,E,13,1015.8
2016-12-24,20,29.2,0,9.4,11.8,E,37,12:15,26.7,52,5,E,7,1017.4,27.5,53,3,ENE,11,1014.8
2016-12-25,20.6,27.5,0,8,0.1,ENE,24,17:05,23.3,75,8,SE,13,1016.7,25,65,7,ENE,11,1015.6
2016-12-26,18.5,29.3,6,4,9.6,ENE,31,15:59,27.1,55,4,E,13,1016.6,25.3,69,7,E,15,1014.5
2016-12-27,18.9,28.9,1.4,6.6,12.2,ENE,28,17:11,27.1,58,4,ENE,11,1016.1,27.8,57,3,ENE,13,1013.9
2016-12-28,19,29.8,0.2,8,12.4,ENE,31,16:32,27.4,51,1,ENE,7,1015.3,28.6,46,1,E,11,1012.8
2016-12-29,21.2,30.8,0,9.6,12.6,ENE,28,15:06,27.6,60,3,NNE,7,1012.8,29.3,53,1,NE,11,1008.5
2016-12-30,20.7,32.4,0,8.6,11.9,NE,31,16:23,28.4,54,1,W,4,1008.4,29.9,60,1,NE,15,1005.5
2016-12-31,24.5,33.9,0,8,13.1,NE,31,15:59,30.6,58,3,N,6,1007,31.9,57,1,NE,15,1003.4
