Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,23.4,32.9,0,11.8,12.5,NE,28,17:20,29.2,57,1,N,6,1015.7,31.8,45,1,NNE,11,1012.3
2017-02-2,24.6,32.9,0,10.2,12.4,NE,30,17:59,30,58,1,ENE,4,1013.5,31.6,50,1,NE,11,1010.1
2017-02-3,25.8,32.4,0,11.6,10.8,ENE,26,15:00,29.5,60,3,N,6,1015.2,31.1,49,4,ENE,13,1012.9
2017-02-4,23.5,32.8,0,11,11.9,ENE,30,14:34,29.4,55,7,NE,6,1016.2,32,53,6,ENE,11,1013.3
2017-02-5,24.5,32.8,0,8.8,10.8,ENE,26,13:14,29.1,61,4,NNW,6,1015.6,31.4,53,7,NE,7,1012.4
2017-02-6,24.1,33,0,8.6,12.7,,,,29.9,52,3,NE,6,1014.7,30.9,50,1,ENE,11,1011.6
2017-02-7,,32.8,,10.8,12.5,,,,30.2,53,3,ENE,7,1014.9,31.2,53,2,ENE,13,1012.9
2017-02-8,24.6,32.8,0,9.8,12.6,SE,37,11:01,29.8,59,4,SE,15,1016.4,31.5,39,3,ESE,19,1014.7
2017-02-9,23.3,32.2,4,11,10.7,SSE,33,12:42,27,73,6,S,11,1015.8,30.2,55,2,SE,15,1012.3
2017-02-10,22.9,33,1.4,8.8,11.5,E,28,16:15,27.7,65,4,SSW,4,1013.6,31.6,54,2,ENE,11,1009
2017-02-11,22.6,37,0,8.8,12.2,NNE,30,15:42,29.5,60,2,SW,6,1010.2,32.9,46,2,NE,11,1006.8
2017-02-12,22.7,37.6,0,10.2,11.7,NNE,28,17:10,30.9,53,1,NNE,4,1005.8,33.8,52,1,NE,15,1000.1
2017-02-13,27.3,35.6,0,11.4,5,ESE,37,16:58,30.4,64,7,WSW,4,1004.3,30.6,59,7,ESE,17,1002.8
2017-02-14,22.9,30.3,8.6,7.6,9.1,SE,35,12:23,27.9,61,6,SE,13,1011.9,29.1,47,3,SE,15,1010.8
2017-02-15,21.7,30.4,0.2,9.8,10.5,ESE,26,17:33,27.2,57,3,E,7,1014.5,28.7,46,3,E,15,1012.1
2017-02-16,21.1,31.7,0,9.4,9.5,ENE,26,15:24,26.8,58,7,NE,4,1015.5,29.9,50,1,ENE,13,1012.5
2017-02-17,23.1,31.8,0,9.4,10.5,ENE,24,17:35,27.1,58,5,NE,4,1015.8,30.4,47,1,NE,11,1012
2017-02-18,23,31.9,0,9.6,12,NE,31,17:39,28.9,50,3,N,6,1012.1,30.9,42,2,NE,13,1007.9
2017-02-19,22.5,34,1.2,11,5.6,W,19,03:03,28.2,62,7,NNW,6,1008.2,31.2,49,8,W,4,1006
2017-02-20,21.6,31.7,15.2,6.2,9.9,E,24,16:03,25.8,68,7,WSW,6,1011.7,31.1,37,1,E,13,1009
2017-02-21,22.1,32,0,8.8,11,SE,30,14:32,28.6,59,5,ESE,6,1017.3,30.1,51,8,SE,15,1015.3
2017-02-22,22.5,30.3,0,10.8,7.6,ESE,37,17:28,26.6,58,7,SE,13,1019.9,28.8,43,5,ESE,17,1016.7
2017-02-23,21,31,0,9.8,11.8,E,33,15:09,27.1,45,5,SE,13,1019.4,29.3,47,2,ESE,13,1016.8
2017-02-24,19.9,32,0,9,12.1,ENE,26,15:01,27.5,55,1,SE,7,1018.9,30.2,44,1,ENE,15,1015.4
2017-02-25,20.1,31.9,0,10.6,12.2,E,31,15:46,27.3,50,2,SSE,9,1017,30.1,47,2,ESE,15,1013.1
2017-02-26,21.1,31.6,0,10.4,6.5,SE,39,16:50,27.2,56,8,SSE,13,1016.2,27.9,47,5,E,15,1014.1
2017-02-27,21,29.1,0,8.8,7.9,SE,35,14:06,24.9,59,6,SSE,11,1018.4,27.9,45,4,SE,13,1015.7
2017-02-28,19.6,31.1,0,8,10.5,E,28,13:51,25.1,60,6,WSW,7,1016.8,29.8,51,2,ESE,11,1014
