Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,24.8,34.7,0,9.8,12.2,NE,39,15:04,31.4,55,1,N,7,1006.5,31.6,62,2,NE,13,1004.3
2017-01-2,26.1,32.5,0,9.6,9,SE,33,21:30,30.9,61,5,NE,9,1007.8,30.4,58,6,NE,15,1004.9
2017-01-3,22.3,26.8,98,9.2,0,SE,37,16:03,24.2,81,8,SSE,13,1012.5,24.7,73,8,SSE,13,1012
2017-01-4,22.4,29.6,0.6,2.8,4.1,E,43,12:54,26.6,57,7,ESE,15,1015.4,28.1,45,7,ESE,20,1013.7
2017-01-5,21.5,29.4,0,8.4,3.6,SSE,28,11:18,27,58,6,SE,7,1014.6,27.2,61,6,E,13,1011.9
2017-01-6,21.1,28.6,0.4,5.4,5.4,ENE,30,13:36,26.6,63,7,ESE,11,1013.3,27.2,69,7,E,15,1011.8
2017-01-7,21.7,28.5,23.4,6.8,10.5,ESE,39,14:47,25.9,60,5,ESE,13,1014.8,28.1,45,3,ESE,15,1011.5
2017-01-8,19.5,29.2,0.2,7.6,11.7,E,33,13:25,26.3,57,4,ESE,9,1014.1,27.6,44,3,E,15,1011.8
2017-01-9,19.3,30,0,8.8,9.2,NE,24,15:01,26.3,61,6,SE,2,1014.2,28.1,62,2,ENE,13,1011.5
2017-01-10,22.5,31.2,0,6.8,9.2,NNE,30,17:43,28.8,65,3,NNE,6,1014.3,29.5,58,3,NNE,11,1011.6
2017-01-11,23.7,32.3,0,8.6,12.5,NNE,26,16:20,29.1,60,3,W,4,1013.3,31.2,54,1,N,7,1009.2
2017-01-12,23.5,35.6,0,8,10.1,NE,24,13:50,30.1,59,6,WSW,4,1011.2,34.6,50,4,ENE,11,1007.8
2017-01-13,25.1,33.3,0.2,8.8,11.2,ENE,26,19:53,28.7,72,4,ENE,9,1012.3,32.7,46,1,NNE,9,1008.7
2017-01-14,25.2,35,0,8.8,12.5,NE,31,16:38,31.1,63,3,N,6,1008.6,32.5,64,6,NE,11,1005.1
2017-01-15,24.6,32,0,9.4,0.9,E,35,16:48,29.1,71,7,E,4,1008.4,28.8,80,8,ESE,7,1008.1
2017-01-16,22.6,31.2,83.2,3.6,12.4,NE,26,16:46,27.9,69,3,E,6,1015.3,30,59,2,ENE,11,1013.6
2017-01-17,23,31.9,0.2,8,11.6,ENE,26,13:51,28.3,66,5,E,4,1017.1,30.6,56,2,NE,9,1014.3
2017-01-18,22.6,35,0,10.4,13.2,NNE,26,16:49,29.6,57,0,NE,4,1013.5,33,54,1,NE,11,1008.2
2017-01-19,25.8,30.9,0,8.6,5.7,ESE,28,17:59,28.6,69,7,ESE,4,1011,30.4,55,4,ESE,11,1008.9
2017-01-20,24.6,32.3,0,8,10.1,NNE,28,17:49,28.1,65,7,NW,4,1009.2,31.6,59,1,NNE,11,1003.2
2017-01-21,28,33.6,0,8.6,3,SE,44,13:14,31.1,61,7,W,9,1006.6,25.1,87,8,ESE,7,1007.9
2017-01-22,23,29.1,2.4,5.8,8.8,SE,31,09:13,26.3,60,6,SE,17,1016.3,27.6,53,3,ESE,11,1014.6
2017-01-23,19.8,29.2,0,10.6,8,E,26,14:27,26.1,49,7,ENE,6,1017.1,28.1,47,4,E,9,1014.5
2017-01-24,19.5,32.2,0,8,12,NE,24,13:32,27.4,49,1,WSW,6,1017,30.3,45,0,NE,11,1012.8
2017-01-25,22.5,31.4,0,10.4,12.8,ENE,26,16:43,29,56,1,WNW,2,1016.4,30.3,53,7,ENE,11,1014.1
2017-01-26,24.1,32.3,0,8,10.9,NNE,26,19:13,28.4,54,4,NW,6,1014.3,31.1,54,3,NE,9,1010.7
2017-01-27,23.6,29.1,3.2,9.4,0.6,NE,15,16:07,26.5,76,7,SE,2,1014.1,26.6,75,7,NE,7,1012.9
2017-01-28,22.9,30.6,6.6,3.6,10.8,ENE,28,12:39,28.4,66,5,E,9,1016.2,29.6,58,1,ENE,11,1014.5
2017-01-29,21.4,31.8,0,8,12.9,NE,28,16:05,27.9,60,3,NNW,4,1017.4,29.9,54,1,ENE,15,1015.8
2017-01-30,23,,0,8.6,12.3,,,,29.2,55,5,NNE,7,1016.6,29.9,56,1,ENE,9,1013.9
2017-01-31,22.8,32.5,,8.4,12.8,NE,26,18:12,29.1,53,1,NW,9,1015.3,31.5,52,1,NE,11,1012.4
