Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,20.9,32.6,0,6.6,11,ENE,31,15:20,27.6,58,2,SSW,6,1017.3,29,56,3,E,17,1014.2
2017-03-2,22.1,32.1,0.4,8.2,9.2,NE,22,16:06,28.2,62,4,S,4,1015.5,29.6,56,5,ENE,11,1011.8
2017-03-3,21.8,32.3,0,7.6,10.7,E,33,13:13,28,64,3,W,6,1013.4,30.3,55,6,E,11,1010.7
2017-03-4,23.5,31.8,0,8,4.7,ENE,24,14:15,28.4,64,6,ESE,4,1013.3,29.5,60,7,ENE,9,1009.9
2017-03-5,22.4,34.3,2.6,6.2,10.4,NE,19,17:09,27.1,72,6,SW,7,1010,30.9,53,2,NE,9,1005.6
2017-03-6,22.7,31.5,0.2,6,10.8,ENE,26,15:39,26.9,62,5,W,2,1010.2,30,52,2,E,15,1007.7
2017-03-7,22.6,33,0,9.8,10.8,E,30,17:40,27.1,45,2,SSW,6,1013.6,30,40,2,ENE,13,1010.2
2017-03-8,20.5,31,0,,1.9,SE,24,19:14,23,50,7,SW,7,1014.4,29.6,35,7,SW,6,1010.1
2017-03-9,19.7,31.1,0,,11.3,SSW,24,11:59,25.3,47,2,SSW,7,1012.5,27.4,45,4,ENE,11,1008.3
2017-03-10,19.5,31.9,0,8,11.4,ENE,26,15:06,25.5,43,0,WSW,7,1012.4,30,36,1,E,11,1008.8
2017-03-11,20.7,31.1,0,8,10.9,ENE,28,15:08,25.8,48,1,ENE,4,1013.2,28.2,50,1,ENE,15,1009.8
2017-03-12,21.5,32.9,0.4,10,10.9,NE,26,18:13,27.3,60,3,ENE,4,1012.7,30.6,54,1,ENE,11,1008.5
2017-03-13,23.9,27.8,0,9.6,2.7,ENE,26,20:29,24.6,75,7,WSW,11,1014.9,27.1,67,7,E,11,1011.9
2017-03-14,22.5,30.4,0,4.4,4.2,ESE,31,15:51,26.1,66,7,SE,7,1015.9,26.8,63,7,ESE,13,1013.9
2017-03-15,21.8,28.9,2.8,5.6,1.3,ESE,20,12:41,24.6,80,7,SW,4,1014.1,27.7,66,7,ENE,9,1012
2017-03-16,22.5,33.1,0.2,3.8,4.5,E,24,15:33,25.2,77,6,SSW,4,1012.2,28.7,67,7,E,13,1008.2
2017-03-17,21.6,35.7,0,3.4,7.2,S,37,13:41,28.3,62,1,WSW,7,1012,25,79,7,E,15,1009.8
2017-03-18,20.8,32.8,41.8,8.6,10.9,NE,31,16:39,28,57,3,WNW,7,1011.4,29.5,57,3,NE,11,1009.1
2017-03-19,22.9,29.6,11,8.4,4.7,SE,24,16:53,24,93,7,SSE,4,1017.7,29.1,64,5,ENE,11,1015.1
2017-03-20,22.8,27.3,24.2,2.8,0.5,NE,31,12:03,26.8,82,8,ENE,11,1017.1,23.4,92,8,NE,7,1014.8
2017-03-21,22.8,28.6,90.6,5.8,3.7,ENE,26,15:39,26.2,82,8,E,7,1016.9,27.7,70,8,ENE,11,1014.9
2017-03-22,23.2,27.9,3.8,5.6,0.2,ENE,20,11:29,26,84,8,SSE,6,1016.3,25.9,84,8,SW,2,1013.8
2017-03-23,23.1,29.3,0.6,1.4,0.9,NE,17,16:55,25.7,83,8, ,Calm,1016.5,29,59,7,ENE,6,1013.7
2017-03-24,22.4,29.4,0.8,3.4,4.6,SSE,26,14:04,26.5,75,6, ,Calm,1016.3,24.1,91,6,E,11,1013.5
2017-03-25,21.5,28,10,5.1,7.8,SE,24,12:36,25.3,69,4,SSE,7,1017,26.8,65,5,E,11,1014.2
2017-03-26,20.5,,0.2,4,9.2,NE,20,14:07,26.3,69,4,SSW,2,1016,,,2,ENE,7,1011.8
2017-03-27,,30.1,0,5.8,10.8,E,24,14:35,27.4,68,5,S,6,1016.2,28.2,61,3,E,11,1012.8
2017-03-28,21.2,31.3,0,7.4,10,ENE,20,14:08,27.4,64,3,NNE,2,1014.9,29.5,51,5,E,13,1011.6
2017-03-29,22,29.5,0,5.4,3.5,E,24,15:10,27,76,7,E,7,1014.4,25.9,89,7,E,6,1011.7
2017-03-30,23.4,25.8,,13.8,0,ENE,59,19:31,24.5,95,8,N,6,1009.8,25.8,92,8,ENE,20,1002.9
2017-03-31,21.7,28.3,,9.8,6.9,W,44,00:05,25.2,58,3,SW,17,1006.9,26.8,55,7,SSW,13,1008.1
