Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,5.6,22.3,,,,ENE,35,17:42,9.2,99,7, ,Calm,1017.6,20.6,32,,WSW,11,1017.3
2017-04-2,9.1,20.4,0,,,,,,15.1,61,,SSE,13,1026.8,19.5,41,5,NE,13,1024.8
2017-04-3,4.5,18.4,0,,,ESE,41,16:50,13,70,8,S,19,1030.5,17.7,49,6,ESE,22,1028.5
2017-04-4,5.7,18.7,0,,,ESE,41,17:18,14.2,64,1,SSE,17,1030.2,17.8,56,5,SE,20,1027.8
2017-04-5,3.7,19.2,0,,,E,28,17:36,12.7,78,8,SSE,9,1028.1,18.1,51,8,NE,15,1023.5
2017-04-6,4.1,21.3,0,,,NE,26,15:27,13.6,73,,SW,6,1026.9,21,34,1,NNW,15,1023.4
2017-04-7,3.3,21.4,0,,,NNE,28,14:43,13.8,73,,SE,7,1028.9,20.5,35,,NE,15,1025.1
2017-04-8,5,22.5,0,,,W,30,15:46,13.8,71,,SW,4,1026.5,21.1,40,,NW,15,1020.5
2017-04-9,6.8,18.7,0.6,,,NNW,44,14:35,13.5,85,8,WSW,9,1015,13.8,90,8,WNW,28,1006.2
2017-04-10,5.8,15,13,,,NNW,43,02:17,9.1,77,8,NW,19,1006.9,13.8,57,8,WNW,7,1009.2
2017-04-11,5.9,19.9,1.6,,,S,43,10:22,14.5,59,,S,24,1019.9,18.5,49,7,SSE,20,1019.2
2017-04-12,5.3,20.8,0,,,E,35,15:53,14.3,69,,S,13,1025,18.3,58,6,NNE,11,1022.3
2017-04-13,4.7,19.7,0.2,,,NNW,22,14:14,12.2,79,5,SW,4,1025.1,18.7,57,4,NW,11,1021
2017-04-14,2.1,22.5,0,,,W,35,16:05,10,80,,ENE,4,1023.7,22,38,,NW,17,1018.8
2017-04-15,5.5,20,0.2,,,N,26,13:10,10.8,82,8,SSE,6,1021.8,19.2,43,,NNW,19,1018.1
2017-04-16,1.1,20.9,0,,,WSW,28,15:02,10.3,77,,SSW,7,1020.8,20.2,41,6,W,15,1018.4
2017-04-17,6.3,22.5,0,,,NNW,26,13:57,13.5,79,, ,Calm,1024.4,22.5,42,,NW,13,1021.2
2017-04-18,10.1,24.5,0,,,N,46,16:54,14.8,83,6,S,7,1027.4,23.4,28,,SSE,7,1024.8
2017-04-19,9.2,21.5,4,,,ENE,31,14:51,14.6,81,,SW,2,1032.1,20.5,50,,ENE,20,1028.4
2017-04-20,6.6,22.7,0,,,NW,20,15:23,12.9,97,8,ESE,9,1031.2,22.1,44,,NW,9,1026.4
2017-04-21,7.4,19.9,0,,,W,24,14:12,13.3,82,8,SSW,2,1028.1,19,57,6,WNW,15,1024.9
2017-04-22,11.2,21.5,0,,,WNW,24,15:59,14.1,87,8,S,9,1026.7,20.9,49,,WNW,11,1022.6
2017-04-23,4.7,22.6,0,,,W,20,16:16,13.1,79,,N,6,1025.3,22.1,36,,WSW,9,1021.3
2017-04-24,8.2,22.4,0,,,NW,26,13:33,11.7,99,8,S,6,1023.4,21.5,48,4,WNW,13,1018
2017-04-25,10.6,17.2,2.2,,,NNW,54,11:13,15.4,90,8,NNE,6,1011.8,16.6,87,8,NW,33,1007
2017-04-26,11,13.5,5.8,,,WNW,37,08:52,11.8,84,7,WNW,20,1005.8,12.5,74,8,NW,9,1005.2
2017-04-27,2.7,13.9,4,,,S,43,09:49,8.9,62,,S,26,1016.9,13.8,49,,S,22,1016.1
2017-04-28,-1.8,16.5,0,,,WNW,28,16:33,7.4,68,, ,Calm,1023.5,16,43,,NNW,11,1020.7
2017-04-29,-1.4,17.1,0,,,N,22,13:19,4.5,99,8,N,6,1022.2,16.5,52,,NW,13,1019.3
2017-04-30,3.1,18.9,0,,,NW,19,12:31,10.3,87,,W,2,1023.6,18.5,47,,NNE,11,1020.4
