Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,12.1,28.8,0,,,W,48,12:16,21.8,41,,NW,13,1008.1,28.1,17,,W,28,1005.5
2016-12-2,8.5,30.3,0,,,W,54,13:16,18,48,,W,6,1009.4,28.9,22,,WNW,31,1009.8
2016-12-3,11.7,30.9,0,,,NW,52,13:19,18,71,6,SSE,6,1015.2,29.6,22,1,WNW,24,1011.8
2016-12-4,10.6,32.8,0,,,NW,43,14:56,19.2,67,,S,9,1015.3,30.7,24,1,NW,28,1011.2
2016-12-5,17.7,31.4,1,,,ESE,44,20:11,24.4,56,1,NNE,6,1009.6,30.1,36,8,WNW,20,1008.4
2016-12-6,16.9,23.1,13.4,,,NNW,37,13:51,18.9,93,8,W,11,1012.2,21.5,71,6,NW,28,1010.1
2016-12-7,8.9,26.9,0.2,,,NW,43,13:02,18.4,63,,NNE,7,1014.2,25.7,28,,WNW,24,1011.9
2016-12-8,10.1,31.3,0,,,,,,19.6,63,,N,9,1006.1,30,26,1,WNW,41,998.4
2016-12-9,11,21.6,2,,,,,,14.8,50,,NW,28,1007.5,19.7,36,,NW,33,1009.8
2016-12-10,7.3,25.2,0,,,,,,15.1,66,,NW,9,1020.8,24.6,26,,NNW,20,1017.8
2016-12-11,12.8,28,0,,,,,,17.3,66,7,ESE,13,1021.5,26.1,25,,NNW,13,1018.6
2016-12-12,15.3,31.2,0,,,,,,19.5,66,1,S,9,1021.4,30.4,29,,W,17,1016.8
2016-12-13,10.6,33.9,0,,,,,,21.6,50,,SSW,7,1015.4,33,15,5,,,1011.1
2016-12-14,21.6,28.6,0,,,,,,27.8,30,1,WNW,26,1008.7,24.1,59,8,NNW,33,1009.6
2016-12-15,12.8,14.8,3,,,E,30,04:51,12.9,92,8,S,9,1016.4,14.3,79,7,E,15,1015.8
2016-12-16,12.3,20.1,5.8,,,SE,19,23:11,13.6,94,8,S,9,1012.9,17.2,85,8,ENE,15,1007.8
2016-12-17,13.5,27.9,11.4,,,W,69,14:49,19.8,81,1,NW,28,1007.2,25.6,34,2,WNW,39,1005.3
2016-12-18,11.4,24.9,0,,,E,50,16:31,16.8,58,8,NNE,13,1016.7,24.8,38,,S,11,1015.3
2016-12-19,11.1,26.5,0,,,NNW,37,15:17,14.7,66,7,NE,13,1019.3,24.9,34,,WNW,22,1013.3
2016-12-20,9.7,30.8,0,,,WNW,54,11:29,22.6,49,,NNW,22,1008.4,27.2,27,8,W,31,1005.4
2016-12-21,8.9,28.7,0,,,ENE,43,18:48,20.7,36,,NW,20,1010.8,27.2,26,,WNW,24,1010.5
2016-12-22,14.6,26.6,0,,,E,43,18:35,16.8,70,8,ENE,13,1018.4,25,41,,N,17,1015.1
2016-12-23,14.6,31.8,0,,,NE,35,19:40,18.7,63,8,ESE,9,1018.3,29.9,30,,N,9,1012.6
2016-12-24,14.1,32.5,0,,,ENE,52,15:22,23.1,59,,NNW,13,1015.7,31.3,35,,N,30,1010.9
2016-12-25,11.3,30.9,22.4,,,NNE,33,13:42,20.1,65,,SE,6,1016.3,29,31,,NE,15,1013.9
2016-12-26,14,31.5,0,,,NW,50,12:28,22.6,69,,WSW,7,1014.2,29.3,38,1,WNW,20,1010.8
2016-12-27,18.4,31.9,0,,,ENE,52,16:53,23.8,54,5,SE,13,1014.9,29.6,41,8,NNE,7,1012
2016-12-28,16.3,31.9,0.2,,,NW,46,17:04,23.1,69,1, ,Calm,1012.4,30.4,32,3,NW,24,1008.7
2016-12-29,21.8,29.9,0,,,W,35,15:35,26,40,8,WNW,17,1009.6,29,36,8,W,15,1006.7
2016-12-30,20.3,32.8,2.2,,,SSW,50,17:33,22.8,83,8,N,7,1004.5,30.2,53,8,W,30,1001.6
2016-12-31,18.9,31.5,3,,,NW,41,11:19,25.3,54,,WNW,19,1004.4,30.7,30,,W,26,1003.3
