Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-05-1,1.5,19.9,0,,,NNW,48,12:42,8.5,90,2, ,Calm,1018.4,18.6,52,2,NW,24,1015.5
2017-05-2,5.2,16,0,,,NW,37,15:10,10.9,80,4, ,Calm,1018.7,14.7,65,8,NW,24,1017.8
2017-05-3,0.6,16.7,0,,,SE,31,13:39,8,62,,SSE,20,1029.3,14.3,43,7,ENE,13,1027.6
2017-05-4,-0.1,17.6,0,,,ENE,24,18:16,7.9,73,,SSE,6,1032.8,16.2,46,3,NNE,11,1029.3
2017-05-5,2.3,19.1,0,,,NNW,30,14:34,9.4,92,6, ,Calm,1032,17.6,51,2,NNW,19,1027.7
2017-05-6,1.8,17.3,0.2,,,NNW,43,13:19,7.9,98,7,SSW,7,1025.5,16.8,70,5,NW,26,1021.6
2017-05-7,4.2,15.2,0,,,NW,39,03:05,10.4,45,,WNW,17,1025.5,14.2,46,,N,20,1024.3
2017-05-8,-4.4,15.2,0,,,S,31,17:51,7.6,64,,SSE,6,1029.4,13.7,45,4,ESE,13,1026.3
2017-05-9,-1,17.7,0,,,S,17,10:18,9.2,68,,ESE,6,1028.5,16.9,33,,SE,6,1024.4
2017-05-10,-2,18.5,0,,,SW,17,13:33,7.1,81,,ESE,6,1026.8,17.2,39,,NW,4,1022.8
2017-05-11,-1.7,18.8,0,,,WNW,20,15:16,6.8,76,, ,Calm,1026.2,17.3,37,,WNW,9,1023.7
2017-05-12,-0.6,16.2,0,,,NNW,15,15:09,5.8,91,8,SSE,9,1029.1,15.8,52,8,W,7,1024.8
2017-05-13,3.4,18.9,0,,,ESE,19,19:33,9.2,85,1, ,Calm,1025.5,18.6,38,,NNE,9,1022.1
2017-05-14,7,15.9,0,,,NW,30,12:09,12.7,81,8,SE,11,1023.8,13.3,82,8,SE,11,1020.7
2017-05-15,3.3,17.1,0.6,,,SSW,35,11:48,7.4,99,1, ,Calm,1019.9,16.5,45,,S,22,1016.3
2017-05-16,0.3,16.8,0,,,S,28,00:06,7.9,77,,N,4,1019.6,16.4,48,,W,9,1017.3
2017-05-17,-1,16.8,0,,,SW,19,13:38,4.7,96,,N,7,1023.9,16.1,49,,WSW,9,1021.4
2017-05-18,4.6,19.1,0,,,ESE,30,15:54,11.4,79,1, ,Calm,1027.7,18.3,51,,ENE,19,1024.7
2017-05-19,9.8,15.9,0,,,E,37,01:20,13.9,78,7,E,13,1026,14.6,87,8,E,9,1021.3
2017-05-20,8.8,17.8,31.2,,,SE,33,05:39,11.3,93,5,N,4,1019.8,16.3,63,1,NW,17,1017.2
2017-05-21,0.7,17.2,0.2,,,NW,26,13:01,5.6,99,4, ,Calm,1023.2,16.3,48,,N,11,1020.9
2017-05-22,0.2,18.1,0,,,W,17,13:56,7.3,87,,SSE,6,1026.1,17.6,44,,WSW,11,1022.1
2017-05-23,1.1,17.6,0,,,NW,39,16:02,5.6,99,8, ,Calm,1023.4,16.2,63,,N,26,1018.1
2017-05-24,5.5,15.9,1.8,,,WNW,50,12:54,12.6,84,,NNW,19,1015.8,14.3,55,,WNW,30,1015
2017-05-25,0.8,12.5,0,,,NW,20,13:39,4.4,99,8,SE,9,1022.6,11.5,77,,WSW,13,1020
2017-05-26,0.4,16,0,,,NNW,17,15:04,4.5,99,8,ENE,4,1023.9,15.7,47,,NNW,11,1021
2017-05-27,0.7,16,0,,,NW,30,13:53,8.4,98,7, ,Calm,1022.6,15.2,59,,NW,15,1017.9
2017-05-28,0,14.3,0.2,,,NW,61,14:11,10.7,80,7,NNW,26,1011.6,12.3,65,6,NW,33,1009
2017-05-29,3.3,11.7,0,,,WNW,39,09:55,7,64,,NW,22,1018,10.4,50,,WNW,24,1019
2017-05-30,-4.5,12.6,0,,,NW,43,15:46,2,87,,E,7,1023.1,10.9,63,1,NW,31,1021.4
2017-05-31,-0.7,11,0,,,S,50,12:38,6.3,59,,S,17,1028.2,10.1,44,,S,33,1027.9
