Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,18.6,27.1,0,,,S,56,23:56,23.1,64,,S,19,1014.1,24.1,77,,SSE,28,1012.2
2017-04-2,19.9,26.9,0,,,SSE,59,15:11,22.6,63,,S,30,1017.6,24.1,70,,SSE,33,1015.9
2017-04-3,18.7,25.2,0,,,S,67,16:23,22,72,,S,41,1019.4,23.7,68,,SSE,43,1017.7
2017-04-4,17.9,25.5,0.2,,,SSE,76,15:25,22.6,65,,S,30,1020.4,23.6,67,,SSE,37,1018.9
2017-04-5,16.9,25,0.4,,,SSE,65,01:54,21.5,79,,SSE,33,1020.9,21.9,74,,S,31,1018.7
2017-04-6,16.8,25,8,,,SE,44,20:23,21.5,84,,SSE,33,1021.8,22.5,61,,SE,28,1019.7
2017-04-7,16.7,25.1,0.4,,,S,52,19:49,22.3,68,,S,35,1023.5,24.2,62,,SSE,31,1021.5
2017-04-8,18.3,26.2,0.2,,,SE,54,15:31,23.6,73,,SSE,37,1023,24.7,67,,SSE,33,1019.9
2017-04-9,18.4,26.6,1,,,SSE,31,09:27,23,82,,SSE,20,1018.6,25.3,68,,ESE,19,1013.5
2017-04-10,17.9,29.1,0.2,,,WNW,46,16:11,24.4,71,,WNW,24,1011.4,28.9,33,,W,26,1007.7
2017-04-11,12.8,26,0,,,SE,50,16:00,21.1,45,, ,Calm,1015.5,24.2,48,,SE,35,1013.8
2017-04-12,16.6,27.5,0,,,SSE,56,16:59,23.9,56,,SSE,30,1018.8,24.9,64,,SE,35,1016.8
2017-04-13,17.3,26.6,0,,,S,43,08:05,23.6,60,,S,24,1021.2,24.3,63,,SE,33,1018.6
2017-04-14,16.8,26.2,0,,,SE,31,15:08,21.2,76,,S,7,1020.9,24.1,61,,SE,26,1017.7
2017-04-15,16.4,26.3,0,,,SSE,28,09:00,23.2,66,,SSE,22,1020.6,23.9,63,,ESE,22,1017.5
2017-04-16,16,25.5,0,,,SSE,22,09:27,23.2,69,,SSE,17,1020.7,24.1,56,,ENE,11,1018.3
2017-04-17,16.4,26,0,,,E,28,18:26,23.9,66,,SSE,11,1022.7,24.3,60,,E,17,1020.1
2017-04-18,16.7,26.3,0,,,SE,41,18:40,23.5,63,,SSE,24,1025,23.4,67,,SE,31,1022.5
2017-04-19,17.7,25.6,0.2,,,SSE,59,10:26,23,67,,S,30,1026.3,23.7,65,,SSE,37,1024.1
2017-04-20,19,25.5,1.4,,,SE,65,15:18,21.5,72,,SSE,39,1026.6,21.9,70,,SE,48,1024.7
2017-04-21,17.5,24.8,1.6,,,SE,54,10:48,22.9,71,,SSE,31,1025.7,23,66,,SE,33,1023.2
2017-04-22,17.6,25,16.8,,,SE,46,12:41,21.9,86,,SSE,28,1024.8,22.7,57,,SE,31,1022
2017-04-23,15.9,25.9,0.2,,,SSE,35,10:47,22.9,65,,SSE,26,1023.2,24.2,67,,SE,26,1020.3
2017-04-24,16.6,25.8,0,,,SE,33,13:31,22.8,71,,SSE,19,1021.6,23.2,71,,SE,26,1018.7
2017-04-25,16,24.9,0,,,N,28,17:38,22.3,67,,SW,9,1019.3,24.2,66,,NE,17,1015
2017-04-26,18.4,23,0,,,WNW,35,09:50,21.4,78,,NW,17,1013.1,20.8,92,,NNW,15,1008.7
2017-04-27,15.2,21.6,4.8,,,WNW,35,05:46,18.1,41,,SW,9,1013.9,20.8,44,,SE,20,1012
2017-04-28,13.8,24.9,0,,,S,56,08:55,20.4,51,,S,39,1016.3,21.6,53,,S,26,1014.6
2017-04-29,15.8,25.2,0,,,SSE,43,15:58,21,50,,SSW,17,1019.6,23.5,56,,SE,33,1016.7
2017-04-30,15,24.6,0,,,SE,44,16:35,22.5,63,,SSE,19,1020.7,23.2,63,,SE,33,1018.2
