Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,9.4,24.9,0,,,N,33,15:47,16.3,71,,WNW,7,1018.5,22.6,48,,NNE,26,1014.6
2016-08-2,11.9,23.6,0,,,NW,39,14:15,17,81,,NW,6,1015.1,20.4,71,,NW,19,1010.7
2016-08-3,15.5,20.7,3.4,,,W,52,21:48,16.1,94,,NW,17,1008.7,19.7,46,,WNW,30,1005.2
2016-08-4,12.3,19.4,18.6,,,SSE,69,05:22,15.2,85,,S,35,1013.6,15.6,86,,S,31,1016.4
2016-08-5,12.7,20.2,0.8,,,S,56,10:00,16.1,64,,S,28,1024.3,19.1,56,,SSE,35,1022.9
2016-08-6,13.1,21.4,0,,,SSE,52,10:41,17.9,64,,S,19,1025.4,19.8,58,,SSE,24,1023.7
2016-08-7,11.3,21.5,0,,,SE,46,16:09,17,68,,SSW,9,1025.6,19.9,64,,SE,31,1022.6
2016-08-8,11.5,21.3,0,,,SSE,37,18:20,17.3,62,,SSW,9,1024.4,20,62,,SE,26,1021.6
2016-08-9,11.4,21.8,0,,,E,20,14:46,17.1,61,,SW,9,1024.1,20,59,,ENE,15,1021.3
2016-08-10,11.1,24.5,0,,,NW,31,10:11,17.9,73,,NW,15,1022.9,22.9,51,,NNE,26,1019.1
2016-08-11,14.5,24.4,0,,,WNW,37,12:54,18.8,67,,NW,20,1020.9,22.5,56,,NNE,9,1016.7
2016-08-12,13.6,22.3,2,,,,,,18.8,67,,S,28,1021.4,21.1,59,,SSE,19,1019.9
2016-08-13,12.8,23.5,,,,SSE,41,18:29,19.5,62,,WNW,15,1023,23.2,34,,WNW,13,1018.9
2016-08-14,12.4,23.5,0,,,SSE,44,17:33,18.8,53,,SSW,11,1026,21.3,49,,SE,35,1023.9
2016-08-15,13.3,22.5,0,,,SE,54,20:53,20,66,,SSE,31,1029.2,21.1,61,,SSE,39,1027.8
2016-08-16,15.5,22.7,0,,,SE,43,00:14,18.7,57,,SSE,24,1030.8,21,49,,SSE,26,1027.6
2016-08-17,13,23.1,0,,,SE,39,15:52,18.3,65,,SSE,26,1027.1,21.1,59,,SE,30,1023.4
2016-08-18,13.8,22.3,0,,,SE,41,06:45,19.5,64,,SSW,13,1024.6,19.9,61,,ESE,15,1021.9
2016-08-19,14.1,24,0,,,NNE,31,14:23,20.1,58,,SSE,9,1023.2,22.7,55,,NNE,22,1019.4
2016-08-20,16.3,24.7,0,,,NW,46,13:00,20.3,70,,NW,20,1018.9,23.9,57,,N,24,1014.7
2016-08-21,9.4,20.9,,,,,,,16.4,47,,WNW,6,1020.2,19.7,60,,SE,24,1017.3
2016-08-22,12.9,23,0,,,NNE,37,16:20,19.9,63,,SSE,11,1018,21,66,,NNE,28,1014.4
2016-08-23,17.2,24.2,0.6,,,N,35,23:02,21.9,73,,NNE,15,1014.4,23.3,73,,NE,19,1011.5
2016-08-24,18,18.1,11.6,,,SSE,54,10:06,18.1,100,,SSE,19,1008.5,16.5,100,,SSW,4,1006.6
2016-08-25,14.5,21.3,28,,,NW,39,02:59,17,49,,W,20,1010.4,20.6,36,,WSW,17,1009.7
2016-08-26,8,20.4,0.2,,,SSE,30,17:45,16.3,47,,WNW,11,1017.2,19.5,47,,ESE,15,1014.3
2016-08-27,10.3,21.8,1.8,,,SSE,37,18:59,16.4,44,,S,7,1019.7,20.1,38,,SE,20,1017.5
2016-08-28,10.5,22.7,0,,,SSE,31,09:39,19.2,47,,SSW,15,1023.7,21,54,,E,15,1021.1
2016-08-29,12.9,22.7,0,,,ENE,28,14:19,19.9,63,,NW,11,1025.9,21.2,65,,ENE,19,1024.5
2016-08-30,14.8,23.3,0,,,E,26,09:38,19.8,74,,SSE,13,1029,21.4,52,,E,13,1026.4
2016-08-31,14.2,23.5,0,,,N,33,17:23,20.1,63,,NW,17,1026.7,21,57,,N,20,1021.6
