Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,18.6,27.9,1.8,,,NNE,43,13:47,25.5,63,,NNW,22,1012,24.4,73,,NNE,35,1007.2
2016-12-2,20.7,27.3,8.6,,,NNE,41,13:04,26.4,61,,NNW,15,1012,24.5,77,,N,31,1009.5
2016-12-3,21,27.3,0,,,ENE,56,19:34,24.5,86,,N,17,1015.1,24.5,79,,NNE,31,1011.2
2016-12-4,19.7,28,1.6,,,NW,37,00:23,26.6,80,,NNE,17,1015.6,26.8,77,,NNE,28,1013.1
2016-12-5,21,29.7,0,,,NNE,46,13:10,27.8,71,,N,28,1014.7,24.1,83,,N,35,1011.1
2016-12-6,19,32.3,13.8,,,NNW,48,10:35,23.8,82,,NW,17,1016.4,30,63,,N,24,1008.6
2016-12-7,20.6,28.6,2.6,,,SSE,37,16:24,24.2,99,,NW,17,1012.8,23.3,90,,NNE,13,1011
2016-12-8,20.5,25.7,7,,,NNW,31,20:02,23.7,97,,SE,9,1012.5,22.9,99,,N,17,1007.4
2016-12-9,22.2,27.8,0.2,,,S,39,18:52,25.4,71,,W,13,1008.6,26,81,,N,11,1008.6
2016-12-10,19.6,27.9,0,,,SE,35,08:32,25.5,65,,SE,28,1020.6,25.5,67,,SE,24,1019.8
2016-12-11,19.8,27.3,0,,,E,26,00:42,25.7,65,,SSE,15,1022.3,25.5,59,,SE,15,1020.9
2016-12-12,17.9,28.4,0,,,SSE,28,06:56,25.4,66,,SSE,20,1023,26.1,58,,ESE,22,1021.6
2016-12-13,17.9,28.3,0,,,NNE,28,19:31,25.8,60,,SSE,13,1021.1,25.6,62,,ENE,13,1018.1
2016-12-14,19.8,28.3,0,,,NNE,41,13:26,26,60,,N,17,1016.5,27,64,,NNE,33,1012.3
2016-12-15,20.4,29.3,0,,,NNE,41,13:57,27.3,57,,NNW,19,1012.8,27.2,70,,NNE,31,1010.4
2016-12-16,21.5,29,0,,,NNE,35,11:32,26.3,76,,NNE,17,1014,25.3,77,,NNE,13,1012.4
2016-12-17,21.6,29.3,0,,,N,41,10:27,28,61,,N,24,1013,27.4,72,,NNE,31,1009.4
2016-12-18,22.4,26.4,4.8,,,SE,63,11:11,23.7,99,,N,11,1013,22.8,81,,SSE,46,1014.3
2016-12-19,20.9,26.6,0.2,,,SSE,54,00:02,23.6,68,,SSE,33,1018,25.1,63,,SE,33,1015.8
2016-12-20,20.9,29.4,0,,,NNE,33,16:52,26.1,66,,SSE,7,1015.3,27,67,,NNE,28,1010.8
2016-12-21,22.3,33.3,0,,,SSE,39,23:35,28.9,59,,NW,20,1011.4,25.1,81,,N,22,1008.7
2016-12-22,22.5,28.8,0,,,SSE,57,11:07,27.3,68,,SSE,28,1015,24.4,76,,SE,39,1015.8
2016-12-23,21.4,29.5,0,,,SSE,35,05:36,27.2,66,,SSE,28,1018.5,25.6,73,,ESE,20,1016.5
2016-12-24,19.6,29,0.4,,,E,28,11:32,26.9,70,,SSE,17,1017.7,26.6,65,,E,19,1015.4
2016-12-25,20,26.9,10.2,,,SSE,33,08:57,21,100,,SSE,28,1017,24.1,85,,ENE,17,1015.8
2016-12-26,19.4,28.2,2.2,,,ENE,33,12:37,26.5,80,,SE,9,1017.2,21.6,99,,NE,20,1015.6
2016-12-27,19.4,29.2,2,,,ENE,30,16:50,26.9,75,,SSE,13,1016.5,27.4,69,,E,17,1014.4
2016-12-28,22.6,28.9,0,,,N,31,23:17,27.5,62,,ESE,11,1015.6,27.3,65,,E,20,1013.3
2016-12-29,21,29.6,1.2,,,NNE,41,15:42,27.3,78,,NNE,20,1012.5,28.5,70,,NNE,33,1008.5
2016-12-30,22.4,30.2,0,,,NNE,39,14:35,28.3,66,,NNW,20,1008.1,28.7,78,,NNE,33,1005.5
2016-12-31,24.9,30.8,0,,,NNE,41,12:49,29.3,74,,N,20,1006.3,27.8,81,,N,33,1003.1
