Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,22.9,30.9,0,,,NNE,41,12:15,29.6,76,,NNW,22,1006.2,28.6,82,,NNE,31,1004.2
2017-01-2,22.9,29.8,0,,,S,59,20:06,27.1,86,,NNE,19,1008.1,28,80,,NNE,31,1005.2
2017-01-3,21.7,26.2,33.8,,,SSE,57,14:22,22.5,100,,S,33,1012.5,23.2,98,,SSE,43,1012.4
2017-01-4,21.1,28.6,14.6,,,SSE,54,10:57,25.9,76,,SSE,39,1015.8,27.3,76,,SSE,39,1014.4
2017-01-5,21.9,29.9,0,,,SSE,43,08:04,25.3,79,,S,28,1015,28.6,72,,SE,20,1012.4
2017-01-6,21.8,30.3,0,,,SE,46,23:40,27.9,76,,SSE,26,1013.6,28.2,72,,SE,28,1012.3
2017-01-7,21.7,28.9,5,,,SE,61,05:19,25.5,67,,SE,39,1014.9,28.4,59,,SE,33,1012.4
2017-01-8,20.9,29.3,0,,,SE,46,00:20,27.1,57,,ESE,26,1014.4,27.3,62,,ESE,28,1012.3
2017-01-9,19.8,29.5,0,,,ENE,39,15:06,27.7,68,,SE,13,1014.1,25.3,87,,ENE,28,1012
2017-01-10,22.6,30.5,0,,,NNE,43,14:43,29,76,,NNE,19,1014.3,29.1,72,,NNE,37,1011.8
2017-01-11,23.3,30.9,0,,,NNE,41,13:16,27.5,75,,NW,19,1012.9,27.3,82,,NNE,31,1008.9
2017-01-12,23.3,29.4,0,,,SSE,31,08:46,26.4,82,,SSE,19,1012.4,27.1,83,,NNE,9,1008.8
2017-01-13,22.3,30.3,0.8,,,N,33,02:43,25.6,94,,SSE,9,1012.3,28.7,81,,NNE,24,1008.8
2017-01-14,24.6,33,0,,,NNE,39,12:31,30.3,71,,NNW,24,1008,27,87,,N,30,1005
2017-01-15,21.8,27.7,26.8,,,S,48,04:03,24.4,100,,NNW,2,1009.1,27.6,88,,ENE,19,1008.9
2017-01-16,21.2,28.4,5.4,,,SE,20,09:00,25.6,87,,SE,17,1015.6,27.7,83,,ESE,17,1014.2
2017-01-17,22.6,29.4,0,,,E,26,08:36,24.4,99,,ENE,19,1017.3,28.7,78,,NNE,19,1014.4
2017-01-18,22.9,33.4,0,,,NNW,41,18:50,28.7,59,,NW,26,1012.9,27.8,76,,N,31,1007.9
2017-01-19,23.8,29,0,,,S,54,01:18,27.5,72,,SSE,35,1011.1,26.9,74,,SSE,37,1009.8
2017-01-20,22.8,30.1,0.6,,,NNE,46,16:39,24.3,100,, ,Calm,1009.2,29.4,78,,NNE,33,1003.2
2017-01-21,24.2,29.2,7.8,,,SSE,54,17:18,28.5,84,,W,9,1006.8,24.5,97,,SSE,39,1008.9
2017-01-22,21.5,28.5,,,,,,,24.6,76,,S,22,1016.5,27.6,60,,SE,31,1015
2017-01-23,22.5,29.5,0,,,SE,37,00:11,24.9,64,,SSE,17,1017.1,27.9,50,,ENE,11,1014.9
2017-01-24,20,31.9,0,,,,,,27.5,48,,NW,22,1016.4,28.4,52,,N,33,1012.2
2017-01-25,23.5,29.9,,,,NE,30,10:44,28.6,65,,NNE,17,1016.3,29.1,59,,NE,20,1014.7
2017-01-26,23.1,30.8,0,,,NNE,35,14:44,26.8,67,,NW,9,1014.2,29.1,63,,NNE,30,1011.1
2017-01-27,22.5,29.9,17.2,,,ESE,31,20:27,27.2,83,,SE,13,1014.2,27.3,78,,ESE,13,1013.2
2017-01-28,22.8,29.2,6,,,E,22,15:32,27,91,,S,13,1016.5,28.6,73,,E,17,1015.1
2017-01-29,22.6,29.4,0,,,ENE,28,15:57,27.9,75,,ESE,7,1017.5,28.5,70,,ENE,19,1016.2
2017-01-30,23.5,30.1,1.6,,,NNE,31,01:45,27.5,75,,NE,11,1017,29.5,63,,NNE,24,1014.4
2017-01-31,21.7,31.6,0,,,NNE,44,16:46,27.9,66,,NW,20,1014.9,29.3,66,,NNE,35,1012.4
