Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-10-1,10.9,26.5,0,,,,,,19.9,38,,N,15,1012.7,26,23,,WNW,33,1009.3
2016-10-2,10.9,24.5,,,,ENE,24,12:01,22.4,43,,N,17,1016.5,23.9,50,,NE,13,1012.8
2016-10-3,17.6,25,0,,,N,37,13:03,23.1,69,,N,17,1009.6,21.2,100,,NNW,20,1006
2016-10-4,14.3,25.1,23.2,,,NW,44,11:27,19.2,50,,NW,20,1014,21.8,59,,NNE,30,1010.7
2016-10-5,13,25,0,,,W,30,09:06,23.1,32,,W,19,1016.9,23,56,,E,11,1015.6
2016-10-6,12.3,24.5,0,,,ENE,20,12:25,21,56,,NNE,9,1022.2,23.2,53,,E,15,1019.7
2016-10-7,10.6,25.2,0,,,NNE,20,14:17,20.7,56,,SSE,7,1024.4,24.2,62,,NNE,15,1020.7
2016-10-8,14.2,30.1,0,,,NW,37,11:46,22.4,52,,NW,20,1020.4,23.7,69,,NNE,22,1015.5
2016-10-9,17.1,24.1,0,,,SSE,61,08:26,21.9,71,,SSE,41,1020.9,20.5,65,,SSE,31,1020
2016-10-10,17.1,24.9,0,,,NNE,43,13:40,22.6,53,,N,17,1018.6,22.7,61,,NNE,35,1013.3
2016-10-11,18,25.2,,,,,,,24.8,66,,ESE,15,1010.8,20.9,75,,SSE,39,1010.9
2016-10-12,16.2,24.4,0,,,SSE,31,01:56,22.8,50,,SSE,19,1016.4,21.8,55,,NE,19,1012.8
2016-10-13,16.5,25.4,0,,,SSE,67,18:16,22.9,52,,SSE,26,1014.7,22.2,54,,SSE,52,1014
2016-10-14,15.2,23.7,0,,,S,52,02:14,20.4,51,,SSE,37,1022.6,21.2,51,,SE,39,1020.9
2016-10-15,13.3,24.4,0,,,SSE,33,02:27,23.2,48,,SSE,17,1024.3,21.3,42,,E,19,1021.1
2016-10-16,13.6,25.5,0,,,N,41,18:38,23,51,,NE,11,1021.5,24.1,46,,NNE,33,1017
2016-10-17,17.2,27.3,,,,,,,24.3,54,,N,28,1015,23.6,68,,N,37,1009.1
2016-10-18,9.4,22.6,3.4,,,W,33,00:07,20.7,48,,SE,13,1018.3,22.3,54,,NE,19,1015
2016-10-19,14.4,25.6,0,,,E,24,12:26,21.3,67,,E,9,1018.7,24.5,48,,E,13,1016
2016-10-20,15.4,26.5,0,,,SE,31,10:55,25.1,54,,SSE,20,1021.8,23.8,65,,E,20,1019.7
2016-10-21,20.1,27,0,,,NNE,35,16:57,25.4,52,,NNE,15,1023.3,25.2,55,,NNE,28,1018.9
2016-10-22,18.5,26.4,0,,,N,46,13:33,24,58,,N,26,1016.9,22.5,70,,N,35,1011.8
2016-10-23,17.4,21.9,3.2,,,SSE,54,14:28,18.4,73,,SSE,28,1015.2,19.2,52,,SSE,44,1014.5
2016-10-24,14.3,24,0,,,NE,30,14:03,21.8,55,,SSE,15,1019.2,22.6,52,,NE,24,1015.2
2016-10-25,13.2,25.5,0,,,NNE,41,15:07,23.7,50,,NNW,7,1020,24.3,57,,NNE,35,1016.8
2016-10-26,15.3,27.7,0,,,NNE,48,15:04,24.6,50,,NW,24,1020.2,23.8,64,,NNE,39,1015.9
2016-10-27,16.6,28,0,,,NNE,41,14:21,23.3,52,,NNW,24,1017.7,24.2,64,,N,31,1013.5
2016-10-28,18.6,28,0,,,NNE,35,14:57,25.1,54,,N,17,1017.9,25.1,60,,NNE,30,1014.4
2016-10-29,18.8,27.2,1.8,,,S,37,01:55,23.3,68,,NNE,7,1019.7,25.6,59,,NE,22,1017.2
2016-10-30,17.8,28.2,0,,,NNE,39,15:54,25.2,64,,NNE,11,1020.4,25.3,62,,NNE,30,1015.8
2016-10-31,20.9,27.2,0,,,N,37,16:01,23,68,,NW,20,1013.5,25.6,63,,N,26,1009.6
