Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,10,19,0,,,SW,35,11:13,13.8,79,,W,9,1021,17.4,48,,S,13,1022.3
2017-04-2,11.7,18.2,0.4,,,,,,14.6,64,,SE,9,1029.6,17.3,49,,SSE,13,1028.7
2017-04-3,8.2,21.5,0,,,SSE,20,00:44,12.5,64,,NNE,9,1031.7,20.2,47,,SSW,11,1028.4
2017-04-4,10,24.4,0,,,SSW,20,14:27,14.7,70,,NNE,7,1030.8,24.2,34,,S,11,1026.8
2017-04-5,11,25.4,0,,,NNW,28,09:51,16,62,,NNE,11,1026.3,25.1,33,,N,2,1021.8
2017-04-6,12,26.6,0,,,N,28,11:36,16.5,57,,NNE,11,1023.8,25,29,,NNW,9,1021.1
2017-04-7,12.7,26.2,0,,,N,44,13:07,19.2,46,,NE,9,1024.6,25.7,33,,N,20,1020.2
2017-04-8,18.6,28.1,0,,,N,44,17:53,21.7,46,,N,19,1018.6,27.8,34,,N,22,1012.8
2017-04-9,11.7,15.2,10.6,,,WSW,44,08:38,11.7,79,,W,17,1007.2,12.4,72,,WNW,13,1005.1
2017-04-10,9,17,25.4,,,S,63,06:59,14.9,82,,SSW,26,1015.1,15.5,60,,SSW,15,1018
2017-04-11,12.3,18.5,15.4,,,SSW,37,14:20,17,72,,SSE,13,1024.3,17.6,73,,S,15,1023.7
2017-04-12,10.8,19.3,0,,,SW,22,14:08,15.5,79,,SE,9,1026.5,18.6,64,,SW,9,1023.9
2017-04-13,10.9,22.2,0,,,SSW,20,19:58,14.3,95,,N,7,1024.8,21.8,57,,SSW,6,1021.5
2017-04-14,13,17.9,0,,,SSE,28,16:13,15.2,78,,W,7,1024.9,17.2,65,,SSW,11,1022.8
2017-04-15,11.8,17.3,0,,,SSE,17,12:36,13.4,71,,SW,7,1022.5,16.5,54,,WSW,7,1020
2017-04-16,9.9,22.6,0,,,S,19,14:53,12.3,72,,NNE,9,1020.7,20.7,42,,S,11,1018.5
2017-04-17,11.1,18.3,0,,,S,22,14:29,14,80,,NE,7,1023.6,17.4,70,,SSW,11,1021.9
2017-04-18,9.5,20.4,0,,,SSW,20,16:33,14,92,,NE,4,1026.9,19.7,70,,SSW,9,1025.6
2017-04-19,13,26.9,0,,,NNW,31,13:48,14.6,96,,NNE,7,1028.2,26.2,40,,N,17,1024.1
2017-04-20,14.6,26.5,0,,,NNW,43,10:56,21.7,49,,N,11,1026.1,25.2,37,,NNE,19,1022.2
2017-04-21,16.5,20.9,9.4,,,NNW,43,14:14,17.1,94,,NNE,11,1020.8,18.5,76,,N,17,1019.8
2017-04-22,16.9,22.5,4.6,,,N,31,07:10,18.3,77,,N,13,1023.5,21.9,63,,N,15,1021.2
2017-04-23,14.4,21.8,0,,,SSW,22,16:35,18.1,78,,NNE,2,1024.8,21,62,,SSW,9,1021.9
2017-04-24,15.9,24.7,0,,,N,28,15:16,16.6,93,,NNE,9,1020.7,24.5,52,,NNE,13,1014.7
2017-04-25,16.2,17.7,21.6,,,NW,30,21:24,16.4,92,,WNW,9,1008.1,17.1,75,,S,6,1006.9
2017-04-26,10.1,14.5,20,,,SSW,59,12:45,13.2,65,,S,20,1009.9,10.5,72,,SW,13,1015
2017-04-27,8.3,15.6,15.4,,,SSE,31,02:32,9.6,83,,NNW,7,1023.1,13.7,63,,SW,11,1022.9
2017-04-28,9.4,19.8,0.4,,,W,26,14:33,15.4,68,,WNW,9,1024,18.9,62,,W,11,1022
2017-04-29,14.9,18.1,0.2,,,S,28,14:31,16,83,,WNW,7,1022.7,16.9,79,,S,11,1022
2017-04-30,13.6,17.8,0,,,NNW,31,17:13,14.3,65,,N,7,1023.4,17.2,55,,NNW,9,1019.7
