Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-08-1,11.2,14.4,2.8,,,N,39,05:35,12.5,89,,N,15,1010.8,13.5,80,,N,19,1009.3
2016-08-2,8.5,13.4,14.4,,,S,44,02:41,11.1,65,,S,15,1020.8,12.7,65,,SSW,17,1021.2
2016-08-3,8.7,12.8,2.8,,,S,28,11:59,10.4,92,,SW,9,1026.3,11,88,,SSW,9,1026.6
2016-08-4,4.9,14.6,0.8,,,SE,26,16:21,8.2,93,,NNE,7,1031.1,13.5,52,,ESE,13,1029.5
2016-08-5,3.4,14.6,0,,,SSW,20,15:02,6.1,88,,NE,7,1032.5,12.5,53,,SSW,9,1030.2
2016-08-6,5.8,14.4,0,,,NE,17,19:52,7.6,79,,NE,6,1029.7,13.5,51,,SSE,6,1026.6
2016-08-7,7.6,16.6,0,,,SW,19,15:27,10.1,71,,NE,7,1027.5,15.6,34,,S,7,1024.8
2016-08-8,5,14.2,0,,,N,46,14:31,9.7,67,,N,9,1024.4,13.7,50,,N,28,1020.3
2016-08-9,9.7,18.9,0,,,N,63,11:43,13.8,59,,N,20,1014.5,17.2,45,,N,31,1008
2016-08-10,9.6,15.3,0,,,NNW,52,15:17,11.3,61,,NNW,22,1010.8,14.9,46,,NNW,33,1008.7
2016-08-11,6.8,15.7,8.2,,,NW,35,13:09,9.7,69,,N,11,1018.7,14,44,,WNW,9,1019.3
2016-08-12,7.7,14.1,0,,,NNW,46,13:49,9.6,70,,N,19,1021.1,13.1,60,,N,22,1017.1
2016-08-13,7.9,15.1,1.6,,,N,35,14:07,10.5,78,,NNW,17,1021.6,13.8,56,,NNW,19,1020.3
2016-08-14,8.5,18.7,0.2,,,NNW,26,12:58,11.3,79,,NNE,9,1027.7,16.6,48,,W,9,1026.3
2016-08-15,10.2,18.1,0,,,N,41,15:22,12.4,72,,N,13,1031.2,17.5,54,,N,20,1027.6
2016-08-16,10,18.2,0,,,N,50,11:03,14,66,,N,15,1025.9,17.7,49,,N,24,1021.5
2016-08-17,12.5,15.6,0.4,,,N,41,00:06,13.6,77,,WSW,6,1022.7,14.2,62,,SSW,15,1022.7
2016-08-18,7.1,21.6,0,,,N,50,11:59,15.3,65,,N,13,1018,20.8,43,,N,28,1013.1
2016-08-19,15.3,16.4,0.2,,,N,59,06:31,16.3,55,,N,26,1005.9,10.3,85,,NNW,11,1007
2016-08-20,6.9,13.6,9.4,,,NNW,43,13:26,9.6,65,,NNW,13,1011.9,12.8,55,,NW,26,1012.1
2016-08-21,9.5,14.8,1.2,,,NNW,33,12:01,11.6,80,,N,11,1015.8,13.9,72,,NNW,9,1012.8
2016-08-22,7.8,16,5.6,,,SSW,35,12:55,11.1,83,,N,7,1014.4,10.5,89,,NNW,6,1012.8
2016-08-23,7,13.4,11,,,SSW,24,11:48,11.1,83,, ,Calm,1018,12.7,63,,SW,13,1016.9
2016-08-24,3.7,12.7,0,,,S,26,15:57,6.6,93,,NNE,9,1016.6,11.4,77,,SSW,15,1013.5
2016-08-25,6.5,13,1.2,,,SSW,35,11:46,8.1,85,,W,13,1015.2,12.2,63,,SSW,13,1015.7
2016-08-26,7.2,14.4,0.6,,,SW,24,11:50,9.9,74,,NW,9,1022.1,13.6,46,,W,11,1020.5
2016-08-27,9.3,16.3,0,,,NNW,46,13:55,11.6,57,,N,15,1022.3,15.3,46,,N,20,1018.4
2016-08-28,10.5,19,0,,,NNE,33,14:06,12.1,57,,N,9,1020.6,18.5,41,,SSW,9,1019
2016-08-29,8.7,20.4,0,,,N,41,16:37,13.7,60,,NNE,9,1025,19.3,37,,NNE,19,1021.5
2016-08-30,10.2,16.8,0,,,N,50,15:26,14.8,56,,NNE,9,1020,16.7,53,,NNE,19,1015.2
2016-08-31,12.8,20.2,0.8,,,N,35,00:06,16.3,74,,NNW,11,1013.6,18.9,47,,W,9,1012.6
