Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,14.3,20.6,0,,,S,22,14:30,17.1,59,,SE,11,1015.3,19.1,52,,SSW,7,1012.9
2017-02-2,14.2,24.1,0,,,S,37,17:40,17.4,62,,W,7,1016.7,23.3,39,,SSW,13,1015.3
2017-02-3,15.4,27.6,0,,,SSW,24,18:55,18.1,65,,NW,9,1016.4,25.2,43,,SSW,13,1013.7
2017-02-4,14.6,35.9,0,,,N,43,16:09,18.8,72,,NE,6,1012.2,34.4,16,,NNW,17,1007.1
2017-02-5,18.5,30.7,0,,,N,44,16:06,24.2,61,,NNE,13,1007.2,30.2,53,,N,19,1004.2
2017-02-6,15.1,18,32.4,,,SSW,30,02:42,15.7,84,,SSE,11,1016.3,17.5,57,,SSE,13,1017.2
2017-02-7,15.4,27.6,0,,,SE,31,09:44,17.6,56,,SSE,15,1021.7,26.3,45,,SE,11,1018.5
2017-02-8,16.5,36,0,,,N,48,14:25,20.5,70,,NE,6,1019.1,34.3,33,,N,20,1013.8
2017-02-9,20.3,36,0,,,N,54,06:16,28.7,52,,N,20,1009.8,24.3,75,,SW,15,1008.9
2017-02-10,18.7,27.1,0,,,SSW,24,15:28,19.6,84,,SSW,2,1012.2,26.4,62,,SSW,11,1009.4
2017-02-11,18.5,24.6,0,,,S,33,16:11,20.5,77,,SW,9,1009.4,23.6,56,,S,9,1008.3
2017-02-12,15.1,19.9,2,,,SW,41,13:37,15.3,69,,W,11,1008,18.6,43,,SSW,19,1009
2017-02-13,14,21,0,,,S,41,13:42,15.5,75,,W,13,1012.3,19.8,64,,SSW,17,1013.3
2017-02-14,14.5,19.5,0.6,,,S,31,05:40,16.2,73,,SSE,7,1019.2,18.4,55,,S,15,1019.4
2017-02-15,10,31.5,0,,,N,48,12:09,14.9,70,,NNE,9,1013.4,29.4,25,,NNW,26,1007.9
2017-02-16,14.9,23.6,0,,,SSW,37,16:09,17.5,81,,S,9,1011.6,21.9,63,,SSW,13,1008.4
2017-02-17,13.7,25.5,0,,,S,35,18:33,17.6,68,,W,7,1009.8,21.9,45,,S,11,1008.7
2017-02-18,13.3,18.9,0,,,SSW,33,13:41,14.8,60,,WNW,9,1010.9,17.5,59,,SSE,13,1011.2
2017-02-19,11.7,17.3,0,,,NW,44,14:04,13.7,63,,NNW,11,1010.1,16.4,48,,W,11,1008.1
2017-02-20,11.6,20.3,3.6,,,SSW,39,16:17,14.2,70,,W,13,1012.7,19.2,47,,S,13,1013.3
2017-02-21,10.1,24,0.2,,,ESE,26,19:43,14.5,65,,NE,6,1021.6,21.5,45,,SSW,13,1019.4
2017-02-22,12.8,33.3,0,,,N,52,11:57,17.2,55,,NNE,11,1015.5,31.1,24,,N,22,1010.4
2017-02-23,15.9,25,0,,,SW,30,08:47,20,60,,WSW,11,1017.1,22.8,52,,S,13,1018.1
2017-02-24,15.8,20,1.4,,,S,39,13:00,17,66,,S,9,1024.4,18.7,53,,S,15,1025.1
2017-02-25,13.7,19.4,0,,,SSW,35,11:48,15.9,58,,SE,15,1025.2,18.2,52,,SSW,15,1022.3
2017-02-26,13.2,29.8,0,,,SSE,30,16:45,15.9,80,,NNE,6,1021.8,26.9,49,,SSW,11,1019.1
2017-02-27,15.6,33.1,0,,,NNE,33,09:36,20.6,61,,NNE,9,1022.8,31.5,27,,NE,9,1020.3
2017-02-28,17.3,33.6,0,,,NNW,31,09:32,21.9,57,,NNE,11,1021.8,32.8,24,,SSW,13,1019.7
