Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,16.8,21.1,0,,,SW,31,21:51,19.8,69,,ENE,7,1005.6,20,74,,SSW,11,1007.8
2017-01-2,14.8,17.8,0.4,,,SSW,39,12:59,15.3,83,,W,9,1016.9,16.3,73,,S,19,1018.9
2017-01-3,14.6,19.5,0.4,,,SSW,35,16:19,16.1,69,,SE,9,1022.2,18.6,61,,SSW,15,1020
2017-01-4,13.3,29.3,0,,,SSW,30,13:37,18.7,72,,NW,6,1019,26.7,60,,SSW,11,1015.4
2017-01-5,18.5,31.7,0,,,N,33,09:17,24.9,51,,NNW,19,1016.8,30.8,39,,SW,9,1013.5
2017-01-6,18.3,35.2,0,,,ESE,24,14:35,22.1,76,,NE,4,1016.2,33.8,33,,SSW,11,1013
2017-01-7,20.9,36.7,0,,,N,39,10:28,28.6,43,,N,17,1012.7,35.9,24,,N,13,1008.3
2017-01-8,28,33.1,0,,,N,39,08:33,30,32,,N,20,1005,22.3,66,,SSW,20,1007.4
2017-01-9,18.5,24.4,0,,,SSW,22,19:28,21.5,60,,S,6,1012.3,21.6,62,,SSW,9,1011.4
2017-01-10,17.7,26.2,0,,,S,39,15:47,19.5,73,,N,6,1012.6,25.7,54,,SW,13,1008.4
2017-01-11,16.6,24.3,0,,,SSW,31,15:29,18.7,62,,SW,11,1011.8,23.4,48,,S,11,1010.7
2017-01-12,14.9,26.5,0,,,SSW,26,16:12,17.9,67,,SSW,7,1013.5,24.2,52,,SSW,9,1009.9
2017-01-13,17.5,28.8,1.4,,,WNW,43,12:21,20,88,, ,Calm,998.4,25,65,,NNW,17,997.9
2017-01-14,15.2,23.5,2.6,,,W,44,09:15,18.4,57,,W,9,1008.3,22.2,48,,SW,13,1010.8
2017-01-15,15.2,21.5,0,,,SSW,30,17:20,16.5,57,,SSW,9,1018.8,20.7,47,,S,9,1018.2
2017-01-16,12.2,32.7,0,,,SSW,19,13:32,16.5,70,,N,9,1016.3,30.6,35,,SSW,7,1011.4
2017-01-17,16.4,37.8,0,,,NNW,37,10:40,25.4,54,,S,11,1009.5,34.5,19,,S,7,1006.2
2017-01-18,15.6,20.8,0,,,SSW,41,14:25,17.9,56,,SSW,17,1013.7,19.4,50,,S,20,1015.6
2017-01-19,11,23.4,0,,,S,26,10:42,16.3,55,,SE,13,1014.3,21,50,,S,11,1009.5
2017-01-20,16.1,20.8,22.6,,,S,52,14:26,18.7,89,,NW,11,995.2,20.5,55,,SW,19,1002
2017-01-21,15.3,22.6,0.6,,,S,30,23:51,16.2,72,,WSW,7,1014.9,20.1,53,,SSW,13,1015.6
2017-01-22,12.7,29.6,0,,,SSW,24,16:05,17.8,67,,SSE,2,1016.6,25.9,53,,S,11,1012.5
2017-01-23,17.8,36.7,0,,,N,52,13:51,25,55,,NNE,9,1006.2,32.6,26,,N,26,1002.9
2017-01-24,19.1,22,0.6,,,S,39,03:12,19.4,65,,WSW,13,1012.6,20.7,51,,S,20,1016.3
2017-01-25,13.5,21.1,0,,,S,35,15:06,17,54,,SSE,13,1021.1,20.1,55,,SSW,17,1018.7
2017-01-26,16.4,21.2,0,,,SSW,31,15:03,17.2,75,,SSW,11,1019.4,19.5,65,,S,19,1018.8
2017-01-27,17,23.6,0,,,SSW,31,16:03,18.1,59,,SE,11,1017.6,21.5,61,,S,13,1014.8
2017-01-28,15,29.2,0,,,S,43,11:27,20.1,69,,N,9,1013.3,23,65,,SSW,13,1014.3
2017-01-29,15.1,27,0,,,SSW,30,16:03,19.2,67,,SSE,7,1017.4,23.2,63,,SSW,15,1014.4
2017-01-30,17.8,30,0,,,S,39,17:13,26.9,34,,N,17,1004.7,29,32,,NNW,9,1005.6
2017-01-31,16.5,22.1,3,,,SSW,33,15:55,17.4,55,,WSW,13,1014.2,21.2,46,,SSW,15,1014.2
