Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,7.9,13.9,0.4,,,SSW,20,11:25,10.5,82,,S,6,1037.5,13.6,57,,SSW,9,1035.8
2017-06-2,8,14.7,0,,,SSW,20,11:46,10.6,64,,W,4,1037.2,13.3,69,,SSW,9,1034.9
2017-06-3,9.9,14.3,0,,,SSW,19,14:45,10.8,76,,N,6,1034.1,13.1,73,,SSW,11,1031.3
2017-06-4,4.4,15.8,0,,,NE,13,01:04,5.7,100,,NE,9,1029.8,15.5,53,,NE,2,1026
2017-06-5,5.6,17.5,0,,,NW,28,17:27,8.7,82,,NNE,9,1025.5,16.8,57,,W,6,1021.7
2017-06-6,8.7,13.9,6.4,,,SSW,43,10:48,11.8,78,,SSE,11,1025.8,12.6,68,,SSE,13,1027
2017-06-7,5.9,14.3,0,,,SE,28,13:34,8.3,91,,SSE,2,1030.2,14,54,,SSE,13,1027.9
2017-06-8,3.6,15,0,,,SSW,30,15:06,6.6,86,,NE,7,1028.9,14,56,,WSW,9,1026.9
2017-06-9,6.6,15,1.8,,,S,22,11:01,11,98,,S,2,1032.9,13.9,66,,SSW,9,1032.5
2017-06-10,7,15.8,0,,,SSW,17,16:18,7.5,100,,NNE,9,1035,14,68,,SSW,7,1032
2017-06-11,3.4,15.5,0.2,,,SSW,22,12:34,6.1,96,,NE,11,1029.1,13.6,67,,WSW,6,1025.5
2017-06-12,6,15.9,0,,,SSW,19,13:16,10,85,,N,6,1026.8,15,77,,SSW,7,1025.6
2017-06-13,8.8,15.1,0,,,WSW,20,00:04,10.7,88,,W,4,1032,13.4,67,,SW,9,1030
2017-06-14,4,17.4,0,,,N,28,13:15,7.8,97,,SSE,2,1030.1,16.7,56,,NNW,11,1027.3
2017-06-15,7.7,19,0,,,N,20,15:47,9.8,87,,NNE,9,1027.7,17.4,53,,N,11,1024.8
2017-06-16,6.6,17.1,0,,,NNE,15,08:59,8.4,86,,NNE,9,1026.4,15.9,65,,S,6,1023.8
2017-06-17,4.2,15.5,0,,,NE,15,07:32,5.4,95,,NNE,9,1026.3,14.9,66,,S,6,1024.6
2017-06-18,5.4,16.3,0,,,SSW,19,13:06,8.9,91,,NE,2,1029.9,15,70,,SSW,6,1028.8
2017-06-19,7.1,16.1,0,,,NNE,17,07:32,8.6,86,,NNE,11,1032.5,15.5,58,,WNW,4,1029.7
2017-06-20,6.4,15.8,0,,,N,39,13:12,7.9,84,,NNE,11,1028.1,15.6,56,,N,17,1024.5
2017-06-21,7.8,13.5,0.6,,,NNW,24,00:09,11.2,100,,W,2,1028.8,12.7,80,,S,9,1028.4
2017-06-22,6.7,14.1,0.2,,,N,24,14:32,7.5,93,,NNE,9,1028.2,13.5,56,,N,11,1024.8
2017-06-23,7.4,14.9,0,,,NNW,44,13:33,9.1,77,,N,17,1018.8,12.5,63,,N,19,1013.8
2017-06-24,8.3,12.3,1.4,,,SW,30,01:36,9.6,75,,WNW,11,1018.7,11.2,63,,S,2,1017.4
2017-06-25,8.6,14.3,0,,,NW,35,12:08,9.3,67,,N,13,1017.4,13.4,56,,NNW,17,1015
2017-06-26,8.8,12.6,1.4,,,WNW,20,11:58,10,80,,W,7,1023.3,12.1,74,,SW,7,1024.1
2017-06-27,6,12.1,0,,,N,24,15:04,7,87,,NNE,9,1026,11,69,,N,15,1024
2017-06-28,6.8,14.1,0,,,NNE,20,01:59,9.3,75,,NE,9,1023.9,13.9,65,,N,9,1021.9
2017-06-29,9.2,13.7,0,,,WSW,31,12:34,10.8,74,,NNW,7,1022.4,12.7,59,,W,13,1021.1
2017-06-30,7.1,12.3,4.4,,,S,20,11:31,8.5,76,,WNW,7,1030.6,12,56,,SSW,9,1030
