Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,16.6,30.5,0,,,SSW,26,14:36,20.5,58,,NNE,6,1021.3,30.1,29,,SSW,9,1019.1
2017-03-2,17.7,23.3,0,,,SSW,31,14:55,19.4,82,, ,Calm,1019.3,21.7,76,,SSW,15,1019.4
2017-03-3,18.1,28.6,0,,,SSW,43,14:08,18.8,87,,S,7,1022.7,23.6,76,,SW,15,1019.7
2017-03-4,16.1,27.4,0,,,SSW,24,15:58,19.9,81,,N,4,1018.1,27.2,49,,SSW,11,1014.5
2017-03-5,17.6,25.4,0.2,,,S,35,14:50,19.9,94,, ,Calm,1015.3,24.5,63,,SSW,15,1014.6
2017-03-6,17.7,27.4,0,,,SE,46,15:37,19.6,69,,SSE,13,1017.1,26.4,38,,SE,19,1015.4
2017-03-7,15,28.2,0,,,SSE,33,16:07,18.1,60,,ENE,4,1019.5,26.1,37,,SW,7,1016.9
2017-03-8,14.2,31.5,0,,,NE,28,12:03,16.6,72,,NNE,9,1018.8,30.5,28,,ENE,7,1015.4
2017-03-9,15,32.3,0,,,N,33,09:05,19.3,53,,NNE,13,1017.1,31.3,24,,S,11,1014.8
2017-03-10,18.5,23.8,0,,,SSW,30,16:28,19.2,74,,WSW,9,1017.2,21.6,71,,SSW,17,1016
2017-03-11,18,26.4,0,,,SSW,37,15:01,18.6,80,,NNE,6,1013,25.5,61,,SW,9,1008.7
2017-03-12,17.9,27.1,0,,,SSW,37,02:18,19.6,77,, ,Calm,1001,25.9,53,,SSW,15,1000.5
2017-03-13,15.7,24.3,0.2,,,SSW,39,15:24,18.9,66,,NE,2,1013.3,22.4,73,,SSW,17,1013.8
2017-03-14,18.8,32.7,0,,,SE,30,15:52,20.8,78,,NNE,9,1018.7,31.5,38,,SSW,7,1016
2017-03-15,20.8,33.2,0,,,NNW,52,09:36,24.4,50,,N,19,1016.3,32.1,34,,NNE,19,1011.5
2017-03-16,21.7,23,1.8,,,N,44,05:11,21.8,77,,N,19,1008.9,21.4,60,,SW,9,1012
2017-03-17,15.8,22.1,0,,,SSW,37,13:10,16.8,56,,SE,11,1024,21,49,,SSW,19,1023.7
2017-03-18,12.4,30.8,0,,,ESE,22,16:17,14.5,79,,NNE,6,1025.4,27.4,44,,SSW,9,1022.6
2017-03-19,14.5,33.5,0,,,NNE,26,11:33,19.3,61,,NE,7,1020,31.8,31,,SSW,9,1015.4
2017-03-20,19.3,28,0,,,SSW,31,15:06,22.5,72,,NNE,9,1015.9,26.6,72,,SSW,15,1014
2017-03-21,19.9,26.1,4.4,,,NE,28,16:01,20.9,98,, ,Calm,1013,24.3,93,,NNE,11,1010.1
2017-03-22,17.8,21.8,9.2,,,SSE,44,14:21,18,100,,S,13,1016,20.4,76,,SSE,15,1016.2
2017-03-23,16.2,25.1,0,,,SE,35,10:02,17.9,76,,SE,15,1020.2,24.2,50,,SE,17,1018.3
2017-03-24,13.9,24.7,0,,,SE,24,23:02,15.3,85,,NE,7,1019.8,22.9,60,,SSW,9,1016.2
2017-03-25,15.3,29.7,0,,,N,35,09:11,21.9,64,,N,20,1012.5,29.2,47,,N,13,1010.2
2017-03-26,19.3,26.7,0,,,SSW,22,15:20,20.1,74,,SE,7,1014.9,23.8,66,,SSW,11,1012.4
2017-03-27,19.3,31.9,0,,,NNW,69,11:13,26.7,49,,NNE,13,1005,18.6,76,,WSW,17,1009.7
2017-03-28,11.9,24.3,4.2,,,NNW,28,13:18,14,77,,NE,9,1015.1,22.6,43,,SW,7,1012
2017-03-29,13.9,27.2,0.2,,,SSW,54,18:14,18.8,55,,N,19,1009.2,26.3,36,,NNW,22,1004.6
2017-03-30,10.2,17.9,3.4,,,SSW,43,13:34,12.3,72,,SW,9,1016.7,17.3,48,,S,20,1017.7
2017-03-31,10.1,17.9,2.8,,,S,26,11:49,12.9,70,,WSW,7,1022.4,17,47,,SSW,11,1020.2
