Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-11-1,9.4,18.4,0.4,,,NNW,35,10:09,13.8,53,,NW,11,1012,17.8,45,,WSW,11,1009.8
2016-11-2,9.7,18.5,0.4,,,WNW,30,08:41,13.7,60,,WSW,11,1016,16.4,51,,NW,7,1016.3
2016-11-3,10,19.1,0,,,SSW,26,15:28,14.2,57,,WSW,11,1019.8,17.6,49,,SSW,15,1017.1
2016-11-4,10.2,29.2,0,,,WSW,59,19:57,19,50,,N,20,1011,28.3,23,,NNW,24,1004.2
2016-11-5,10,16.8,0,,,WSW,44,09:36,11.5,60,,WSW,17,1011.4,15.6,44,,WSW,17,1012
2016-11-6,11.5,21.4,0,,,WSW,35,04:03,14.8,57,,SW,20,1011.7,19,45,,S,9,1010
2016-11-7,14.6,25.9,0,,,N,59,08:06,19.6,47,,N,30,1002.7,16.8,61,,WNW,13,1003.5
2016-11-8,11,18.2,0.2,,,SSW,30,12:18,13.4,53,,SW,11,1011.7,16.6,42,,SSW,17,1011.2
2016-11-9,9.2,17.4,0,,,SSW,33,13:45,15,67,,S,13,1014.1,16.6,62,,SSW,19,1011.7
2016-11-10,11.9,17.5,0,,,SW,28,12:41,14.2,67,,SSE,7,1012.2,16.7,59,,SSW,15,1012.4
2016-11-11,8.4,23.8,0,,,S,30,13:53,14.6,61,,SSE,7,1013,18.5,62,,SSW,17,1008.3
2016-11-12,13.2,25.5,2,,,NNW,50,13:21,18.8,79,,NNE,7,997.1,23.7,36,,WNW,20,995.7
2016-11-13,11.7,19,2,,,S,50,16:05,13.4,69,,N,17,993.5,18.4,60,,NNW,4,992.8
2016-11-14,11.5,15.9,8.6,,,S,48,09:18,12.6,77,,SSW,19,1010.4,14.6,57,,SSW,20,1013.4
2016-11-15,11,19.2,0,,,WSW,24,08:12,14.7,65,,SSW,7,1019.6,18,57,,WSW,9,1019.1
2016-11-16,11.9,21.6,0,,,S,26,16:07,14.1,81,,S,4,1024.5,18.5,62,,S,13,1022.7
2016-11-17,12,31.4,0,,,N,54,10:41,21.5,61,,NNE,13,1018.8,30.1,27,,NNW,24,1014.8
2016-11-18,15.3,18.9,0,,,SW,33,23:56,16.6,74,,SSE,11,1016.8,16.6,72,,SSW,15,1017
2016-11-19,11.7,19.4,0,,,SSW,30,17:24,15.2,71,,S,6,1020.7,18.8,58,,SSW,15,1019.1
2016-11-20,11.9,33.3,0,,,N,33,22:33,18.2,65,,E,2,1017.8,25.4,56,,SSW,6,1013.4
2016-11-21,17.9,35,0,,,N,56,13:15,26.7,45,,N,20,1009.8,33,31,,N,24,1005.5
2016-11-22,14.5,14.9,8.6,,,WSW,22,23:50,14.5,96,,S,9,1015,13.8,89,,SSW,9,1016.4
2016-11-23,11,16.8,5.4,,,SSW,39,16:09,13.7,78,,WSW,6,1015.3,11.4,79,,SSE,15,1016.4
2016-11-24,10.3,17,2.2,,,SSE,35,13:28,12.9,85,,W,13,1018.9,15.7,62,,SSE,15,1017.4
2016-11-25,10.9,17.9,0.8,,,SSW,39,08:37,14.3,61,,SW,11,1018.3,15.3,59,,S,15,1019.5
2016-11-26,12.2,17.4,0,,,SSW,33,17:01,14.4,64,,SSW,9,1021.3,16.3,62,,S,17,1020.7
2016-11-27,11.6,16.3,0.4,,,SSW,26,09:43,12.2,94,, ,Calm,1020.6,15.8,72,,SSW,11,1018.4
2016-11-28,12.2,19.6,0.2,,,SW,26,15:34,14.6,77,,SSE,4,1016.1,18.6,53,,SSW,13,1014.2
2016-11-29,10.4,20,0.2,,,S,33,14:58,15.7,66,,SSE,7,1013.4,18.4,65,,SSW,17,1011.8
2016-11-30,13.3,18.9,0,,,SSW,28,14:40,14.6,87,,S,11,1009.9,17.4,73,,SSW,11,1009.3
