Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-09-1,11.6,15.5,0,,,SSW,20,13:34,13.4,77,,W,6,1018.5,13.9,69,,SSW,9,1015.5
2016-09-2,9.6,15,0.4,,,SSE,30,22:15,12,82,,ESE,9,1014.3,13.8,73,,S,13,1007.9
2016-09-3,10,15.7,0.2,,,SSW,37,05:13,11.2,73,,W,9,1008,14,54,,SSE,7,1008.9
2016-09-4,10.1,16.9,0.2,,,NW,28,09:55,12.9,62,,NW,13,1022.7,15.9,56,,WNW,9,1023.8
2016-09-5,12.8,18.4,0,,,N,24,10:35,14.5,65,,NW,11,1029.7,17.2,56,,SSE,2,1027.7
2016-09-6,9.2,21.5,0,,,S,26,14:52,13.3,75,,NNE,9,1029.7,19.5,50,,SSW,13,1027.2
2016-09-7,9.6,21,0,,,NNW,43,13:14,13.1,83,,NNE,11,1029.7,20.5,45,,N,24,1025.1
2016-09-8,13.1,23.3,0,,,N,56,13:08,19.3,56,,N,26,1021.5,22.3,45,,N,30,1016.3
2016-09-9,16,16.7,0.6,,,NNE,44,00:44,16.4,82,,N,20,1009.7,16,89,,N,7,1008.2
2016-09-10,11.5,14.3,9.4,,,SSW,37,06:45,12,81,,WSW,11,1016.4,13.8,67,,SSW,11,1016.8
2016-09-11,7.3,17,1.2,,,N,28,10:50,12.5,69,,NW,13,1019.5,15.5,57,,NNW,15,1016.8
2016-09-12,9.9,13.6,1.6,,,SSE,22,19:31,10.4,93,,N,9,1021.8,12.5,80,,SSW,9,1020.5
2016-09-13,9.6,14.6,9,,,SSE,20,01:23,10.6,97,,NNE,9,1020.1,12.6,96,,ESE,9,1015.5
2016-09-14,10.5,16.1,20.6,,,N,44,13:21,12.6,93,,NE,9,1005.3,14.4,56,,N,26,1004
2016-09-15,8.7,14.6,2,,,WSW,37,14:01,12,79,,NW,11,1006.7,12,98,,WSW,7,1009.2
2016-09-16,9,15.7,13.4,,,NW,33,16:14,11.1,63,,WSW,9,1018,15.3,48,,NNW,9,1016.4
2016-09-17,11.1,19.8,0,,,N,43,09:16,14.6,60,,N,20,1018.2,18.9,50,,N,22,1013.9
2016-09-18,10.8,12.5,0.4,,,N,33,02:24,11,79,,WSW,7,1012.2,11.3,74,,S,11,1010.3
2016-09-19,8.5,16.3,0.2,,,S,26,11:53,11.3,69,,W,9,1014,15.4,48,,S,6,1011.5
2016-09-20,9.1,18.8,0,,,NNW,48,11:09,14.6,51,,N,20,1015,17.9,45,,N,22,1012.4
2016-09-21,10.9,15.2,1.2,,,SSW,35,23:47,11.8,95,,WSW,4,1010.6,14.8,79,,SSW,11,1008.5
2016-09-22,9.6,13.4,1.2,,,S,44,00:56,10,87,,W,13,1017.3,13,66,,S,15,1017.1
2016-09-23,9.8,16.5,0.6,,,S,20,14:09,12.5,72,,ESE,7,1017.2,15.7,65,,SW,9,1012.3
2016-09-24,10,20.1,0,,,N,54,13:49,15.3,66,,N,19,1009.7,19.4,43,,N,28,1005.7
2016-09-25,9.5,14.7,5.8,,,SSW,31,11:59,11.7,63,,W,13,1011.4,13.8,60,,S,9,1011.9
2016-09-26,8.1,16.9,0.6,,,NNW,31,15:02,13.5,64,,NW,11,1012.9,15,52,,W,13,1009.5
2016-09-27,7.4,14.8,12.6,,,WSW,33,13:12,11.6,69,,WNW,11,1011.7,14,76,,SSW,11,1011.8
2016-09-28,7.5,19.3,2.2,,,NNE,43,23:23,13.6,68,,N,17,1012.2,17.9,47,,NNE,24,1003.6
2016-09-29,12.5,16.7,1.8,,,N,48,12:09,12.6,74,,NNW,17,989.5,15.3,43,,N,20,988.3
2016-09-30,9.3,16.4,2,,,NNW,24,08:21,11.9,68,,NNW,13,991.8,15.6,53,,SSW,9,993.1
