Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-04-1,14.9,30.1,0,8.2,10.8,NE,33,11:55,20.3,51,0,E,11,1023.9,29.5,25,0,ENE,7,1020.3
2017-04-2,17.4,31.6,0,8,10.9,NE,35,08:56,23.5,34,0,NE,17,1021.4,30.7,20,0,SE,9,1018.6
2017-04-3,12.1,31.8,0,6.8,10.8,SSW,33,15:14,23.1,39,0,SSE,6,1022.7,29.3,34,0,SSW,19,1020.8
2017-04-4,15.4,30.4,0,7,10.7,E,28,03:01,19.8,64,0,ESE,11,1024.9,29.7,29,0,S,9,1020.3
2017-04-5,12.3,30.4,0,5.2,10.6,S,19,13:10,21.7,55,0,NE,6,1018.2,27.7,37,0,WSW,11,1013.5
2017-04-6,13.7,24.4,0,5.2,8.1,SW,43,16:16,17.1,94,7,NE,2,1013.1,22.8,63,3,SSW,20,1011.7
2017-04-7,14.8,22.3,0,5.4,8.9,SSE,35,06:26,16.4,56,5,SSE,17,1023.6,21.3,33,3,SSE,4,1021.6
2017-04-8,8.7,23.6,0,5,10.5,SW,33,15:41,16,58,0,SE,7,1027.6,22.1,44,0,SW,17,1024.5
2017-04-9,11.1,27.4,0,4.8,10.4,ESE,24,10:30,18.1,56,0,ENE,13,1027.4,26.8,26,0,NE,9,1023.1
2017-04-10,10,30.1,0,5.6,10.4,SSW,24,16:38,19.3,51,4,E,9,1022.7,30,20,1,E,6,1018.4
2017-04-11,13.1,28.1,0,6.6,10.5,SW,28,15:02,21.8,38,0,NE,9,1016.6,26.6,35,0,SW,13,1015.7
2017-04-12,10.6,23.8,0,5.2,9.7,SW,35,16:19,17.4,69,6,ENE,9,1021.5,23,52,1,SW,15,1019.9
2017-04-13,12.9,26.8,0,4.2,10.4,SSW,31,15:56,19.9,64,1,ESE,11,1024.3,25.5,49,1,SW,15,1020.1
2017-04-14,12.8,29,0,5.8,6.2,SW,22,15:43,18.1,73,4,SSE,2,1019.3,27.6,42,5,SSW,11,1015.4
2017-04-15,14.8,29.3,0,4,7.3,SSE,31,22:03,18.5,73,6,S,11,1015.7,28.2,38,7,SE,9,1011.7
2017-04-16,17.2,25.1,0,5.4,7,SSE,35,00:43,18.8,66,4,ESE,11,1014.6,24.4,54,5,SW,11,1011.6
2017-04-17,15.4,21.8,0,5,2.5,SSW,24,07:56,17.8,74,5,S,13,1015.3,21.4,59,8,SSW,11,1013.2
2017-04-18,15.3,25,0,4,8,SSW,31,19:02,19.7,72,6,SSE,9,1013,22.8,63,1,SW,15,1010.4
2017-04-19,14.1,25.6,0,2.4,10.1,WSW,26,14:50,18.5,75,0,SSE,4,1018.4,23.5,52,2,SW,15,1017.5
2017-04-20,11.2,28.6,0,5.6,10.3,SW,26,15:54,19,69,0,S,2,1021.7,26.9,41,2,WSW,15,1018.1
2017-04-21,12.2,28.3,0,4,10,WSW,24,15:18,20.5,60,7, ,Calm,1020.2,26.9,46,6,SW,11,1017.2
2017-04-22,15.3,28.6,0,4.4,10,SSW,26,15:48,22,61,3,ESE,6,1019.7,27.4,45,6,SSW,13,1017.3
2017-04-23,16.5,28.1,0,5.4,10.3,SE,30,17:20,19.8,70,3,ESE,7,1020.8,28.1,40,5,SE,11,1017
2017-04-24,14.6,26,0,6,10.3,SSW,28,16:52,18.6,68,1,ENE,7,1022.4,24.2,47,1,SW,15,1019.2
2017-04-25,13.2,24.2,0,5,10.2,SW,28,17:20,15.8,69,1,SSE,11,1026.8,23.4,45,1,WSW,13,1023.5
2017-04-26,8.3,26.1,0,1.4,8.8,SSW,28,15:02,17.9,58,1,E,6,1027.6,24,44,6,SW,17,1024.2
2017-04-27,12,26.3,0,4.4,10,SW,26,16:38,18.9,51,1,E,7,1027,25,30,1,WSW,11,1023.3
2017-04-28,9.6,26.7,0,4,10,S,33,14:00,18.2,52,1,S,6,1026.2,24.4,37,0,SW,15,1022.8
2017-04-29,8.7,27.6,0,5,10,WSW,22,15:08,18.1,46,0,ENE,6,1024.1,26,28,0,WSW,13,1020.7
2017-04-30,8.7,23.9,0,4.2,9.3,SSW,31,11:43,16.5,65,4, ,Calm,1022.9,23,60,4,SSW,17,1020.6
