Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,13.7,24.3,0,9,10.2,SSW,37,14:39,19.9,58,7,SSE,9,1016.4,22.6,43,7,SW,17,1013.9
2016-12-2,14,27.9,0,7.4,12.8,E,33,06:05,20.7,46,1,NE,9,1012.7,25.9,39,2,WSW,13,1009.1
2016-12-3,15.7,23.4,0,7.8,9.6,W,35,18:01,20.4,55,8,WSW,15,1009.1,21.3,64,7,W,15,1008.8
2016-12-4,14.6,23.6,1.8,6.2,12.2,SW,41,17:42,18.2,42,2,SE,15,1015.3,21.4,41,1,SW,20,1012.9
2016-12-5,12.8,23.8,0,10,12.7,WSW,41,13:11,19.2,55,1,SSE,13,1015.4,21.8,44,0,SSW,22,1014.1
2016-12-6,12.9,24.7,0,11.8,12.7,SW,33,13:08,20.8,55,7,SSW,7,1016.9,23.4,46,1,WSW,17,1014.1
2016-12-7,17.8,24.1,0,8.6,11.3,SW,41,09:10,20.7,64,5,SSW,19,1016.5,23,45,0,SW,19,1015.7
2016-12-8,13.3,30,0,11.4,11.3,ESE,33,06:57,19.7,40,0,ESE,15,1020.1,27,34,0,SSW,17,1015.4
2016-12-9,14.1,35.8,0,8,13.3,SW,41,16:21,27.2,27,0,ENE,13,1014.6,32.4,17,0,SW,19,1011.7
2016-12-10,16.2,37.6,0,12,13.3,WNW,35,12:25,32.4,16,0,NE,20,1010.6,29.3,25,1,W,13,1009.8
2016-12-11,18.2,28.6,0,10.6,8,SSW,43,16:50,22.2,67,1,WSW,15,1011.8,26,42,7,SSW,13,1007.5
2016-12-12,17.7,24.6,7.8,7.6,6,SSE,43,20:28,21.1,74,7,WSW,11,1010.1,22,57,7,SSE,20,1011.2
2016-12-13,14.4,24.8,0,5.2,11.8,SSE,39,01:59,18.8,55,5,SE,15,1020.6,23.6,46,0,SW,19,1018.3
2016-12-14,15.6,30.1,0,8.6,13.3,ENE,31,09:14,21.4,54,0,ENE,15,1021.5,28.3,46,1,SSW,15,1016.6
2016-12-15,18.3,33.7,0,9,10.2,S,37,16:17,27.5,36,5,NE,15,1012.1,31.7,25,7,SW,17,1009.7
2016-12-16,17.9,30.8,0,10.6,13.3,ESE,44,23:10,21.6,50,1,SSE,13,1013.9,29.2,28,0,S,15,1010.8
2016-12-17,14.2,30,0,11,13.1,SW,44,15:47,21.4,45,0,ESE,13,1014,26.5,44,1,SSW,17,1010.2
2016-12-18,15.5,24.2,0,10.4,13.1,SW,46,15:52,21.5,56,1,SSW,13,1012.7,23,54,0,SW,22,1012.8
2016-12-19,14.5,27.3,0,8.8,13.2,SW,35,14:38,21.2,49,0,SE,9,1016.8,24.8,46,0,SW,20,1013.8
2016-12-20,16,34.3,0,10,13.3,E,35,06:44,23.2,44,0,E,11,1015.2,34,20,0,SE,11,1010.2
2016-12-21,20.3,42.4,0,11.4,13,N,41,13:06,30.4,29,1,NE,19,1008,41.8,14,1,NNE,9,1001.7
2016-12-22,20,27.1,0,13.2,9.4,SW,39,17:25,20.9,69,7,SW,17,1010.1,25.1,51,0,SSW,20,1008.5
2016-12-23,17.3,32.6,0,9.4,13.2,SW,43,16:01,27,40,0,SSE,9,1009,29.9,31,0,SW,22,1005.7
2016-12-24,19.2,29.9,0,13,13.1,SW,44,16:58,25.2,45,1,SSW,11,1007.1,27.2,50,0,SW,22,1004.8
2016-12-25,17.9,32.7,0,11.8,13.2,SW,43,16:36,22.7,50,1,SSE,17,1011.3,30.7,38,0,SW,17,1007.6
2016-12-26,16.2,32.7,0,12.2,13.1,WSW,41,15:08,25,46,0,ENE,11,1006.7,26.1,47,1,WSW,19,1003.7
2016-12-27,16.3,22.5,0.6,8.4,11.1,WSW,56,15:34,19.1,51,6,SW,22,1005.9,21.1,47,1,SSW,28,1006.8
2016-12-28,13.4,22.9,0,8.2,13.1,SW,46,17:31,17.9,51,7,S,15,1012.1,22,44,1,SW,20,1011
2016-12-29,11.8,24.2,0,9.6,13.2,SW,33,16:31,18.4,53,1,SSE,9,1013.8,22.6,46,0,W,15,1010.3
2016-12-30,13.1,23.2,0,7,13.1,SSW,50,15:34,21.1,52,1,N,4,1008.9,22,50,2,SW,24,1008.3
2016-12-31,13.1,27.4,0,8,13.2,SW,43,16:59,20,54,1,SE,11,1016.3,25.2,47,1,SW,19,1013.4
