Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,16.5,30.3,2.8,1,11.2,ESE,28,11:17,22.9,64,1,ESE,9,1017.9,28.7,54,2,E,13,1015.7
2017-02-2,19.2,31.8,0,6.4,8,E,28,10:53,22.8,72,7,E,13,1017.2,30.7,50,1,ESE,9,1012
2017-02-3,19.3,32.6,0,5.4,12.2,SSW,35,16:32,28.3,53,5,SW,7,1009.1,29.7,44,1,SSW,17,1006.9
2017-02-4,16.5,27.6,0,9.8,12.5,SSW,37,15:43,22.5,62,0,SSW,11,1009.2,26.3,55,0,SW,17,1007.5
2017-02-5,19,30.4,0,10.4,12.6,ESE,35,22:18,22.3,55,1,ESE,11,1012.1,29.3,36,1,SE,13,1008.7
2017-02-6,16.7,34.1,0,9.6,12.3,SE,39,01:41,22.7,51,0,ESE,13,1010.7,32.8,30,1,E,11,1005.8
2017-02-7,20.8,30.3,0,9.6,7.8,SW,50,18:23,27.3,57,6,SSE,6,1004.3,22.3,63,6,SW,24,1004.4
2017-02-8,14.9,26.6,0,7.6,12.5,SSE,50,16:13,17.6,52,6,SSE,20,1012.7,25.7,26,2,SE,17,1009.9
2017-02-9,14.1,17.4,2.6,10,0,SE,44,16:28,14.9,86,7,SE,11,1012.5,16.9,85,7,SE,13,1008.8
2017-02-10,14.8,22.4,114.4,14.4,0,SE,41,02:14,16.5,92,8,SE,19,1007.5,19.3,94,8,SE,9,1007.2
2017-02-11,16.5,26.2,15,2,4.6,ESE,50,05:13,21.9,74,7,ESE,13,1010.3,24.5,65,7,E,15,1010.8
2017-02-12,20.1,28.3,0,3.8,7.5,E,43,02:52,21.4,72,7,E,20,1015.1,27.1,55,6,E,17,1013.9
2017-02-13,21.4,34,0,10.6,7.2,ENE,28,00:02,26,67,7,ENE,15,1013.4,32.3,51,7,SSE,9,1010.4
2017-02-14,23.8,30.7,0,4.6,11,SW,30,13:36,26.7,72,6,WSW,9,1012.4,29.6,58,1,SW,11,1012.4
2017-02-15,20.6,32.4,0,8,9,ENE,22,09:00,25,71,7,E,11,1015.1,31.3,52,7,SSW,13,1011.9
2017-02-16,18.6,30.8,0,8.2,11.3,ENE,28,01:07,22.8,62,1,E,9,1014.9,29.4,47,1,SW,13,1012.3
2017-02-17,16.2,32.4,0,8.4,12.3,ENE,31,10:09,21.8,53,0,ESE,9,1018.5,32,33,0,ESE,11,1015.7
2017-02-18,17.9,35.1,0,9,12.4,NE,33,08:34,23.5,51,0,ENE,15,1019.4,34.5,32,0,E,13,1015.7
2017-02-19,23.4,37.7,0,11,12.3,W,33,13:07,30.1,33,0,NE,17,1014.3,34.2,38,1,NW,13,1011.4
2017-02-20,20.4,26.4,0,8.8,11.3,SW,35,16:41,22.9,65,3,SSW,11,1013.4,23,56,4,WSW,17,1010.7
2017-02-21,16.5,22.1,2.4,12,10.2,WSW,48,09:50,19.1,57,7,SW,26,1014.3,21.3,45,4,SW,22,1015.5
2017-02-22,10.1,24.1,0,7,11.9,SSW,33,16:07,19,59,3,SE,13,1021.9,22.8,49,1,SSW,17,1019.8
2017-02-23,12.7,30.6,0,7.8,11.9,SSW,31,16:07,22.2,58,1,E,7,1021.9,29.1,42,0,SSW,13,1018.7
2017-02-24,16.2,36.5,0,9.6,12.1,NE,33,09:35,26.4,42,0,ENE,17,1020.6,35.3,18,0,ENE,13,1016.8
2017-02-25,18.3,39.3,0,9.8,12.1,NE,31,08:16,29.9,28,0,NE,15,1015.5,39.1,12,0,SE,7,1011.3
2017-02-26,18,29.4,0,10.8,12.1,SW,30,18:45,24,69,1,SSW,13,1011.7,26.5,53,1,WSW,13,1011.6
2017-02-27,15.7,29.8,0,5.8,11.8,SW,33,16:59,23.4,55,1,S,6,1015.3,28.5,47,1,WSW,13,1013.5
2017-02-28,17.9,33,0,7.4,11.9,SW,24,13:17,25.5,57,1,ESE,7,1014.8,31,45,3,WSW,13,1012.3
