Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,8.2,22.8,0,2.4,7.7,WSW,20,13:02,11.7,94,7,WNW,6,1022.1,22,60,2,SW,9,1021.5
2017-06-2,8.7,24.2,0,2.2,8.1,NW,22,13:48,14,89,1,S,9,1025.2,22.3,67,3,WNW,9,1023.1
2017-06-3,10.3,22.7,0,1.4,7.7,SW,20,16:44,13.6,96,5,NE,6,1027.8,22.1,62,7,SSW,7,1025.5
2017-06-4,12.1,22.2,0,1.8,9.1,SSE,22,20:12,15.5,84,1,SSE,9,1029.7,21.8,57,1,S,9,1025.9
2017-06-5,9.7,25.6,0,1.8,9.2,NNE,20,11:24,15.4,75,0,ENE,6,1027.4,24.4,35,1,NE,7,1023.5
2017-06-6,8.6,25.4,0,2.4,7.7,NNE,33,09:58,16.3,52,1,NE,11,1024.2,24.1,18,6,N,7,1020.8
2017-06-7,5.9,22.6,0,4.4,9.1,SE,19,13:24,13,70,0, ,Calm,1026.9,22.3,42,0,SE,7,1025.4
2017-06-8,8.5,22.5,0,2.2,9.2,ESE,28,03:09,14.3,74,1,E,4,1030.7,22.2,31,0,ENE,9,1027.2
2017-06-9,1.9,24.3,0,4.8,9.3,NNE,31,11:07,14.6,34,1,NE,13,1029.7,23.9,15,1,N,9,1026.3
2017-06-10,6,21,0,3.8,1.9,NNE,26,10:59,14.4,41,7,NNE,7,1026.9,20.6,23,7,NE,11,1023.7
2017-06-11,8.1,23.6,0,3.2,4.5,ENE,30,12:13,12.8,45,7,NE,6,1023.8,23.2,20,7,NE,11,1021.1
2017-06-12,6.4,24.2,0,3.8,7.6,NE,35,09:20,16.6,37,7,ENE,11,1021.2,23.3,23,1,NE,9,1018.5
2017-06-13,6.7,24.6,0,3.4,5.6,N,22,13:43,14.4,43,3,NE,7,1016.8,22.4,34,7,NW,7,1014.5
2017-06-14,12.9,20.9,26.2,3.4,4.3,SSE,22,00:18,13.5,95,6,SSE,2,1019.9,19.8,63,7,E,4,1018.7
2017-06-15,10.9,19.6,0,3.2,6.5,,,,15,86,2,SSE,6,1024.6,18.7,64,5,SE,11,1023.5
2017-06-16,6.5,21.2,0,1,8.3,S,20,20:09,12.7,97,1,SE,4,1027.3,20.4,50,2,SW,7,1024.7
2017-06-17,7,21.6,0,2.4,9,E,19,13:56,12,96,1, ,Calm,1029.3,21,49,1,NE,9,1026.1
2017-06-18,7.5,23.4,0,1.8,9.2,NNE,28,11:20,14.2,67,0,ENE,13,1026.9,22.2,41,0,ENE,6,1022.9
2017-06-19,5.5,23,0,3,9.1,SW,19,13:49,11.5,84,1,ENE,4,1023,22,55,2,W,9,1020.3
2017-06-20,7.8,22.5,0,2.8,9.1,NW,26,12:59,13.5,98,1,W,7,1019.3,21.6,59,1,NNW,11,1015.9
2017-06-21,10.3,19.9,0.2,1.8,7.5,NW,37,15:38,13,89,5,NNE,9,1017.1,18.5,60,6,NNW,15,1013.8
2017-06-22,13,16.8,61.2,3.6,0,SSW,46,18:52,16.4,90,7,W,17,1005.6,15.6,75,7,SW,17,1008.9
2017-06-23,13.3,18.9,0.4,1.8,6.5,SE,37,16:35,15.1,85,6,SE,11,1019.2,18,65,6,ESE,11,1019.4
2017-06-24,11.5,18.2,0,3.8,9.3,SE,30,10:56,14,62,1,ESE,9,1025.9,17.6,47,3,ESE,11,1023.4
2017-06-25,6.3,17,0,1.6,7.9,E,26,14:20,11.5,75,1,SE,4,1028.6,15.6,49,3,SE,11,1026
2017-06-26,3.5,17.8,0,2.4,8.4,SW,24,14:32,10,77,1,ENE,7,1028.6,17.3,46,1,SW,11,1026
2017-06-27,4.7,18.5,0,2.6,7.5,SSE,20,12:49,10.9,78,1,SW,6,1029.3,18.4,48,5,S,11,1027.4
2017-06-28,6.3,18.7,0,2,9.1,NE,28,11:55,11.4,76,0,E,6,1033.6,18.5,47,1,ENE,7,1030.6
2017-06-29,3.4,18.7,0,3.2,9.1,NE,37,12:15,11.6,60,0,NNE,7,1031.3,18.6,35,0,NNE,11,1026.1
2017-06-30,5.3,19.8,0,4,2.8,NW,52,14:27,12.7,46,4,N,13,1018.2,16.9,83,7,W,20,1014.2
