Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-10-1,12.3,16.5,4.6,1,7,WSW,70,11:23,15.3,63,4,WSW,28,1004.5,12.8,64,3,WSW,30,1006.8
2016-10-2,10,17.5,2.8,5.2,8.4,SW,46,08:29,15,58,6,WSW,19,1016.8,16,54,6,SW,19,1017.9
2016-10-3,9.1,18.8,0,4,1.8,W,31,14:45,16.6,70,8,W,11,1019.9,16.6,80,7,W,13,1019.2
2016-10-4,11.2,21,0.8,3.6,7.8,W,30,15:04,17,85,6,N,7,1018.7,19.7,62,5,WNW,15,1016.1
2016-10-5,9,23.2,0,3,11.7,WNW,28,13:45,17.9,69,1,NNE,11,1013.9,22.2,51,1,WNW,13,1010
2016-10-6,12.3,22.4,0,2.2,6.6,NW,43,12:32,19.4,72,8,NW,13,1010.7,21.6,63,6,NW,17,1010.5
2016-10-7,14.7,24.3,1.2,3,8.7,WNW,37,15:05,18,83,6,N,13,1012.8,22.6,56,6,NW,17,1009.7
2016-10-8,15.3,18.8,9,5.4,1.9,W,44,11:58,16.5,91,7,NNW,9,1008.3,17.4,71,8,WNW,17,1008.9
2016-10-9,13,18.2,5.2,3,6.7,SW,44,09:39,14.8,71,4,SW,19,1021.7,16.8,44,2,WSW,22,1022.4
2016-10-10,6.5,20.7,0,4.4,11.7,SSW,35,16:30,15.5,56,1,E,9,1029.6,18.9,48,0,SSW,17,1026.4
2016-10-11,8.9,26.2,0,5,11.8,NE,31,11:13,17,54,0,E,9,1026.1,25.5,29,0,ENE,9,1021.5
2016-10-12,13.9,33.1,0,6.4,11.8,NE,37,08:42,22.3,30,0,NE,20,1016.8,31.8,15,0,NNE,11,1011.3
2016-10-13,11.1,24.5,0,7,11.7,SW,31,14:25,22.2,75,3,WNW,9,1011.8,22.3,60,2,W,13,1010.7
2016-10-14,16,21.4,0.6,3.4,8.6,W,43,23:52,18.9,62,7,W,17,1012.3,19.6,49,7,WNW,19,1010.9
2016-10-15,10.4,17.2,4.8,5.2,8.1,WSW,54,02:22,14.7,63,7,SW,19,1016.6,16.8,49,3,SW,22,1018.9
2016-10-16,7.8,19.4,1.4,5.4,11,SW,35,14:22,15.3,50,2,S,11,1026.6,18.3,51,1,SW,19,1024.3
2016-10-17,9.3,19.8,0,4.4,6.6,SW,33,17:34,15.4,61,7,SSE,11,1025.5,18.7,58,7,SW,19,1022.6
2016-10-18,10.8,21.6,0,4,11.9,SSW,31,13:38,16.1,55,1,E,13,1023.9,19.5,48,2,SSW,17,1019.7
2016-10-19,8.1,19.8,0,6,10.1,SW,37,11:50,15.4,61,7,S,9,1017.4,17.3,57,6,SW,19,1013.9
2016-10-20,11.1,19.1,2.6,4.8,12,SW,43,15:18,14.3,52,3,SSE,15,1019.7,17,46,4,SW,24,1019.7
2016-10-21,7.9,22,0,5.4,12,SW,31,16:30,13.7,46,0,E,15,1028.2,21.8,28,0,SE,7,1023.8
2016-10-22,9.5,28.5,0,4.8,12,ENE,37,10:42,19,34,0,ENE,17,1023.1,27.9,14,0,NE,13,1016.9
2016-10-23,10.2,29.5,0,8.8,12.5,WSW,31,13:23,23.3,27,0,W,7,1012,25.7,19,0,WSW,13,1010
2016-10-24,10.7,22,0,6.6,10.6,SW,37,15:46,18.6,64,5,SW,11,1013.5,19.8,56,6,SW,19,1011.9
2016-10-25,8.9,21.4,0,4.8,10.3,WSW,35,14:48,16.5,51,7,SSE,6,1016.7,17.2,62,7,WSW,17,1016.4
2016-10-26,8.4,22.3,0,4.4,11.5,SW,31,15:59,17.7,63,5,E,6,1020.7,21.5,47,1,WSW,13,1018.6
2016-10-27,9.9,21.9,0,4,11.8,SSW,39,16:15,18.3,59,3,S,13,1020.9,20.8,48,1,SSW,19,1018.3
2016-10-28,9.8,22.4,0,6.4,12.2,SSW,33,14:21,18.5,55,0,SW,15,1015.3,20.5,43,1,SW,20,1012.2
2016-10-29,15,20,1.4,6,8.4,SW,50,12:02,18.4,77,7,W,13,1013.1,18.8,51,7,WSW,20,1014.5
2016-10-30,8.9,21.2,3,4.8,12.1,SSW,37,14:33,15.6,42,1,SSE,15,1023.7,18.7,44,0,SW,22,1020.3
2016-10-31,9.7,22.5,0,5.4,12.2,SW,44,15:12,16.6,53,0,SE,13,1021.8,20,48,1,SW,20,1018.9
