Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2016-12-1,18.1,28.5,0,7.4,8.1,ENE,37,14:27,21.2,68,7,W,9,1008,25.4,51,7,ENE,19,1005.3
2016-12-2,18.7,35.7,0.2,6,9.8,SSW,57,19:59,25.6,44,3,WNW,13,1008.4,30.9,24,5,ESE,17,1007.7
2016-12-3,21,26.8,0,11.2,9.7,S,41,23:04,22.6,64,7,SSE,11,1016,23.8,55,5,ESE,19,1015
2016-12-4,19.7,26.9,0,8,9.3,NE,39,16:08,23,64,7,E,6,1016,25.1,60,7,E,26,1013.1
2016-12-5,22.1,29.9,0.4,7.6,2.9,SSW,59,20:47,26.1,71,7,NE,13,1009.6,27.1,65,7,E,17,1005.9
2016-12-6,20.4,23.6,3.2,7,0,S,33,22:04,20.6,86,8,W,15,1012.4,22.2,83,8,NE,7,1010.6
2016-12-7,18.6,25.1,7.8,1.4,9.3,SSW,37,00:57,20.7,86,5,SE,15,1015.2,24.4,56,4,E,24,1014.4
2016-12-8,20.2,27.9,0.2,8,12.2,NNE,56,15:23,24.6,60,1,NNE,9,1008.7,26.9,61,2,NE,26,999.4
2016-12-9,18.1,27.8,0.4,13.6,13.4,W,72,07:32,20.2,35,1,W,44,1007.9,26.4,14,1,WSW,31,1009.9
2016-12-10,16.9,23.7,0,9,9.8,E,39,15:23,20.8,54,3,SSE,11,1022.5,22.1,52,2,ENE,26,1020.5
2016-12-11,20,26.3,0,9,11.4,E,41,15:08,23.6,57,3,NE,13,1022.2,24.3,56,1,E,28,1020.4
2016-12-12,20.9,27.6,0,10.6,12.4,NE,52,16:32,23.8,59,6,NE,15,1022.6,25.5,53,1,ENE,19,1018.1
2016-12-13,20.7,37.8,0,10.2,11.4,NNE,44,15:35,27.5,49,3,ESE,9,1015.5,31.1,36,5,NE,15,1011.1
2016-12-14,27.1,37.2,0,13.4,2.5,WSW,57,13:18,32.4,23,7,NW,24,1008.5,34.1,16,7,WSW,33,1007
2016-12-15,17.4,19.1,8.2,8.8,0,SSE,46,03:12,17.7,88,8,SE,17,1017.2,17.7,81,8,SSE,15,1017.4
2016-12-16,17.2,25.4,32.6,1,0,ESE,30,00:46,18.8,89,8,SSE,17,1013.3,20.2,86,8,ESE,4,1009.3
2016-12-17,18.5,33.7,10.4,1.4,12.7,S,70,21:18,25.4,67,3,NW,2,1007.4,32.4,27,4,WNW,19,1005.2
2016-12-18,18.3,21.3,0,10,0.7,SSE,57,00:51,19.8,61,8,SE,15,1018.8,19.9,55,8,SE,22,1020
2016-12-19,17.7,22.9,0,7.8,7.1,NE,44,18:27,20.8,49,6,ENE,13,1021,21.4,47,3,NE,24,1017.5
2016-12-20,16.7,27.1,0,7,12,SSW,48,18:01,22.8,52,2,E,4,1010.4,26.9,52,3,ESE,20,1005.3
2016-12-21,18.6,26.7,0,10,10.4,S,52,00:06,22.8,64,3,S,15,1012.3,25,50,2,ESE,28,1012.2
2016-12-22,20.3,24.3,0,9.2,3.7,ENE,35,21:00,21.1,60,8,E,17,1019.4,23,52,5,ENE,20,1018.1
2016-12-23,20.8,24.4,0,7.6,7.9,ENE,48,13:31,23,56,5,NE,20,1019.3,23.8,56,2,NE,28,1016.6
2016-12-24,19.8,27.2,0,9.4,4.3,NNW,44,18:11,23.2,66,7,WNW,9,1015.7,26.3,55,7,ENE,20,1013.8
2016-12-25,19.1,27.4,1.6,4.6,12.8,NE,48,21:24,23.9,64,3,ESE,4,1017.1,26.8,55,3,NE,26,1015.5
2016-12-26,20.9,29.3,0,11.2,10.9,NE,52,15:35,25.8,59,1,E,13,1014.7,27.9,51,1,NE,30,1011.4
2016-12-27,21.8,29.6,0,11.2,6,NE,43,22:18,25.7,66,7,S,17,1014.5,27.5,60,7,ESE,19,1013.3
2016-12-28,21.1,28.9,0,7.8,9.4,NNE,61,17:56,24.9,63,6,E,15,1013,27.5,48,6,NNE,24,1009.7
2016-12-29,22.6,36.6,0,10.4,4.8,E,28,13:44,28.1,49,7,W,15,1007.2,31.8,30,6,ENE,22,1004.4
2016-12-30,23.9,33.3,0,9.2,0.5,NNE,30,21:42,27.3,58,8,W,9,1003.6,32.1,34,7,ENE,20,1001.7
2016-12-31,24.1,30,0,8.2,4.8,SE,37,13:47,27.7,57,6,SSE,17,1003.7,26.4,62,7,SE,24,1003.4
