Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-02-1,20.3,23.6,1.2,9.2,0,SSW,33,01:11,21.1,83,8,SSW,6,1016.1,22.4,79,8,SSE,9,1012.7
2017-02-2,20.8,27.1,4.4,0,6,S,50,07:45,23.1,70,7,S,30,1013.2,25.4,56,7,SE,22,1013.9
2017-02-3,22.3,26.4,0,6.6,0.1,NNE,24,07:09,22.8,79,8,NNE,11,1015.5,26.1,63,8,NE,17,1013.5
2017-02-4,22.7,30.4,0,4.4,7.2,NNE,35,17:56,26,78,8,ESE,4,1013.9,28.1,65,5,E,17,1010.4
2017-02-5,25.8,34.9,0,9.6,7,NW,41,00:42,29.5,50,7,E,4,1010.4,34.1,41,7,ENE,6,1007.3
2017-02-6,26.2,34.7,0,11.8,10.9,S,48,19:23,29.6,55,1,S,19,1011.3,33.9,44,1,SE,19,1009.3
2017-02-7,22.1,24.9,6.4,8.2,1.3,,,,22.2,88,8,S,24,1017.6,21,89,7,S,19,1018.7
2017-02-8,20.7,27,85,3.4,5.9,ESE,46,02:04,24.6,79,7,ESE,37,1022.1,23.1,85,7,E,19,1021.8
2017-02-9,22.5,30.9,5.4,5.2,11.8,NNE,54,17:46,25.7,72,3,NNW,17,1018.6,29.7,55,1,NE,20,1013
2017-02-10,23.7,37.5,0,10,12,SSE,44,18:23,27.4,61,6,NW,7,1010.4,36.2,35,2,ENE,17,1006.4
2017-02-11,23.9,36.2,0,11,11.4,SSW,63,22:27,26.4,72,5,W,9,1007.8,33.1,51,3,E,19,1002.7
2017-02-12,24.5,31.9,0,10.4,7.8,SSE,59,14:02,28.1,67,1,S,2,1000.5,28.1,59,7,SSE,33,998
2017-02-13,17.8,27.3,0,7,12.8,SW,37,07:45,21.9,29,1,SSW,19,1008.1,26.9,32,1,ESE,22,1007.3
2017-02-14,21.6,24,0,9,1.9,SSE,44,13:34,22.3,68,,E,17,1015,21.2,73,6,SSE,24,1015.9
2017-02-15,18,26.1,25.6,1.2,10.1,ENE,37,17:10,21.3,66,4,WSW,7,1017.4,26.1,52,2,E,17,1013.6
2017-02-16,19.5,30,0,8,11.1,NNE,54,18:12,23.4,63,1,W,6,1012.1,28.8,51,1,ENE,24,1009
2017-02-17,22.6,29.9,0,11.2,6.6,N,70,16:05,26.6,66,4,NE,9,1009.8,26.8,59,7,NE,9,1005.7
2017-02-18,21.8,29.4,8,5.4,7,SE,41,12:49,22.9,79,3,S,17,1007.1,28.8,58,2,ESE,20,1004.9
2017-02-19,18.6,26.1,3.2,6.4,7.9,S,48,01:24,19.7,69,5,W,17,1008.7,25,48,2,ESE,19,1006.1
2017-02-20,17.5,28.3,0.6,8,12.5,WSW,63,08:12,19.9,32,0,W,35,1010.5,27.5,18,0,WNW,19,1009.6
2017-02-21,16.9,27.6,0,10.4,11.7,NNE,33,21:12,19.4,41,6,WNW,17,1019.7,26.3,36,2,ESE,19,1018.5
2017-02-22,19.3,27.7,0,7,12.2,NE,48,14:11,25.8,50,2,NNE,15,1021.6,26.2,47,1,NE,22,1018.5
2017-02-23,21.6,28.1,0,11.6,11.5,NNE,46,17:57,25.4,55,1,N,17,1019.8,27.3,52,1,ENE,22,1017.2
2017-02-24,21.8,28,0,10.6,5.7,S,31,19:15,24.5,69,8,SE,7,1020.8,27.3,56,7,ESE,15,1018.6
2017-02-25,18.6,20.8,7.8,4.4,0,SSW,44,04:35,18.7,89,8,S,19,1020.5,19,87,8,SSW,19,1020.1
2017-02-26,18.3,25.5,28.6,5.8,5.3,S,48,15:43,20.7,67,6,SSE,15,1021.8,24.3,54,3,SSW,24,1021.8
2017-02-27,18.7,26.6,26.4,7.6,7.5,ESE,44,14:53,23.3,60,7,SE,19,1024,25.6,47,3,SE,24,1022.8
2017-02-28,20.7,26.7,2.6,5.6,9.2,ESE,48,14:36,25.1,63,6,ESE,19,1022.7,26.4,61,6,E,17,1021.4
