Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-01-1,22.7,26.6,0,6.8,0,E,24,13:41,24.6,70,7,E,9,1007.4,24.9,70,8,E,19,1005.5
2017-01-2,21.2,26.3,0.4,3.4,3.5,S,56,05:42,22.1,71,7,SSW,26,1009.9,24.8,54,5,SSE,28,1011.8
2017-01-3,18.5,26.6,2.6,6.2,8.8,SSE,48,13:23,21.9,66,7,S,19,1018.5,25.4,60,7,SSE,19,1018.3
2017-01-4,20.1,25.9,1.2,7.8,5.6,ESE,31,23:20,24,53,7,ESE,22,1021.4,23.7,45,7,ESE,22,1020
2017-01-5,19.6,24.3,5,6,0.5,ENE,30,03:26,20.5,89,8,NNE,7,1019,22.6,69,7,E,20,1017.2
2017-01-6,19.9,26.5,8.8,3.8,4.8,E,35,10:09,20,86,7,ESE,15,1018.3,25.3,57,6,E,22,1017.5
2017-01-7,19.2,26.8,4.4,6.6,11.5,NE,43,14:15,24.8,61,3,S,2,1018.4,25.2,57,3,NE,28,1015
2017-01-8,19.7,28.5,0,10.4,11.7,NE,54,16:22,25.1,52,2,N,11,1013.5,27.5,52,6,ENE,20,1010
2017-01-9,21.3,29.9,0,9.6,9.2,ENE,31,14:27,27,57,2,ESE,9,1011.5,26.7,57,2,E,20,1009.2
2017-01-10,22.6,31.3,0.4,8.2,8.8,E,31,16:02,24.8,73,7,W,9,1012,30.5,49,4,E,17,1008.1
2017-01-11,24,37.7,0,7.4,10.9,SSE,63,17:19,29.2,53,4,W,9,1007.6,31.4,47,7,ESE,20,1003.4
2017-01-12,22.3,28.4,0,9.4,7.2,E,31,19:08,24.7,68,7,SSE,7,1012.4,26.8,52,2,E,20,1010.7
2017-01-13,23,30.5,0,8.6,8.9,SSW,52,19:25,24.6,68,8,N,15,1008.9,29,57,1,NE,30,1001.3
2017-01-14,24.6,32.5,0,10.6,7.1,ESE,35,16:00,28.7,59,8,NNW,2,1003.4,29.2,52,1,ESE,22,1003.2
2017-01-15,22.8,27,0,8,6.9,ESE,33,10:24,25.6,56,6,E,20,1015.1,25.5,57,7,E,22,1015.7
2017-01-16,21.7,27.2,0,7.2,12.1,NE,52,16:20,26.2,55,3,NNE,22,1017.1,26.3,57,0,NE,28,1013.9
2017-01-17,20.8,36.6,0,10.4,11.9,NNE,50,18:06,25.3,64,,ESE,6,1013.6,32.6,44,2,ENE,11,1008.3
2017-01-18,25.1,38.1,0,13.8,11.1,SSE,59,14:32,36.5,26,1,WNW,20,1005.4,30.1,52,2,SSE,31,1006.8
2017-01-19,20.1,24.5,0,12.6,0,ENE,41,21:03,21.5,61,8,ESE,20,1015.3,22.7,53,8,ENE,19,1013.7
2017-01-20,19,29.2,0,5.8,2.6,SSW,65,20:41,24.1,62,7,NNE,22,1001.1,28.3,68,7,NNW,28,994.3
2017-01-21,20.8,27.4,7.8,6.2,9.7,SSE,48,01:40,22.2,49,7,SSE,22,1010.5,26.6,42,1,SE,20,1012.2
2017-01-22,20.4,26.5,0,9.1,10.7,ENE,39,17:43,23.8,50,1,NE,4,1017.9,26,50,4,E,22,1015.8
2017-01-23,21.5,32.6,0,9.6,12.1,NE,56,18:12,25.5,60,3,NNW,17,1014.9,28.6,51,1,NE,20,1010.1
2017-01-24,24.5,37,0,12,2.6,SSW,69,15:40,32.6,34,6,NW,11,1007.4,35,33,7,W,20,1008.4
2017-01-25,20.6,24.3,17.8,10.2,0.3,SSE,35,23:10,21.7,68,7,S,13,1020.5,23.3,62,8,S,11,1018
2017-01-26,20.7,25.5,0,2.8,0.4,SSE,31,15:53,22.6,70,8,SSW,11,1015.9,24.9,64,6,SSE,13,1014.9
2017-01-27,20.4,27.1,0,4.2,6,S,31,00:28,21.7,67,7,SSW,13,1018.5,25.7,57,4,ESE,15,1016.9
2017-01-28,20.4,29.7,0,5.4,12.2,NE,48,17:47,26.4,63,1,NE,2,1015.9,28.1,59,1,ENE,17,1012.2
2017-01-29,22.3,30.2,0,11.4,6.8,S,31,01:38,24.5,74,7,SSW,13,1016.8,28.9,56,6,SSE,19,1015.4
2017-01-30,23.1,34.3,0,6,12,NNE,56,17:10,27.9,67,1,E,13,1012.5,30.3,54,3,NE,17,1008
2017-01-31,25.4,39.4,0,11.8,4.8,SSE,57,12:21,33.2,36,7,ESE,7,1008.1,29.2,58,7,SSE,33,1009.7
