Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-06-1,8,18.3,0,4.8,9.7,WSW,43,05:26,10.3,54,1,W,28,1032.8,17.8,39,1,SSW,26,1031.2
2017-06-2,8.5,18.1,0,3.2,4.8,SSW,41,16:06,10.7,61,1,W,24,1032.7,16.4,50,4,SSW,20,1030.8
2017-06-3,10.7,17.4,0,3.4,2.1,S,41,15:00,13.4,64,4,W,20,1031.1,16.4,66,7,S,22,1028.8
2017-06-4,10.5,19.7,1.4,0.6,6.8,W,28,07:05,12.2,77,1,W,20,1028.3,19,57,2,SSE,17,1024.5
2017-06-5,9.4,19.6,0,2.8,9.4,W,28,09:17,11.5,78,3,W,20,1025,19.2,41,5,WSW,7,1021.5
2017-06-6,9.1,17.9,0,2.2,7.2,WSW,59,20:59,11.2,58,2,W,19,1019.7,14.7,43,2,S,15,1017.7
2017-06-7,8.8,15.5,54.6,2.6,0,SSW,56,02:42,13.3,82,8,SSW,24,1020.2,14.2,85,8,S,17,1019.6
2017-06-8,12.4,18.1,61,1.8,1.3,SE,44,01:05,13.3,91,5,W,17,1024.2,16.9,84,6,S,15,1023.4
2017-06-9,10.4,18.9,3.4,1.6,4.8,ESE,52,17:43,12.5,90,6,W,19,1027.6,18.2,64,7,SSE,28,1026.7
2017-06-10,12.5,18.1,38.8,3.6,0.2,SSE,50,07:02,15.8,85,7,SE,17,1031.9,17.5,70,7,SSE,15,1030.2
2017-06-11,12.5,17.2,2.8,1.6,0.2,WNW,20,04:17,13.1,90,5,W,15,1029.2,16,85,6,W,6,1025.9
2017-06-12,11.3,20.4,1.2,0.8,7.5,SSE,26,13:48,11.6,92,2,WNW,15,1025,19.1,59,3,SSE,15,1024
2017-06-13,9.5,18.7,0,2.2,9.1,SSE,37,13:53,11.2,82,2,W,20,1030,18.2,62,3,SSE,22,1029.1
2017-06-14,11.1,17.8,2.6,1.8,2.9,WNW,24,01:00,13.3,82,3,WNW,13,1031.3,17.4,78,7,ENE,9,1028.4
2017-06-15,10.7,20.1,0.6,1.2,6.4,W,22,07:47,11.9,89,2,W,13,1027.9,18.7,69,6,ENE,15,1024.4
2017-06-16,11.9,17.3,0,1.6,0.2,WNW,26,08:28,13.3,79,7,W,19,1026.2,17.2,69,7,WSW,7,1023.5
2017-06-17,13.2,19.1,0,1,0.2,SSW,26,16:10,14.6,81,7,WNW,9,1024.3,17.4,67,7,SSW,13,1021.8
2017-06-18,11.3,18,1.8,2,6.3,S,52,12:24,12.9,83,3,SW,13,1025.7,17.6,62,5,SSW,28,1025.8
2017-06-19,11.2,18.3,0.4,2.2,1.9,SSW,37,12:04,12.7,79,6,W,17,1030.4,17.2,69,7,S,19,1028.4
2017-06-20,11.3,20,4.4,2.2,5.8,W,26,03:45,11.9,88,6,W,19,1028.7,19.7,60,1,SSW,9,1025.2
2017-06-21,8.6,19.6,0,2,7.8,SSE,37,15:11,10.5,73,2,W,22,1025.9,17.9,52,2,SSE,20,1025.3
2017-06-22,9.3,19.2,0,2,9.2,W,30,05:59,11,78,2,W,20,1028.5,18.7,53,2,ESE,7,1024.6
2017-06-23,9.4,17.7,0,2.4,2.7,W,24,07:22,10.2,85,6,WNW,15,1020.8,17.3,56,6,N,13,1015
2017-06-24,10.1,19.3,0,1.4,9.3,W,43,04:07,12.4,56,5,W,17,1017.3,19,35,2,W,19,1015.1
2017-06-25,7.6,19.3,0,3.4,9.4,W,35,12:12,9.4,73,1,W,13,1018.6,18.8,32,1,W,13,1015.4
2017-06-26,8.3,18.8,0,2.2,9.5,W,30,10:55,10.5,67,1,W,20,1022.1,18.4,35,2,WNW,9,1021.6
2017-06-27,7.8,14.8,0,3.8,4.8,W,28,08:18,9.4,72,5,W,22,1027,14.6,64,7,WNW,7,1024.2
2017-06-28,9.3,14.3,0,1.2,0.1,W,28,11:13,12.6,78,7,W,9,1022.7,12.9,84,7,WNW,9,1021.3
2017-06-29,9.8,16.9,1.6,1.6,5.9,W,33,09:05,10.4,72,7,W,20,1022.1,16.3,56,1,WNW,9,1018.4
2017-06-30,9.2,16.5,0,2.4,9.6,SW,41,13:37,11.1,55,1,WSW,17,1024.6,15.4,28,1,SSW,19,1024.5
