Date,Minimum temperature (�C),Maximum temperature (�C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (�C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (�C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2017-03-1,20.6,27.2,26.4,7.2,2.2,E,43,06:34,21.4,87,6,SE,9,1021,25,67,7,ESE,22,1019.4
2017-03-2,20.5,26.3,3.2,3.6,7.6,E,26,13:03,23,81,3,WNW,13,1018.1,25,69,5,E,15,1016
2017-03-3,20.7,24.8,37.8,5.2,1.4,SE,63,14:39,21.7,89,7,S,6,1016.9,22.2,85,8,SE,17,1016
2017-03-4,19.9,23.3,27.6,4,0.2,SSE,54,12:51,21.5,87,7,SE,19,1015.2,20.9,86,7,S,20,1013.1
2017-03-5,20.1,23,7.6,2.4,0,SW,56,19:30,20.4,78,7,W,20,1010.2,22.1,76,7,SW,24,1009.6
2017-03-6,19.6,25.7,2.4,4,7.7,SSW,65,11:41,20.5,63,5,WSW,19,1012.8,25.5,49,3,SSW,33,1013.2
2017-03-7,18.8,23.2,0,9.4,3.6,SSE,54,12:11,19.3,73,7,SW,13,1017.6,21.7,62,7,SSW,30,1017.7
2017-03-8,16.9,23.5,5,8.8,1.4,SE,46,01:16,19.9,67,8,ESE,17,1018.5,22,56,8,SE,20,1017.4
2017-03-9,17.9,25.1,1,5.4,2.7,SSE,43,14:00,20.3,69,7,SE,15,1017,23.3,54,7,SSE,31,1016
2017-03-10,17.3,25.8,0.6,5.4,7.4,SSE,44,13:50,19.3,73,3,W,17,1015.1,25.1,51,3,S,24,1014
2017-03-11,16.9,26.1,0.2,5,10.7,SSE,31,11:22,20.1,61,5,WNW,17,1014.2,25.5,47,2,ESE,20,1012.3
2017-03-12,17.4,26.4,0,7.2,10.6,NNE,46,18:10,22.3,62,1,NNE,9,1010.6,26,50,1,ENE,28,1007.7
2017-03-13,22.2,27.4,0,7.2,6.2,E,56,15:45,23.7,68,6,NNE,7,1011.1,27,63,6,E,19,1012.4
2017-03-14,22.6,25.9,0.4,7.6,0.5,E,44,20:01,23.9,71,7,ESE,20,1019.2,21.4,67,8,ENE,24,1020.2
2017-03-15,19.8,25.9,38,,5.5,E,54,12:00,22.9,76,7,E,30,1020.6,24.8,67,6,E,31,1018.7
2017-03-16,21.9,24.9,2.6,7.6,1,ENE,56,05:31,23.1,84,8,ENE,26,1013.2,24.5,85,7,NE,24,1009
2017-03-17,20,22.7,20,3,1.3,S,59,15:34,20.3,83,8,SSW,26,1018.4,20.5,81,8,S,35,1020.6
2017-03-18,19.3,25.8,45.8,2.8,3.6,SSE,65,01:56,21.8,88,8,SE,24,1022.9,24.1,79,7,ESE,22,1022.2
2017-03-19,21.6,26.2,4.2,,5.5,ESE,57,23:22,23.7,86,7,E,28,1020.3,25.3,76,7,ENE,24,1017.9
2017-03-20,23.7,27.9,0.2,8.4,4.4,NNE,39,15:04,25.8,74,7,NE,11,1018.5,26.9,66,7,NE,20,1015.6
2017-03-21,23.3,27.1,0,5.2,1.5,NNE,30,20:09,24.5,77,7,NNE,11,1015.7,26,72,6,E,17,1012.6
2017-03-22,22.3,31.9,25.6,6,4.4,WSW,63,16:24,23.9,82,7,SE,4,1012.6,29.8,57,6,E,19,1010.7
2017-03-23,20.7,23.3,18.2,,0.2,SSW,41,03:30,21.5,72,7,SSW,19,1018.5,22.2,71,8,SSW,20,1017.4
2017-03-24,18.5,24.1,10.2,7.8,5.5,S,41,10:51,20.4,85,2,W,13,1019.9,21.7,70,7,SSW,20,1019.1
2017-03-25,19.2,24.5,4.8,3.2,4.9,ENE,26,12:53,20.2,81,6,WNW,11,1017.8,24.2,58,7,NE,13,1014.1
2017-03-26,18.9,26.5,0,3,11,ENE,28,15:58,21.3,74,1,WNW,13,1015.9,26,66,2,E,19,1014.7
2017-03-27,19.2,27,0,5.8,11,NNE,41,16:53,21.8,76,1,W,11,1017.1,26,62,1,NE,22,1012.3
2017-03-28,21.2,23.8,0,7.4,0,SSW,54,04:41,21.8,76,7,SSW,19,1013.9,23.6,69,8,S,11,1012.4
2017-03-29,21.4,28.8,0,2.4,8.4,E,30,12:36,22.5,84,8,E,2,1012.3,27,71,1,E,22,1007.4
2017-03-30,22.5,26,2.4,7.4,0,SSW,69,21:04,25.2,70,8,NNE,19,1007,19.2,88,8,SSW,28,1007.7
2017-03-31,15.3,22.6,42.4,,9.9,SW,54,02:05,16.9,56,4,W,20,1016.4,21.6,53,2,S,28,1015.6
